ranker,player,,pos,age,team_id,,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,DUMMY,ows,dws,ws,ws_per_48,DUMMY,obpm,dbpm,bpm,vorp
1,Mahmoud Abdul-Rauf,Mahmoud Abdul-Rauf,PG,26,DEN,DEN,57,2029,18.6,.535,.324,.164,1.5,6.4,3.9,34.7,1.6,0.1,10.1,25.1,,4.4,1.1,5.5,.131,,3.5,-1.6,1.9,1.9
2,Michael Adams,Michael Adams,PG,33,CHH,CHH,21,329,16.1,.579,.494,.422,1.8,6.4,4.1,30.4,3.3,0.9,20.3,17.0,,0.6,0.2,0.8,.117,,1.6,1.2,2.8,0.4
3,Rafael Addison,Rafael Addison,SF,31,CHH,CHH,53,516,9.6,.489,.055,.133,5.8,15.6,10.6,9.2,0.9,1.3,13.4,17.7,,0.0,0.2,0.2,.019,,-3.9,-1.0,-4.9,-0.4
4,Cory Alexander,Cory Alexander,PG,22,SAS,SAS,60,560,8.7,.506,.426,.161,1.9,6.3,4.2,31.6,2.5,0.3,29.1,18.8,,-0.5,0.7,0.2,.021,,-4.2,-0.1,-4.3,-0.3
5,Jerome Allen,Jerome Allen,SG,23,MIN,MIN,41,362,7.8,.447,.314,.343,1.7,6.6,4.1,20.8,3.0,1.1,22.0,19.0,,-0.5,0.3,-0.3,-0.033,,-4.3,-0.2,-4.6,-0.2
6,Derrick Alston,Derrick Alston,C,23,PHI,PHI,73,1614,11.8,.518,.008,.289,8.8,12.9,10.8,6.5,1.8,2.4,11.9,13.7,,1.0,0.8,1.7,.052,,-2.5,-0.2,-2.8,-0.3
7,John Amaechi,John Amaechi,PF,25,CLE,CLE,28,357,3.1,.456,.000,.471,4.8,14.8,9.7,4.1,1.0,2.7,28.7,16.8,,-0.9,0.4,-0.6,-0.075,,-8.3,-0.9,-9.1,-0.6
8,Ashraf Amaya,Ashraf Amaya,PF,24,VAN,VAN,54,1104,11.8,.534,.004,.591,11.7,20.8,16.1,5.1,1.1,0.7,15.2,15.5,,0.7,1.1,1.8,.078,,-3.3,-1.5,-4.8,-0.8
9,Greg Anderson,Greg Anderson,PF,31,SAS,SAS,46,344,7.7,.466,.021,.532,9.8,22.1,16.2,4.0,1.3,5.0,27.5,10.5,,-0.3,0.7,0.4,.056,,-6.2,2.6,-3.5,-0.1
10,Kenny Anderson,Kenny Anderson,PG,25,TOT,69,2344,19.5,.534,.307,.405,3.0,7.1,5.0,40.4,2.5,0.5,12.9,21.4,,6.1,1.6,7.7,.158,,4.1,0.2,4.3,3.7
11,Nick Anderson,Nick Anderson,SG,28,ORL,ORL,77,2717,16.5,.562,.476,.265,4.0,13.5,8.9,15.6,2.3,1.2,12.3,19.1,,4.2,3.3,7.4,.131,,2.3,0.7,2.9,3.4
12,Willie Anderson,Willie Anderson,SG,29,TOT,76,2060,11.3,.507,.182,.247,2.8,11.4,7.1,15.1,1.9,2.2,16.3,18.9,,0.0,1.5,1.4,.033,,-2.4,0.2,-2.2,-0.1
13,Greg Anthony,Greg Anthony,PG,28,VAN,VAN,69,2096,18.6,.530,.347,.380,1.6,8.4,4.9,41.9,2.9,0.4,14.9,23.3,,2.9,1.9,4.8,.111,,2.6,0.4,2.9,2.6
14,B.J. Armstrong,B.J. Armstrong,PG,28,GSW,GSW,82,2262,17.3,.595,.285,.384,1.1,8.3,4.7,28.4,1.5,0.2,13.1,18.8,,6.2,0.8,7.0,.149,,2.7,-0.8,1.8,2.2
