ranker,player,,pos,age,team_id,,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,DUMMY,ows,dws,ws,ws_per_48,DUMMY,obpm,dbpm,bpm,vorp
1,Kareem Abdul-Jabbar*,Kareem Abdul-Jabbar,C,38,LAL,LAL,79,2629,22.7,.603,.001,.328,6.0,14.2,10.3,15.7,1.2,2.7,11.7,26.6,,7.6,3.2,10.8,.197,,4.4,1.0,5.4,4.9
2,Alvan Adams,Alvan Adams,C,31,PHO,PHO,78,2005,15.3,.547,.003,.299,8.9,18.1,13.7,22.5,2.4,1.3,21.1,19.4,,1.2,2.7,3.9,.094,,0.2,1.5,1.6,1.8
3,Michael Adams,Michael Adams,PG,23,SAC,SAC,18,139,8.0,.406,.068,.273,1.6,3.2,2.4,20.3,3.0,0.4,18.2,17.5,,-0.2,0.1,-0.1,-0.028,,-3.6,-0.2,-3.8,-0.1
4,Mark Aguirre,Mark Aguirre,SF,26,DAL,DAL,74,2501,19.2,.547,.042,.340,7.9,11.6,9.8,20.9,1.2,0.3,14.2,29.0,,3.7,0.9,4.7,.090,,2.3,-2.1,0.3,1.4
5,Danny Ainge,Danny Ainge,SG,26,BOS,BOS,80,2407,13.6,.562,.104,.194,2.3,8.1,5.4,21.3,1.9,0.2,14.5,15.2,,3.6,3.2,6.8,.136,,-0.1,1.0,0.9,1.8
6,Ron Anderson,Ron Anderson,SF,27,TOT,77,1676,14.0,.517,.014,.202,8.5,9.3,8.9,12.5,1.6,0.2,10.7,18.7,,1.6,1.5,3.1,.090,,0.3,-0.4,-0.1,0.8
7,John Bagley,John Bagley,PG,25,CLE,CLE,78,2472,15.2,.475,.043,.249,3.4,8.9,6.1,40.7,2.3,0.2,19.9,19.8,,1.0,2.0,3.0,.059,,1.3,-0.7,0.6,1.6
8,James Bailey,James Bailey,PF,28,NYK,NYK,48,1245,12.6,.516,.009,.377,8.8,22.1,15.2,6.1,1.3,2.0,16.1,20.7,,0.0,2.0,1.9,.075,,-3.3,0.1,-3.2,-0.4
9,Thurl Bailey,Thurl Bailey,PF,24,UTA,UTA,82,2358,15.0,.499,.006,.257,6.9,15.7,11.4,9.7,0.8,2.7,10.7,23.0,,1.0,3.0,4.0,.081,,-0.5,-0.4,-0.9,0.7
10,Greg Ballard,Greg Ballard,SF,31,GSW,GSW,75,1792,13.4,.529,.061,.221,7.7,17.9,12.6,6.0,1.7,0.2,7.9,14.9,,2.6,1.0,3.6,.097,,-0.3,-0.7,-1.0,0.4
11,Gene Banks,Gene Banks,SF,26,CHI,CHI,82,2139,15.5,.559,.028,.371,9.1,10.0,9.5,16.6,1.8,0.3,14.8,17.9,,3.7,0.6,4.3,.097,,1.6,-0.9,0.8,1.5
