ranker,player,,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,DUMMY,ows,dws,ws,ws_per_48,DUMMY,obpm,dbpm,bpm,vorp
23,Steve Bardo,Steve Bardo,SG,24,DAL,DAL,23,175,7.7,.367,.097,.274,5.7,18.3,11.4,23.9,2.2,1.1,19.7,20.1,,-0.4,0.1,-0.3,-0.084,,-4.9,-0.3,-5.1,-0.1
24,Charles Barkley*,Charles Barkley,PF,29,PHO,PHO,76,2859,25.9,.596,.160,.423,9.5,26.3,18.1,21.2,2.0,1.6,12.5,26.9,,9.6,4.8,14.4,.242,,6.3,1.4,7.8,7.1
25,Dana Barros,Dana Barros,PG,25,SEA,SEA,69,1243,15.0,.541,.357,.124,1.7,8.5,5.0,17.2,2.5,0.2,10.4,18.9,,2.1,1.4,3.5,.134,,1.1,0.4,1.5,1.1
26,Jon Barry,Jon Barry,SG,23,MIL,MIL,47,552,9.6,.453,.306,.238,2.1,7.0,4.5,17.8,3.2,0.4,15.6,20.9,,-0.5,0.4,-0.1,-0.011,,-3.8,-0.3,-4.1,-0.3
27,John Battle,John Battle,SG,30,CLE,CLE,41,497,11.1,.481,.030,.360,1.0,5.5,3.3,15.6,0.9,0.6,8.7,22.6,,0.1,0.3,0.5,.047,,-3.2,-1.6,-4.8,-0.4
28,Kenny Battle,Kenny Battle,SG,28,BOS,BOS,3,29,20.7,.504,.077,.154,27.6,15.5,21.5,10.4,1.7,0.0,12.6,23.8,,0.1,0.0,0.1,.143,,2.8,-2.7,0.1,0.0
29,William Bedford,William Bedford,C,29,SAS,SAS,16,66,3.0,.387,.037,.444,1.8,14.9,8.7,0.0,0.0,0.9,3.0,22.2,,-0.1,0.1,-0.1,-0.050,,-9.3,-3.7,-13.0,-0.2
30,Benoit Benjamin,Benoit Benjamin,C,28,TOT,59,754,13.2,.529,.000,.384,7.7,24.5,16.0,4.3,2.1,4.2,19.8,22.2,,-0.5,1.4,0.9,.057,,-4.6,0.8,-3.8,-0.3
31,Tony Bennett,Tony Bennett,PG,23,CHH,CHH,75,857,9.3,.496,.308,.158,1.6,6.1,3.9,20.9,1.7,0.0,15.2,15.8,,0.3,0.4,0.7,.039,,-2.4,-0.7,-3.1,-0.2
32,David Benoit,David Benoit,SF,24,UTA,UTA,82,1712,11.3,.504,.166,.257,8.0,17.8,13.0,3.6,1.3,1.6,12.0,18.8,,0.3,2.0,2.3,.065,,-2.4,-0.9,-3.3,-0.6
33,Rolando Blackman,Rolando Blackman,SG,33,NYK,NYK,60,1434,10.6,.501,.135,.167,1.8,5.9,4.0,17.1,0.8,0.5,10.1,19.4,,0.9,2.0,2.9,.097,,-1.2,0.6,-0.7,0.5
34,Alex Blackwell,Alex Blackwell,SF,22,LAL,LAL,27,109,8.2,.373,.071,.190,10.4,13.7,12.0,9.1,1.8,1.1,9.9,19.8,,-0.1,0.1,0.0,-0.016,,-4.7,-1.0,-5.7,-0.1
35,Lance Blanks,Lance Blanks,SG,26,MIN,MIN,61,642,8.4,.491,.287,.213,3.4,9.3,6.4,16.9,1.3,0.5,15.9,13.5,,0.0,0.2,0.2,.013,,-2.5,-1.1,-3.7,-0.3
36,Ricky Blanton,Ricky Blanton,SF,26,CHI,CHI,2,13,19.3,.429,.000,.000,17.2,9.2,13.3,11.9,8.0,0.0,12.5,26.6,,0.0,0.0,0.0,.088,,-1.8,1.5,-0.3,0.0
37,Mookie Blaylock,Mookie Blaylock,PG,25,ATL,ATL,80,2820,17.1,.515,.327,.175,3.4,7.8,5.5,33.6,3.5,0.5,15.3,18.0,,4.4,2.6,7.0,.119,,2.3,1.1,3.4,3.8
