ranker,player,,pos,age,team_id,,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,DUMMY,ows,dws,ws,ws_per_48,DUMMY,obpm,dbpm,bpm,vorp
1,Kareem Abdul-Jabbar*,Kareem Abdul-Jabbar,C,33,LAL,LAL,80,2976,25.5,.616,.001,.379,7.6,21.5,15.0,13.6,0.9,4.0,12.8,26.3,,9.6,4.6,14.3,.230,,4.7,1.4,6.1,6.1
2,Tom Abernethy,Tom Abernethy,SF,26,TOT,39,298,8.0,.459,.017,.373,7.1,10.6,8.8,8.0,1.1,0.6,10.4,10.3,,0.2,0.2,0.4,.062,,-2.2,-0.4,-2.6,0.0
3,Alvan Adams,Alvan Adams,C,26,PHO,PHO,75,2054,20.3,.567,.000,.298,8.6,20.5,14.7,24.5,2.4,1.9,18.7,23.0,,3.3,4.5,7.7,.180,,2.5,2.6,5.1,3.7
4,Darrell Allums,Darrell Allums,PF,22,DAL,DAL,22,276,5.3,.385,.015,.328,7.6,19.7,13.4,12.5,0.9,1.7,23.1,15.1,,-0.5,0.2,-0.3,-0.054,,-5.5,-0.1,-5.6,-0.3
5,Tiny Archibald*,Tiny Archibald,PG,32,BOS,BOS,80,2820,14.3,.582,.012,.547,1.5,5.4,3.6,28.5,1.3,0.4,21.8,17.5,,4.6,2.3,6.9,.118,,0.9,-1.0,-0.1,1.4
6,Dennis Awtrey,Dennis Awtrey,C,32,SEA,SEA,47,607,6.7,.501,.000,.215,6.1,13.3,9.8,11.5,0.9,0.7,24.5,9.0,,0.0,0.6,0.6,.047,,-3.2,0.7,-2.5,-0.1
7,James Bailey,James Bailey,PF,23,SEA,SEA,82,2539,14.5,.546,.002,.406,8.5,17.6,13.1,5.8,1.4,3.1,17.3,20.3,,1.4,3.6,4.9,.094,,-1.7,0.6,-1.1,0.6
8,Greg Ballard,Greg Ballard,SF,26,WSB,WSB,82,2610,16.7,.500,.027,.165,6.7,16.8,11.7,10.9,2.1,0.8,8.4,21.4,,2.8,4.1,6.9,.127,,0.8,1.4,2.2,2.8
9,Mike Bantom,Mike Bantom,SF,29,IND,IND,76,2375,14.5,.528,.007,.319,6.7,13.1,9.8,14.4,1.6,2.0,16.4,20.3,,1.8,2.5,4.4,.088,,-0.2,0.1,-0.1,1.2
10,Billy Ray Bates,Billy Ray Bates,SG,24,POR,POR,77,1560,19.3,.537,.060,.221,4.9,6.0,5.5,19.0,2.4,0.2,13.1,28.9,,2.4,1.2,3.6,.111,,2.3,-0.9,1.3,1.3
