ranker,player,,pos,age,team_id,,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,DUMMY,ows,dws,ws,ws_per_48,DUMMY,obpm,dbpm,bpm,vorp
1,Mahmoud Abdul-Rauf,Mahmoud Abdul-Rauf,PG,28,SAC,SAC,31,530,10.5,.405,.114,.059,1.2,6.7,3.9,19.7,1.6,0.1,6.4,25.1,,-0.5,0.2,-0.3,-0.025,,-3.1,-1.5,-4.6,-0.4
2,Tariq Abdul-Wahad,Tariq Abdul-Wahad,SG,23,SAC,SAC,59,959,10.1,.456,.053,.350,5.0,8.6,6.7,8.9,1.9,0.9,13.6,22.1,,-0.8,0.6,-0.2,-0.008,,-3.6,-1.2,-4.8,-0.7
3,Shareef Abdur-Rahim,Shareef Abdur-Rahim,SF,21,VAN,VAN,82,2950,21.1,.562,.038,.475,8.9,13.8,11.3,13.5,1.6,1.8,13.6,28.4,,6.3,0.6,6.9,.113,,3.4,-1.8,1.6,2.6
4,Cory Alexander,Cory Alexander,PG,24,TOT,60,1298,15.2,.548,.440,.255,1.5,11.7,6.6,28.7,2.9,0.6,20.1,19.8,,1.0,1.2,2.2,.081,,0.4,0.0,0.4,0.8
5,Ray Allen*,Ray Allen,SG,22,MIL,MIL,82,3287,16.2,.539,.280,.297,4.7,10.4,7.5,19.3,1.8,0.3,15.0,24.3,,4.7,2.3,7.0,.102,,1.9,-0.9,1.0,2.5
6,Derek Anderson,Derek Anderson,SF,23,CLE,CLE,66,1839,15.3,.531,.143,.538,3.7,8.7,6.2,21.3,2.5,0.5,15.0,21.4,,2.6,2.8,5.3,.139,,0.3,1.4,1.7,1.7
7,Greg Anderson,Greg Anderson,C,33,ATL,ATL,50,398,10.4,.444,.062,.506,12.0,22.6,17.4,5.9,2.6,1.8,14.7,13.5,,0.0,0.7,0.7,.090,,-4.3,0.9,-3.4,-0.1
8,Kenny Anderson,Kenny Anderson,PG,27,TOT,61,1858,14.8,.491,.237,.288,2.5,8.4,5.4,31.4,2.5,0.0,15.8,21.8,,1.7,2.0,3.7,.096,,0.3,0.0,0.3,1.1
9,Nick Anderson,Nick Anderson,SF,30,ORL,ORL,58,1701,19.6,.529,.284,.264,6.6,14.1,10.3,14.1,2.3,1.0,9.2,25.0,,3.1,2.1,5.3,.149,,4.0,0.7,4.8,2.9
10,Shandon Anderson,Shandon Anderson,SG,24,UTA,UTA,82,1602,15.7,.586,.064,.370,7.1,10.3,8.8,9.4,2.2,0.8,13.5,19.5,,2.9,1.4,4.2,.127,,0.8,-0.1,0.7,1.1
11,Chris Anstey,Chris Anstey,C,23,DAL,DAL,41,680,13.2,.455,.069,.320,8.5,17.4,12.8,8.7,2.4,2.8,13.5,20.5,,-0.2,0.9,0.6,.044,,-3.4,0.6,-2.8,-0.1
12,Greg Anthony,Greg Anthony,PG,30,SEA,SEA,80,1021,16.8,.545,.456,.229,2.1,10.7,6.5,32.1,3.4,0.2,19.1,21.6,,1.4,1.3,2.7,.127,,1.8,0.8,2.5,1.2
13,B.J. Armstrong,B.J. Armstrong,PG,30,TOT,66,831,14.6,.555,.164,.235,2.3,8.6,5.5,29.0,1.9,0.0,15.2,15.3,,1.6,0.6,2.2,.124,,0.0,0.1,0.1,0.4
14,Darrell Armstrong,Darrell Armstrong,PG,29,ORL,ORL,48,1236,15.7,.509,.179,.324,6.1,9.2,7.6,33.4,2.6,0.3,20.5,20.2,,1.2,1.3,2.5,.096,,1.0,0.2,1.1,1.0
15,Vincent Askew,Vincent Askew,SG,31,POR,POR,30,443,6.7,.464,.037,.722,5.7,11.9,8.9,12.5,2.3,0.8,33.0,10.9,,-0.4,0.6,0.2,.023,,-4.1,2.0,-2.1,0.0
16,Keith Askins,Keith Askins,SF,30,MIA,MIA,46,681,5.5,.426,.607,.156,5.0,12.2,8.7,6.4,2.2,1.3,16.6,10.7,,-0.3,1.0,0.7,.050,,-4.2,1.9,-2.3,0.0
17,Stacey Augmon,Stacey Augmon,SG,29,POR,POR,71,1445,10.3,.457,.019,.419,8.7,10.2,9.5,9.8,2.1,1.6,15.5,16.3,,-0.1,1.9,1.8,.059,,-2.5,0.9,-1.6,0.2
18,Isaac Austin,Isaac Austin,C,28,TOT,78,2266,16.3,.512,.009,.417,10.3,18.0,14.2,14.0,1.4,1.7,16.7,25.0,,1.2,2.5,3.6,.077,,-0.4,-0.9,-1.3,0.4
19,Vin Baker,Vin Baker,C,26,SEA,SEA,82,2944,20.4,.564,.006,.452,11.8,14.8,13.3,9.3,1.7,2.2,11.1,24.7,,6.9,3.5,10.4,.169,,1.9,-0.9,1.0,2.2
20,Charles Barkley*,Charles Barkley,PF,34,HOU,HOU,68,2243,21.6,.564,.113,.534,12.9,28.8,20.9,16.6,1.7,0.9,13.8,21.6,,6.1,2.5,8.6,.183,,3.1,-0.4,2.7,2.7
21,Dana Barros,Dana Barros,PG,30,BOS,BOS,80,1686,18.6,.583,.404,.236,1.8,9.6,5.3,28.4,2.5,0.3,13.7,20.0,,4.4,1.3,5.6,.160,,3.5,0.0,3.5,2.3
22,Brent Barry,Brent Barry,SG,26,TOT,58,1600,14.3,.558,.453,.265,2.1,10.2,6.1,15.8,2.1,1.1,15.5,18.7,,2.1,0.6,2.7,.080,,0.7,-0.2,0.5,1.0
23,Drew Barry,Drew Barry,PG,24,ATL,ATL,27,256,10.7,.640,.553,.342,2.4,13.3,8.0,29.2,2.1,0.3,40.7,13.3,,0.0,0.3,0.3,.058,,-2.7,-0.5,-3.2,-0.1
24,Jon Barry,Jon Barry,SG,28,LAL,LAL,49,374,13.3,.518,.587,.279,2.5,8.6,5.6,19.7,3.3,0.6,15.9,16.4,,0.5,0.4,0.9,.116,,-0.7,1.0,0.2,0.2
25,Tony Battie,Tony Battie,PF,21,DEN,DEN,65,1506,13.3,.477,.027,.198,10.5,17.2,13.7,7.6,1.9,3.4,14.7,20.2,,-0.3,0.8,0.5,.015,,-2.5,-1.3,-3.9,-0.7
26,Corey Beck,Corey Beck,PG,26,CHH,CHH,59,738,9.3,.516,.025,.371,4.5,10.2,7.4,20.4,2.4,0.7,27.5,16.0,,-0.3,0.7,0.4,.028,,-3.7,0.8,-2.9,-0.2
27,Benoit Benjamin,Benoit Benjamin,C,33,PHI,PHI,14,197,12.5,.581,.000,.732,10.4,20.6,15.5,2.5,1.1,1.5,18.1,15.1,,0.2,0.2,0.4,.098,,-2.1,-1.1,-3.2,-0.1
28,Mario Bennett,Mario Bennett,PF,24,LAL,LAL,45,354,22.2,.573,.015,.326,19.7,20.6,20.1,9.0,2.8,2.2,12.0,21.8,,0.9,0.6,1.5,.201,,1.4,-0.5,0.9,0.3
29,David Benoit,David Benoit,SF,29,TOT,77,1123,10.5,.477,.417,.181,5.9,15.6,10.5,3.7,1.7,1.3,10.6,19.4,,0.5,1.1,1.6,.067,,-2.2,-0.3,-2.6,-0.2
30,Travis Best,Travis Best,PG,25,IND,IND,82,1547,13.6,.498,.146,.273,2.3,7.0,4.7,29.9,3.0,0.2,17.1,20.0,,1.2,2.1,3.3,.103,,-1.2,1.4,0.3,0.9
31,Chauncey Billups,Chauncey Billups,PG,21,TOT,80,2216,13.6,.516,.434,.355,3.0,7.1,5.0,22.6,2.5,0.1,16.7,20.4,,2.1,0.9,3.0,.065,,0.2,-1.4,-1.2,0.5
32,Mookie Blaylock,Mookie Blaylock,PG,30,ATL,ATL,70,2700,16.1,.462,.356,.143,3.7,10.9,7.4,29.5,3.7,0.5,15.0,20.1,,1.9,3.7,5.6,.099,,1.2,1.5,2.6,3.2
33,Corie Blount,Corie Blount,PF,29,LAL,LAL,70,1029,11.9,.572,.021,.417,12.9,19.7,16.4,5.2,1.4,1.7,18.7,11.7,,1.2,1.4,2.6,.120,,-1.8,-0.2,-2.0,0.0
34,Muggsy Bogues,Muggsy Bogues,PG,33,TOT,61,1570,12.4,.492,.050,.211,2.0,7.1,4.5,33.6,2.2,0.1,22.9,12.7,,0.7,1.0,1.7,.053,,-1.5,0.2,-1.4,0.3
35,Etdrick Bohannon,Etdrick Bohannon,PF,24,IND,IND,5,11,-10.3,.000,.000,.000,23.1,41.7,32.8,12.3,0.0,12.9,42.9,30.3,,-0.2,0.0,-0.1,-0.520,,-22.7,-1.2,-23.9,-0.1
36,Keith Booth,Keith Booth,SF,23,CHI,CHI,6,17,13.8,.579,.167,1.000,13.4,13.5,13.5,9.0,0.0,0.0,25.8,30.7,,0.0,0.0,0.0,.107,,-4.3,-2.7,-7.0,0.0
37,Bruce Bowen,Bruce Bowen,SF,26,BOS,BOS,61,1305,11.0,.483,.198,.409,6.6,9.4,7.9,9.3,3.4,1.7,12.9,13.4,,0.8,1.4,2.2,.081,,-2.0,1.5,-0.4,0.5
38,Anthony Bowie,Anthony Bowie,SG,34,NYK,NYK,27,224,12.9,.596,.068,.153,4.8,9.2,7.0,8.5,1.5,0.7,10.0,14.6,,0.4,0.3,0.7,.148,,-0.5,0.8,0.4,0.1
39,Shawn Bradley,Shawn Bradley,C,25,DAL,DAL,64,1822,17.7,.463,.004,.253,9.8,22.1,15.8,5.9,1.5,8.2,10.8,22.3,,0.0,3.0,2.9,.077,,-2.1,1.6,-0.4,0.7
40,Terrell Brandon,Terrell Brandon,PG,27,MIL,MIL,50,1784,20.2,.526,.127,.213,1.6,10.6,6.0,40.0,3.3,0.7,15.3,24.2,,3.1,2.0,5.1,.136,,2.8,0.8,3.7,2.5
41,Tim Breaux,Tim Breaux,SF,27,MIL,MIL,6,30,11.6,.421,.273,.182,0.0,8.2,4.1,11.1,3.5,2.5,7.8,19.6,,0.0,0.0,0.0,.028,,-0.8,0.5,-0.3,0.0
42,Scott Brooks,Scott Brooks,PG,32,CLE,CLE,43,312,13.9,.528,.167,.303,2.4,9.3,5.9,25.3,3.1,0.7,13.8,12.8,,0.5,0.5,1.0,.156,,-0.2,2.8,2.6,0.4
43,Chucky Brown,Chucky Brown,SF,29,ATL,ATL,77,1202,10.5,.472,.022,.234,5.8,11.9,9.0,7.7,1.0,0.8,11.1,17.8,,0.5,0.9,1.4,.056,,-2.3,-1.2,-3.4,-0.4
44,Dee Brown,Dee Brown,SG,29,TOT,72,1719,14.2,.555,.482,.126,1.5,9.1,5.1,14.8,2.5,1.0,11.0,16.9,,2.6,0.8,3.4,.095,,0.9,-0.5,0.4,1.0
45,P.J. Brown,P.J. Brown,PF,28,MIA,MIA,74,2362,15.0,.522,.000,.334,12.1,19.2,15.8,7.2,1.5,3.0,12.5,15.3,,3.5,4.0,7.5,.152,,-0.2,1.0,0.8,1.7
46,Randy Brown,Randy Brown,PG,29,CHI,CHI,71,1147,10.1,.428,.017,.258,3.4,6.0,4.7,19.6,3.3,0.8,15.8,15.6,,-0.1,1.9,1.8,.075,,-4.0,2.3,-1.6,0.1
47,Rick Brunson,Rick Brunson,PG,25,POR,POR,38,622,9.6,.481,.433,.440,2.7,7.6,5.2,24.8,2.1,0.4,23.6,16.0,,-0.1,0.7,0.6,.048,,-2.4,0.0,-2.4,-0.1
