ranker,player,,pos,age,team_id,,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,DUMMY,ows,dws,ws,ws_per_48,DUMMY,obpm,dbpm,bpm,vorp
1,Kareem Abdul-Jabbar*,Kareem Abdul-Jabbar,C,40,LAL,LAL,80,2308,15.8,.570,.001,.298,6.1,16.9,11.7,8.4,1.0,2.2,13.5,21.4,,2.6,2.7,5.3,.111,,-0.1,0.1,0.0,1.2
2,Mark Acres,Mark Acres,C,25,BOS,BOS,79,1151,9.3,.570,.000,.547,11.6,15.9,13.9,4.5,1.2,1.3,17.7,11.4,,1.1,1.0,2.2,.090,,-2.6,-0.2,-2.8,-0.2
3,Alvan Adams,Alvan Adams,C,33,PHO,PHO,82,1646,13.1,.543,.004,.253,8.0,17.0,12.5,14.9,2.4,1.4,19.9,17.4,,0.6,1.6,2.2,.064,,-1.5,1.0,-0.5,0.6
4,Michael Adams,Michael Adams,PG,25,DEN,DEN,82,2778,15.6,.560,.409,.215,1.5,7.2,4.2,22.5,2.8,0.3,12.4,16.2,,4.4,3.2,7.5,.130,,1.5,0.9,2.5,3.1
5,Mark Aguirre,Mark Aguirre,SF,28,DAL,DAL,77,2610,21.9,.539,.109,.321,7.7,10.3,9.0,18.4,1.3,1.3,10.2,31.6,,6.5,2.3,8.8,.163,,4.6,-0.8,3.8,3.9
6,Danny Ainge,Danny Ainge,SG,28,BOS,BOS,81,3018,15.9,.598,.364,.183,2.5,7.0,4.9,22.2,1.9,0.3,12.6,17.3,,6.7,1.9,8.6,.136,,2.7,-0.3,2.4,3.3
7,Mark Alarie,Mark Alarie,PF,24,WSB,WSB,63,769,11.6,.508,.060,.163,10.1,13.2,11.6,7.7,0.6,0.9,13.5,19.9,,0.3,0.6,0.9,.058,,-1.9,-1.3,-3.2,-0.2
8,Steve Alford,Steve Alford,PG,23,DAL,DAL,28,197,11.6,.472,.145,.309,1.7,10.9,6.3,15.4,4.3,0.9,16.1,15.6,,0.0,0.3,0.3,.082,,-4.1,3.1,-1.1,0.0
9,Greg Anderson,Greg Anderson,PF,23,SAS,SAS,82,1984,14.7,.531,.007,.434,8.7,19.4,14.0,5.3,1.3,3.4,13.7,20.8,,0.8,1.5,2.3,.056,,-1.6,-1.1,-2.7,-0.4
10,Richard Anderson,Richard Anderson,PF,27,TOT,74,1350,11.1,.474,.342,.175,7.3,17.0,12.1,10.4,1.8,0.7,11.4,15.6,,0.7,1.6,2.3,.082,,-0.7,0.1,-0.6,0.5
11,Ron Anderson,Ron Anderson,SF,29,IND,IND,74,1097,16.2,.544,.005,.323,8.9,12.6,10.8,10.5,1.8,0.3,12.8,22.0,,1.3,1.2,2.5,.108,,0.9,-0.3,0.6,0.7
12,Joe Arlauckas,Joe Arlauckas,SF,22,SAC,SAC,9,85,7.9,.365,.000,.186,7.6,9.0,8.3,13.3,1.7,2.6,7.9,24.0,,-0.1,0.1,-0.1,-0.045,,-5.1,-1.7,-6.8,-0.1
13,Vincent Askew,Vincent Askew,SG,21,PHI,PHI,14,234,7.1,.330,.000,.149,3.0,8.0,5.5,19.8,2.1,1.5,13.2,16.4,,-0.4,0.2,-0.2,-0.043,,-3.3,0.5,-2.8,0.0
14,John Bagley,John Bagley,PG,27,NJN,NJN,82,2774,12.4,.503,.180,.201,2.5,8.5,5.4,25.8,1.9,0.2,17.1,17.9,,0.8,1.7,2.6,.044,,-0.7,-0.7,-1.4,0.4
15,James Bailey,James Bailey,PF,30,PHO,PHO,65,869,8.3,.514,.017,.369,9.4,17.9,13.6,6.2,0.9,1.9,20.0,16.4,,-0.2,0.6,0.4,.023,,-5.1,-0.7,-5.7,-0.8
16,Thurl Bailey,Thurl Bailey,SF,26,UTA,UTA,82,2804,16.3,.547,.002,.317,5.4,14.6,10.2,8.6,0.8,2.6,11.5,24.2,,2.7,4.1,6.8,.116,,0.3,-0.1,0.2,1.6
17,Charles Barkley*,Charles Barkley,PF,24,PHI,PHI,80,3170,27.6,.665,.122,.741,14.0,20.8,17.4,14.1,1.6,1.9,15.2,26.7,,13.4,3.3,16.7,.253,,7.3,0.1,7.4,7.5
18,John Battle,John Battle,SG,25,ATL,ATL,67,1227,16.3,.512,.067,.307,2.3,7.9,5.1,20.0,1.3,0.2,9.7,26.4,,1.5,0.8,2.3,.092,,1.4,-1.0,0.4,0.7
19,William Bedford,William Bedford,C,24,DET,DET,38,298,9.0,.454,.000,.228,10.4,13.9,12.2,1.8,1.3,3.3,14.6,18.2,,-0.2,0.5,0.2,.039,,-4.4,0.6,-3.8,-0.1
20,Benoit Benjamin,Benoit Benjamin,C,23,LAC,LAC,66,2171,14.1,.534,.012,.368,5.3,21.2,13.0,12.2,1.1,5.9,21.7,19.3,,-1.4,3.5,2.0,.045,,-2.8,2.8,-0.1,1.0
21,Kent Benson,Kent Benson,C,33,CLE,CLE,2,12,11.8,.868,.000,1.000,0.0,9.6,4.9,0.0,4.1,4.9,41.0,17.4,,0.0,0.0,0.0,.015,,-6.3,2.4,-3.9,0.0
22,Walter Berry,Walter Berry,SF,23,SAS,SAS,73,1922,18.8,.578,.000,.333,9.8,12.4,11.1,8.7,1.3,1.8,12.8,25.9,,2.7,0.7,3.4,.086,,1.6,-2.0,-0.4,0.8
23,Larry Bird*,Larry Bird,SF,31,BOS,BOS,76,2965,27.8,.608,.142,.271,4.6,22.3,14.0,25.7,2.1,1.1,10.2,30.2,,11.2,3.8,15.0,.243,,7.8,1.0,8.8,8.1
24,Otis Birdsong,Otis Birdsong,SG,32,NJN,NJN,67,1882,10.4,.470,.034,.125,4.3,6.0,5.1,18.7,1.4,0.4,14.2,20.3,,-0.9,0.8,-0.1,-0.003,,-2.0,-1.4,-3.4,-0.7
25,Uwe Blab,Uwe Blab,C,25,DAL,DAL,73,658,7.4,.504,.000,.492,8.7,13.3,11.1,6.9,0.6,2.5,23.4,13.2,,-0.1,0.6,0.5,.036,,-4.7,0.3,-4.5,-0.4
26,Rolando Blackman,Rolando Blackman,SG,28,DAL,DAL,71,2580,16.0,.544,.005,.361,3.5,6.8,5.2,15.1,1.2,0.4,10.6,21.8,,5.1,1.6,6.8,.126,,1.0,-0.8,0.2,1.4
27,Nate Blackwell,Nate Blackwell,PG,22,SAS,SAS,10,112,6.1,.424,.268,.146,1.9,3.9,2.9,20.0,1.2,0.0,15.5,18.2,,-0.1,0.0,-0.1,-0.045,,-4.6,-2.6,-7.2,-0.1
28,Muggsy Bogues,Muggsy Bogues,PG,23,WSB,WSB,79,1628,12.7,.429,.038,.174,2.4,7.0,4.7,33.5,3.8,0.1,18.0,14.2,,0.2,2.1,2.3,.066,,-1.0,1.9,0.9,1.2
29,Manute Bol,Manute Bol,C,25,WSB,WSB,77,1136,10.8,.472,.006,.297,7.0,20.2,13.5,1.5,0.5,10.6,15.8,8.0,,-0.1,2.1,2.0,.085,,-3.4,4.5,1.1,0.9
30,Dudley Bradley,Dudley Bradley,SG,30,TOT,65,1437,11.4,.519,.279,.266,1.9,8.5,5.1,15.0,3.9,1.8,17.8,14.6,,0.1,1.8,1.9,.064,,-2.2,3.1,0.8,1.0
31,Adrian Branch,Adrian Branch,SF,24,NJN,NJN,20,308,10.4,.461,.037,.172,7.3,10.9,9.0,8.3,2.5,2.2,16.8,23.7,,-0.5,0.3,-0.1,-0.021,,-3.8,-0.4,-4.3,-0.2
32,Randy Breuer,Randy Breuer,C,27,MIL,MIL,81,2258,15.3,.530,.000,.363,9.5,18.0,13.7,6.7,1.0,2.8,10.5,19.0,,2.4,2.8,5.1,.109,,-0.1,0.0,-0.1,1.1
33,Frank Brickowski,Frank Brickowski,C,28,SAS,SAS,70,2227,16.0,.584,.006,.434,8.0,15.5,11.7,16.0,1.5,0.9,17.8,20.7,,3.0,1.1,4.1,.088,,0.3,-0.9,-0.6,0.8
34,Michael Brooks,Michael Brooks,SF,29,DEN,DEN,16,133,9.6,.424,.000,.082,14.5,20.5,17.4,12.2,1.4,0.4,19.1,18.4,,-0.1,0.2,0.0,.016,,-4.2,-1.6,-5.7,-0.1
35,Mike Brown,Mike Brown,C,24,CHI,CHI,46,591,10.0,.480,.006,.408,12.9,17.9,15.4,6.5,0.9,0.4,15.6,17.7,,0.0,0.7,0.7,.058,,-3.9,-1.6,-5.5,-0.5
36,Steve Burtt,Steve Burtt,SG,25,LAC,LAC,19,312,10.2,.508,.029,.500,2.0,7.4,4.6,20.1,1.5,0.9,19.2,27.2,,-0.4,0.2,-0.1,-0.019,,-4.5,-0.8,-5.3,-0.3
37,Michael Cage,Michael Cage,PF,26,LAC,LAC,72,2660,16.4,.537,.001,.619,14.3,23.5,18.8,6.2,1.6,1.2,14.1,17.3,,2.9,3.8,6.7,.121,,0.0,-0.6,-0.6,0.9
38,Tony Campbell,Tony Campbell,SF,25,LAL,LAL,13,242,14.2,.605,.030,.386,3.9,8.5,6.3,9.3,2.2,0.5,18.0,24.9,,0.2,0.2,0.4,.079,,-2.9,-0.6,-3.5,-0.1
39,Rick Carlisle,Rick Carlisle,SG,28,NYK,NYK,26,204,9.0,.515,.254,.164,3.3,4.1,3.6,22.2,2.6,1.2,23.4,18.7,,-0.1,0.2,0.2,.036,,-2.5,1.0,-1.5,0.0
40,Antoine Carr,Antoine Carr,PF,26,ATL,ATL,80,1483,15.5,.590,.008,.352,7.0,14.7,10.8,10.2,1.3,3.4,16.3,20.2,,2.0,1.8,3.8,.122,,-1.0,1.3,0.3,0.9
41,Joe Barry Carroll,Joe Barry Carroll,C,29,TOT,77,2004,13.6,.477,.002,.244,6.9,18.9,12.9,8.3,1.2,3.0,13.8,23.8,,-1.1,2.7,1.6,.039,,-2.2,0.1,-2.2,-0.1
42,Bill Cartwright,Bill Cartwright,C,30,NYK,NYK,82,1676,17.8,.639,.000,.807,8.4,18.1,13.1,7.5,1.2,1.6,15.9,20.6,,4.3,2.1,6.4,.183,,1.5,0.5,2.0,1.7
43,Terry Catledge,Terry Catledge,PF,24,WSB,WSB,70,1610,14.7,.542,.003,.402,12.4,15.2,13.8,5.9,1.0,0.3,12.8,20.2,,2.0,1.5,3.5,.103,,0.0,-1.6,-1.6,0.1
44,Tom Chambers,Tom Chambers,PF,28,SEA,SEA,82,2680,16.8,.526,.080,.380,5.5,15.3,10.3,11.9,1.6,1.2,11.6,27.0,,3.7,2.7,6.4,.114,,0.8,-0.8,0.0,1.3
45,Maurice Cheeks*,Maurice Cheeks,PG,31,PHI,PHI,79,2871,18.0,.551,.025,.318,2.4,7.9,5.1,33.6,2.9,0.5,14.0,16.9,,6.1,2.2,8.3,.138,,2.6,0.8,3.4,3.9
46,Ben Coleman,Ben Coleman,PF,26,TOT,70,1498,12.0,.555,.007,.408,8.8,18.5,13.5,6.4,1.4,1.6,19.2,18.6,,0.4,1.4,1.8,.058,,-2.8,-0.3,-3.1,-0.4
47,Norris Coleman,Norris Coleman,SF,26,LAC,LAC,29,431,6.6,.370,.010,.188,8.6,11.5,10.0,4.6,1.2,0.8,7.2,21.0,,-0.8,0.4,-0.4,-0.046,,-5.2,-1.9,-7.1,-0.6
