ranker,player,,pos,age,team_id,,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,DUMMY,ows,dws,ws,ws_per_48,DUMMY,obpm,dbpm,bpm,vorp
1,Precious Achiuwa,Precious Achiuwa,PF,21,MIA,MIA,61,737,14.2,.550,.004,.482,11.5,20.6,16.1,6.1,1.3,4.0,13.5,19.5,,0.3,1.0,1.3,.085,,-3.5,-0.9,-4.5,-0.5
2,Jaylen Adams,Jaylen Adams,PG,24,MIL,MIL,7,18,-6.5,.125,.250,.000,0.0,16.9,8.8,12.7,0.0,0.0,0.0,18.6,,-0.1,0.0,-0.1,-0.252,,-14.9,-5.0,-19.8,-0.1
3,Steven Adams,Steven Adams,C,27,NOP,NOP,58,1605,15.1,.596,.010,.438,14.4,20.4,17.4,9.1,1.6,2.2,17.5,11.7,,2.3,1.7,4.0,.119,,-0.3,-0.5,-0.8,0.5
4,Bam Adebayo,Bam Adebayo,C,23,MIA,MIA,64,2143,22.7,.626,.010,.443,7.7,22.6,15.3,26.9,1.7,3.2,15.0,23.7,,5.6,3.2,8.8,.197,,2.9,1.9,4.7,3.6
5,LaMarcus Aldridge,LaMarcus Aldridge,C,35,TOT,26,674,15.7,.556,.270,.159,3.0,15.8,9.4,11.0,0.8,3.7,7.9,22.2,,0.5,0.6,1.1,.080,,-0.2,-0.4,-0.6,0.2
6,Ty-Shon Alexander,Ty-Shon Alexander,SG,22,PHO,PHO,15,47,4.2,.349,.750,.167,4.9,19.0,12.1,15.4,0.0,1.9,18.9,15.0,,-0.1,0.0,0.0,-0.048,,-5.3,-1.6,-6.8,-0.1
7,Nickeil Alexander-Walker,Nickeil Alexander-Walker,SG,22,NOP,NOP,46,1007,12.5,.522,.478,.144,1.4,14.1,7.8,14.7,2.2,2.1,12.4,23.2,,-0.3,1.0,0.7,.035,,-1.4,-0.2,-1.6,0.1
8,Grayson Allen,Grayson Allen,SG,25,MEM,MEM,50,1259,12.8,.586,.662,.220,1.6,12.0,6.7,11.5,1.7,0.6,9.6,16.8,,1.5,1.2,2.7,.101,,-0.4,-0.1,-0.5,0.5
9,Jarrett Allen,Jarrett Allen,C,22,TOT,63,1864,20.1,.661,.039,.602,11.6,26.3,18.9,8.7,0.8,4.3,14.1,16.6,,4.3,2.1,6.4,.166,,1.4,-0.4,0.9,1.4
10,Al-Farouq Aminu,Al-Farouq Aminu,PF,30,TOT,23,434,8.9,.469,.374,.222,5.1,21.9,13.3,10.1,2.1,1.9,20.5,13.6,,-0.4,0.5,0.1,.010,,-5.0,1.0,-4.0,-0.2
11,Kyle Anderson,Kyle Anderson,PF,27,MEM,MEM,69,1887,17.2,.578,.397,.280,2.9,19.5,11.1,18.3,2.1,2.7,10.4,18.5,,2.9,2.7,5.6,.143,,1.4,1.7,3.1,2.4
12,Giannis Antetokounmpo,Giannis Antetokounmpo,PF,26,MIL,MIL,61,2013,29.2,.633,.201,.528,5.3,28.9,17.5,28.7,1.7,3.2,13.2,32.5,,6.9,3.3,10.2,.244,,6.2,2.6,8.8,5.5
13,Kostas Antetokounmpo,Kostas Antetokounmpo,PF,23,LAL,LAL,15,56,0.0,.382,.000,1.300,8.1,29.9,19.1,2.3,1.7,6.4,41.2,20.7,,-0.3,0.1,-0.2,-0.174,,-13.2,0.2,-13.0,-0.2
14,Thanasis Antetokounmpo,Thanasis Antetokounmpo,SF,28,MIL,MIL,57,551,10.3,.523,.212,.358,10.7,12.9,11.8,10.3,1.9,1.6,21.3,15.3,,0.0,0.6,0.7,.057,,-3.6,-0.3,-3.9,-0.3
15,Carmelo Anthony,Carmelo Anthony,PF,36,POR,POR,69,1690,14.6,.547,.418,.198,2.0,11.8,6.8,9.2,1.3,2.0,6.7,23.1,,1.7,0.8,2.6,.073,,0.1,-1.6,-1.5,0.2
16,Cole Anthony,Cole Anthony,PG,20,ORL,ORL,47,1273,12.1,.496,.312,.237,3.0,15.4,9.0,24.2,1.1,1.3,14.8,24.3,,-0.9,0.9,0.0,-0.001,,-2.0,-1.3,-3.3,-0.4
17,OG Anunoby,OG Anunoby,SF,23,TOR,TOR,43,1433,15.4,.605,.503,.197,4.0,14.6,9.1,10.1,2.2,2.2,11.7,19.3,,1.5,1.6,3.1,.104,,0.6,0.3,1.0,1.1
18,Ryan Arcidiacono,Ryan Arcidiacono,PG,26,CHI,CHI,44,450,9.8,.541,.573,.171,1.2,15.1,8.3,16.3,1.0,0.0,7.4,13.1,,0.5,0.4,0.9,.093,,-2.7,0.2,-2.5,-0.1
19,Trevor Ariza,Trevor Ariza,SF,35,MIA,MIA,30,841,11.9,.542,.593,.183,3.7,15.6,9.8,9.4,1.8,2.2,7.5,15.1,,0.5,1.0,1.6,.091,,-1.5,0.2,-1.3,0.2
20,D.J. Augustin,D.J. Augustin,PG,33,TOT,57,1129,12.1,.570,.633,.274,1.9,7.0,4.4,22.2,1.2,0.1,14.5,16.8,,1.5,0.5,2.1,.088,,-0.5,-1.6,-2.1,0.0
21,Deni Avdija,Deni Avdija,SF,20,WAS,WAS,54,1257,7.6,.515,.538,.144,1.9,20.2,11.0,6.3,1.2,1.0,9.0,12.0,,0.0,1.2,1.2,.046,,-3.6,-0.3,-3.9,-0.6
22,Deandre Ayton,Deandre Ayton,C,22,PHO,PHO,69,2115,20.3,.653,.029,.252,12.4,26.3,19.5,6.8,1.0,3.4,11.9,18.2,,5.3,3.1,8.4,.191,,0.9,0.0,0.9,1.6
23,Udoka Azubuike,Udoka Azubuike,C,21,UTA,UTA,15,57,10.3,.597,.000,1.111,7.8,16.0,12.1,0.0,0.9,5.7,18.3,12.4,,0.0,0.1,0.1,.119,,-5.6,0.7,-4.9,0.0
