Player,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Larry Bird,BOS,38:00,9,23,.391,0,1,.000,5,7,.714,1,8,9,2,3,1,2,1,23,.441,.391,.043,.304,3.2,19.4,12.5,8.8,3.4,1.3,7.1,27.8,95,109
Cedric Maxwell,BOS,35:00,3,6,.500,0,0,,12,14,.857,5,4,9,1,0,0,3,3,18,.740,.500,.000,2.333,17.6,10.5,13.6,3.8,0.0,0.0,19.8,16.3,136,120
Dennis Johnson,BOS,23:00,2,6,.333,0,0,,6,6,1.000,2,2,4,2,0,0,3,6,10,.579,.333,.000,1.000,10.7,8.0,9.2,11.7,0.0,0.0,25.8,19.1,105,120
Robert Parish,BOS,23:00,3,8,.375,0,0,,0,0,,0,4,4,2,0,1,5,5,6,.375,.375,.000,.000,0.0,16.1,9.2,12.4,0.0,2.1,38.5,21.3,52,116
Gerald Henderson,BOS,22:00,4,6,.667,1,1,1.000,2,2,1.000,0,0,0,6,2,1,2,5,11,.799,.750,.167,.333,0.0,0.0,0.0,41.9,3.9,2.2,22.5,15.2,136,114
Kevin McHale,BOS,35:00,8,13,.615,0,0,,9,9,1.000,3,12,15,1,1,3,2,5,25,.737,.615,.000,.692,10.5,31.6,22.6,4.7,1.2,4.2,10.5,20.4,144,106
Quinn Buckner,BOS,27:00,5,11,.455,0,1,.000,6,6,1.000,1,2,3,4,3,0,3,4,16,.587,.455,.091,.545,4.6,6.8,5.9,22.9,4.8,0.0,18.0,23.2,112,111
Danny Ainge,BOS,24:00,2,4,.500,0,0,,0,0,,0,2,2,4,0,0,2,6,4,.500,.500,.000,.000,0.0,7.7,4.4,22.2,0.0,0.0,33.3,9.4,87,121
Scott Wedman,BOS,13:00,4,9,.444,0,1,.000,0,0,,0,1,1,1,0,0,0,3,8,.444,.444,.111,.000,0.0,7.1,4.1,14.6,0.0,0.0,0.0,26.1,100,121
