name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Alaa Abdelnaby,BOS,PF,25,13,0,12.2,1.8,4.2,.436,0.0,0.0,,.436,.436,1.2,1.9,.640,0.9,2.6,3.5,0.2,0.2,0.2,1.3,1.5,4.9
Mahmoud Abdul-Rauf,DEN,PG,24,80,78,32.7,7.4,16.0,.460,0.5,1.7,.316,.476,.476,2.7,2.9,.956,0.3,1.8,2.1,4.5,1.0,0.1,1.9,1.9,18.0
Michael Adams,WSB,PG,31,70,67,33.4,4.1,10.0,.408,0.8,2.7,.288,.454,.448,3.2,3.9,.830,0.5,2.1,2.6,6.9,1.4,0.1,2.4,2.0,12.1
Mark Aguirre,LAC,SF,34,39,0,22.0,4.2,8.9,.468,0.9,2.4,.398,.494,.522,1.3,1.8,.694,0.7,2.3,3.0,2.7,0.5,0.2,1.8,2.5,10.6
Danny Ainge,PHO,SG,34,68,1,22.9,3.3,7.9,.417,1.2,3.6,.328,.491,.492,1.1,1.4,.830,0.4,1.5,1.9,2.6,0.8,0.1,1.2,2.1,8.9
Gary Alexander,TOT,PF,24,11,0,5.0,0.7,1.3,.571,0.0,0.0,,.571,.571,0.3,0.8,.333,0.6,0.7,1.4,0.2,0.3,0.0,0.7,0.9,1.7
Victor Alexander,GSW,C,24,69,39,19.1,3.9,7.3,.530,0.0,0.2,.154,.540,.532,1.0,1.9,.527,1.7,2.8,4.5,1.0,0.4,0.5,1.2,2.4,8.7
Eric Anderson,NYK,PF,23,11,0,3.5,0.6,1.5,.412,0.2,0.2,1.000,.333,.471,0.5,1.3,.357,0.5,1.0,1.5,0.2,0.0,0.1,0.2,0.8,1.9
Greg Anderson,DET,PF,29,77,47,21.1,2.6,4.8,.543,0.0,0.0,.333,.545,.545,1.1,2.0,.571,2.4,5.0,7.4,0.7,0.7,0.9,1.2,3.0,6.4
Kenny Anderson,NJN,PG,23,82,82,38.2,7.0,16.8,.417,0.5,1.6,.303,.429,.432,4.2,5.2,.818,1.1,2.8,3.9,9.6,1.9,0.2,3.2,2.5,18.8
Nick Anderson,ORL,SG,26,81,81,34.7,6.2,13.0,.478,1.2,3.9,.322,.545,.526,2.1,3.1,.672,1.4,4.5,5.9,3.6,1.7,0.4,2.0,1.8,15.8
Ron Anderson,TOT,SF,35,21,2,17.0,1.7,4.1,.407,0.3,1.2,.269,.467,.448,0.9,1.1,.826,0.8,1.8,2.5,0.8,0.4,0.1,0.5,0.8,4.6
Willie Anderson,SAS,SG,27,80,79,31.1,4.9,10.5,.471,0.3,0.9,.324,.484,.484,1.8,2.1,.848,0.9,2.2,3.0,4.3,0.9,0.6,1.9,2.3,11.9
Greg Anthony,NYK,PG,26,80,36,24.9,2.8,7.1,.394,0.6,2.0,.300,.431,.436,1.6,2.1,.774,0.5,1.8,2.4,4.6,1.4,0.2,1.6,2.0,7.9
B.J. Armstrong,CHI,PG,26,82,82,33.8,5.8,12.3,.476,0.7,1.6,.444,.481,.505,2.4,2.8,.855,0.3,1.7,2.1,3.9,1.0,0.1,1.6,1.8,14.8
