name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Alaa Abdelnaby,TOT,PF,24,75,52,17.5,3.3,6.3,.518,0.0,0.0,.000,.519,.518,1.2,1.5,.759,1.7,2.8,4.5,0.4,0.3,0.3,1.3,2.5,7.7
Mahmoud Abdul-Rauf,DEN,PG,23,81,81,33.5,7.8,17.4,.450,0.9,2.4,.355,.465,.475,2.7,2.9,.935,0.6,2.1,2.8,4.2,1.0,0.1,2.3,2.2,19.2
Mark Acres,TOT,C,30,18,7,14.9,1.4,2.7,.531,0.1,0.1,.500,.532,.541,0.6,0.9,.688,1.4,2.3,3.7,0.3,0.2,0.3,0.7,1.9,3.6
Michael Adams,WSB,PG,30,70,70,35.7,5.2,11.9,.439,1.0,3.0,.321,.480,.480,3.4,4.0,.856,0.7,2.7,3.4,7.5,1.4,0.1,2.5,2.1,14.8
Rafael Addison,NJN,SF,28,68,15,17.1,2.7,6.0,.443,0.1,0.5,.206,.464,.451,0.8,1.0,.814,0.7,1.3,1.9,0.8,0.3,0.2,0.9,1.8,6.3
Mark Aguirre,DET,SF,33,51,15,20.7,3.7,8.3,.443,0.6,1.6,.361,.463,.479,1.9,2.5,.767,0.8,2.1,3.0,2.1,0.3,0.1,1.3,2.0,9.9
Danny Ainge,PHO,SG,33,80,0,27.0,4.2,9.1,.462,1.9,4.7,.403,.522,.564,1.5,1.8,.848,0.6,2.1,2.7,3.3,0.9,0.1,1.4,2.2,11.8
Victor Alexander,GSW,C,23,72,59,24.3,4.8,9.3,.516,0.1,0.3,.455,.518,.523,1.5,2.3,.685,1.8,4.0,5.8,1.3,0.5,0.7,1.7,3.0,11.2
Eric Anderson,NYK,PF,22,16,0,2.8,0.3,1.1,.278,0.0,0.0,,.278,.278,0.7,0.8,.846,0.4,0.5,0.9,0.2,0.2,0.1,0.3,0.9,1.3
Kenny Anderson,NJN,PG,22,55,55,36.5,6.7,15.5,.435,0.1,0.5,.280,.440,.439,3.3,4.2,.776,0.9,3.2,4.1,8.2,1.7,0.2,2.8,2.5,16.9
Nick Anderson,ORL,SG,25,79,76,37.0,7.5,16.8,.449,1.1,3.2,.353,.471,.482,3.8,5.1,.741,1.5,4.5,6.0,3.4,1.6,0.7,2.1,2.5,19.9
Ron Anderson,PHI,SF,34,69,0,18.3,3.3,7.9,.414,0.6,1.7,.325,.439,.449,1.0,1.3,.809,0.9,1.8,2.7,1.3,0.4,0.1,0.9,1.1,8.1
Willie Anderson,SAS,SG,26,38,7,14.7,2.1,4.9,.430,0.0,0.2,.125,.444,.433,0.6,0.7,.786,0.2,1.3,1.5,2.1,0.4,0.2,1.2,1.4,4.8
Greg Anthony,NYK,PG,25,70,35,24.3,2.5,6.0,.415,0.1,0.4,.133,.437,.420,1.5,2.3,.673,0.6,1.8,2.4,5.7,1.6,0.2,1.5,2.0,6.6
B.J. Armstrong,CHI,PG,25,82,74,30.4,5.0,10.0,.499,0.8,1.7,.453,.508,.537,1.6,1.8,.861,0.3,1.5,1.8,4.0,0.8,0.1,1.0,2.1,12.3
Vincent Askew,TOT,SG,26,73,4,15.5,2.1,4.2,.492,0.0,0.1,.333,.495,.495,1.4,2.0,.705,0.8,1.4,2.2,1.7,0.5,0.3,0.9,1.8,5.6
Keith Askins,MIA,SF,25,69,1,13.6,1.3,3.1,.413,0.3,0.9,.338,.446,.465,0.4,0.6,.725,1.1,1.8,2.9,0.4,0.4,0.4,0.5,2.0,3.3
Stacey Augmon,ATL,SG,24,73,66,28.9,5.4,10.8,.501,0.0,0.1,.000,.504,.501,3.1,4.2,.739,1.9,2.0,3.9,2.3,1.2,0.2,2.2,1.9,14.0
Isaac Austin,UTA,C,23,46,3,6.7,1.1,2.4,.446,0.0,0.0,.000,.450,.446,0.6,1.0,.659,0.8,0.9,1.7,0.1,0.2,0.3,0.5,1.3,2.8
Anthony Avent,MIL,PF,23,82,78,27.9,4.2,9.8,.433,0.0,0.0,.000,.434,.433,1.4,2.1,.651,2.2,4.0,6.2,1.1,0.7,0.9,1.7,2.9,9.8
John Bagley,BOS,PG,32,10,0,9.7,0.9,2.5,.360,0.0,0.1,.000,.375,.360,0.5,0.6,.833,0.1,0.6,0.7,2.0,0.2,0.0,1.7,1.1,2.3
Thurl Bailey,MIN,PF,31,70,3,18.2,2.9,6.4,.455,0.0,0.0,,.455,.455,1.7,2.0,.838,0.8,2.3,3.1,0.9,0.3,0.7,0.9,1.3,7.5
Steve Bardo,DAL,SG,24,23,0,7.6,0.8,2.7,.306,0.0,0.3,.167,.321,.315,0.5,0.7,.706,0.4,1.2,1.6,1.3,0.3,0.1,0.7,1.2,2.2
Charles Barkley*,PHO,PF,29,76,76,37.6,9.4,18.1,.520,0.9,2.9,.305,.561,.545,5.9,7.7,.765,3.1,9.1,12.2,5.1,1.6,1.0,3.1,2.6,25.6
Dana Barros,SEA,PG,25,69,2,18.0,3.1,6.9,.451,0.9,2.4,.379,.492,.519,0.7,0.9,.831,0.3,1.3,1.6,2.2,0.9,0.0,0.8,1.1,7.8
Jon Barry,MIL,SG,23,47,0,11.7,1.6,4.4,.369,0.4,1.3,.333,.385,.420,0.7,1.0,.673,0.2,0.7,0.9,1.4,0.7,0.1,0.9,1.2,4.4
John Battle,CLE,SG,30,41,0,12.1,2.0,4.9,.415,0.0,0.1,.167,.423,.418,1.4,1.8,.778,0.1,0.6,0.7,1.3,0.2,0.1,0.5,1.0,5.4
Kenny Battle,BOS,SG,28,3,1,9.7,2.0,4.3,.462,0.0,0.3,.000,.500,.462,0.7,0.7,1.000,2.3,1.3,3.7,0.7,0.3,0.0,0.7,0.7,4.7
William Bedford,SAS,C,29,16,0,4.1,0.6,1.7,.333,0.1,0.1,1.000,.308,.352,0.4,0.8,.500,0.1,0.6,0.6,0.0,0.0,0.1,0.1,0.9,1.6
Benoit Benjamin,TOT,C,28,59,6,12.8,2.3,4.6,.491,0.0,0.0,,.491,.491,1.2,1.8,.663,0.9,2.7,3.5,0.4,0.5,0.8,1.3,2.3,5.7
Tony Bennett,CHH,PG,23,75,2,11.4,1.5,3.5,.423,0.3,1.1,.325,.467,.473,0.4,0.5,.732,0.2,0.7,0.8,1.8,0.4,0.0,0.7,1.5,3.7
David Benoit,UTA,SF,24,82,27,20.9,3.1,7.2,.436,0.4,1.2,.347,.453,.465,1.4,1.9,.750,1.4,3.4,4.8,0.5,0.5,0.5,1.1,2.5,8.1
Rolando Blackman,NYK,SG,33,60,33,23.9,4.0,9.0,.443,0.5,1.2,.425,.446,.472,1.2,1.5,.789,0.4,1.3,1.7,2.6,0.4,0.2,1.1,2.2,9.7
Alex Blackwell,LAL,SF,22,27,0,4.0,0.5,1.6,.333,0.0,0.1,.000,.359,.333,0.2,0.3,.750,0.4,0.5,0.9,0.3,0.1,0.1,0.2,0.5,1.3
Lance Blanks,MIN,SG,26,61,2,10.5,1.1,2.5,.433,0.2,0.7,.256,.505,.470,0.3,0.5,.625,0.3,0.8,1.1,1.2,0.3,0.1,0.5,1.0,2.6
Ricky Blanton,CHI,SF,26,2,0,6.5,1.5,3.5,.429,0.0,0.0,,.429,.429,0.0,0.0,,1.0,0.5,1.5,0.5,1.0,0.0,0.5,0.5,3.0
Mookie Blaylock,ATL,PG,25,80,78,35.3,5.2,12.1,.429,1.5,3.9,.375,.456,.491,1.5,2.1,.728,1.1,2.4,3.5,8.4,2.5,0.3,2.3,2.0,13.4
Muggsy Bogues,CHH,PG,28,81,80,35.0,4.1,9.0,.453,0.1,0.3,.231,.462,.458,1.7,2.1,.833,0.6,3.0,3.7,8.8,2.0,0.1,1.9,2.2,10.0
Manute Bol,PHI,C,30,58,23,14.7,0.9,2.2,.409,0.2,0.6,.313,.442,.449,0.2,0.3,.632,0.8,2.6,3.3,0.3,0.2,2.1,0.9,1.5,2.2
Walter Bond,DAL,SG,23,74,38,21.3,3.1,7.6,.402,0.1,0.6,.167,.421,.408,1.7,2.3,.772,0.7,1.9,2.6,1.6,1.0,0.2,1.5,3.0,8.0
Anthony Bonner,SAC,PF,24,70,35,25.2,3.3,7.1,.461,0.0,0.1,.000,.467,.461,2.0,3.4,.593,2.7,3.8,6.5,1.4,1.2,0.2,1.5,2.6,8.6
Anthony Bowie,ORL,SG,29,77,45,22.9,3.5,7.4,.471,0.2,0.6,.313,.486,.484,0.9,1.1,.798,0.5,2.1,2.5,2.3,0.7,0.2,1.1,1.7,8.0
Sam Bowie,NJN,C,31,79,65,26.5,3.6,8.1,.450,0.0,0.1,.333,.451,.451,1.8,2.3,.779,2.0,5.0,7.0,1.6,0.4,1.6,1.5,2.9,9.1
Terrell Brandon,CLE,PG,22,82,8,19.8,3.6,7.6,.478,0.2,0.5,.310,.491,.489,1.4,1.7,.825,0.5,1.7,2.2,3.7,1.0,0.3,1.3,1.5,8.8
Randy Breuer,ATL,C,32,12,0,8.9,1.3,2.6,.484,0.0,0.0,,.484,.484,0.2,0.4,.400,0.8,1.5,2.3,0.5,0.2,0.3,0.4,1.0,2.7
Frank Brickowski,MIL,C,33,66,64,31.4,6.9,12.7,.545,0.1,0.4,.308,.553,.550,3.0,4.1,.728,1.8,4.3,6.1,3.0,1.2,0.7,3.1,3.6,16.9
Kevin Brooks,DEN,SF,23,55,2,10.4,1.7,4.2,.399,0.1,0.5,.231,.420,.412,0.6,0.7,.875,0.4,1.1,1.5,0.6,0.2,0.0,0.7,0.8,4.1
Scott Brooks,HOU,PG,27,82,0,18.5,2.2,4.7,.475,0.5,1.2,.414,.497,.529,1.4,1.6,.830,0.3,0.9,1.2,3.0,1.0,0.0,0.9,1.7,6.3
Chucky Brown,NJN,SF,24,77,20,15.4,2.1,4.3,.483,0.0,0.1,.000,.491,.483,0.9,1.3,.724,1.1,1.9,3.0,0.7,0.3,0.3,0.7,1.5,5.1
Dee Brown,BOS,PG,24,80,48,28.2,4.1,8.8,.468,0.3,1.0,.317,.488,.486,2.4,3.0,.793,0.6,2.5,3.1,5.8,1.7,0.4,1.7,2.5,10.9
Mike Brown,UTA,C,29,82,21,18.9,2.1,5.0,.430,0.0,0.0,.000,.431,.430,1.4,2.0,.689,1.8,3.0,4.8,0.8,0.4,0.3,1.2,2.3,5.7
Randy Brown,SAC,PG,24,75,34,23.0,3.0,6.5,.463,0.0,0.1,.333,.465,.465,1.5,2.1,.732,1.0,1.8,2.8,2.6,1.4,0.5,1.6,2.7,7.6
Mark Bryant,POR,C,27,80,24,17.5,2.3,4.6,.503,0.0,0.0,.000,.504,.503,1.3,1.9,.703,1.7,2.4,4.1,0.5,0.5,0.3,0.8,2.8,6.0
Jud Buechler,GSW,SF,24,70,9,18.4,2.5,5.8,.437,0.3,0.8,.339,.453,.462,0.9,1.2,.747,1.2,1.6,2.8,1.3,0.7,0.3,0.8,1.4,6.2
Matt Bullard,HOU,PF,25,79,4,17.2,2.7,6.3,.431,1.2,3.1,.374,.486,.523,0.7,0.9,.784,0.8,2.0,2.8,1.4,0.4,0.1,0.7,1.6,7.3
Willie Burton,MIA,SF,24,26,8,17.3,2.1,5.4,.383,0.2,0.6,.333,.389,.401,3.5,4.9,.717,0.8,1.8,2.7,0.6,0.5,0.6,1.9,2.2,7.8
Steve Burtt,WSB,SG,30,4,0,8.8,2.5,6.5,.385,0.3,0.8,.333,.391,.404,2.0,2.5,.800,0.5,0.3,0.8,1.5,0.5,0.0,1.0,1.3,7.3
Michael Cage,SEA,C,31,82,66,26.3,2.7,5.1,.526,0.0,0.0,.000,.528,.526,0.7,1.6,.469,3.3,4.8,8.0,0.8,0.9,0.6,0.7,2.2,6.1
Dexter Cambridge,DAL,SF,23,53,13,16.7,2.8,5.9,.484,0.0,0.1,.000,.490,.484,1.3,1.9,.687,1.7,1.5,3.2,1.1,0.5,0.1,1.2,2.4,7.0
Elden Campbell,LAL,PF,24,79,13,19.6,3.0,6.6,.458,0.0,0.0,.000,.460,.458,1.6,2.6,.637,1.6,2.6,4.2,0.6,0.7,1.3,0.9,2.1,7.7
