name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Kareem Abdul-Jabbar*,LAL,C,33,80,,37.2,10.5,18.2,.574,0.0,0.0,.000,.574,.574,5.3,6.9,.766,2.5,7.8,10.3,3.4,0.7,2.9,3.1,3.1,26.2
Tom Abernethy,TOT,SF,26,39,,7.6,0.6,1.5,.424,0.0,0.0,.000,.431,.424,0.3,0.6,.591,0.5,0.7,1.2,0.5,0.2,0.1,0.2,0.9,1.6
Alvan Adams,PHO,C,26,75,,27.4,6.1,11.6,.526,0.0,0.0,,.526,.526,2.7,3.5,.768,2.1,5.2,7.3,4.6,1.4,0.9,3.0,3.0,14.9
Darrell Allums,DAL,PF,22,22,,12.5,1.0,3.0,.343,0.0,0.0,.000,.348,.343,0.6,1.0,.591,0.9,2.1,3.0,1.1,0.2,0.4,1.0,2.3,2.7
Tiny Archibald*,BOS,PG,32,80,72,35.3,4.8,9.6,.499,0.0,0.1,.000,.505,.499,4.3,5.2,.816,0.5,1.8,2.2,7.7,0.9,0.2,3.3,2.5,13.8
Dennis Awtrey,SEA,C,32,47,,12.9,0.9,2.0,.473,0.0,0.0,,.473,.473,0.3,0.4,.700,0.7,1.6,2.3,1.1,0.3,0.2,0.7,1.8,2.2
James Bailey,SEA,PF,23,82,,31.0,5.4,10.8,.499,0.0,0.0,.500,.499,.500,3.1,4.4,.709,2.3,5.1,7.4,1.2,0.9,1.7,2.7,4.0,14.0
Greg Ballard,WSB,SF,26,82,,31.8,6.7,14.5,.463,0.1,0.4,.219,.470,.466,2.0,2.4,.847,2.0,5.0,7.1,2.4,1.4,0.5,1.4,2.4,15.5
Mike Bantom,IND,SF,29,76,,31.3,5.7,11.6,.489,0.0,0.1,.000,.492,.489,2.6,3.7,.708,2.0,3.6,5.6,3.2,1.1,1.1,2.6,3.7,14.0
Billy Ray Bates,POR,SG,24,77,,20.3,5.7,11.7,.487,0.2,0.7,.259,.501,.494,2.2,2.6,.854,0.9,1.1,2.0,2.5,1.1,0.1,1.9,1.6,13.8
Mel Bennett,UTA,PF,26,28,,11.2,0.9,2.1,.433,0.0,0.1,.000,.448,.433,1.9,2.9,.654,1.2,2.1,3.3,0.5,0.1,0.4,1.1,2.0,3.8
Kent Benson,DET,C,26,59,,33.2,6.2,13.1,.473,0.0,0.1,.000,.475,.473,3.3,4.3,.772,2.1,4.7,6.8,2.9,1.2,1.1,3.2,3.1,15.7
Henry Bibby,SDC,PG,31,73,,15.2,1.6,4.2,.386,0.4,1.3,.337,.408,.438,0.9,1.3,.684,0.3,0.7,1.0,2.7,0.6,0.0,1.0,1.2,4.6
Larry Bird*,BOS,PF,24,82,82,39.5,8.8,18.3,.478,0.2,0.9,.270,.489,.485,3.5,4.0,.863,2.3,8.6,10.9,5.5,2.0,0.8,3.5,2.9,21.2
Otis Birdsong,KCK,SG,25,71,,36.5,10.0,18.4,.544,0.1,0.5,.286,.551,.547,4.5,6.4,.697,1.7,2.0,3.6,3.3,1.3,0.3,2.4,2.4,24.6
Norman Black,DET,SG,23,3,,9.3,1.0,3.3,.300,0.0,0.0,,.300,.300,0.7,2.7,.250,0.0,0.7,0.7,0.7,0.3,0.0,0.3,0.7,2.7
Ron Boone,UTA,SG,34,52,,22.0,3.1,7.1,.431,0.2,0.8,.282,.449,.446,1.4,1.8,.798,0.3,1.3,1.6,3.1,0.6,0.2,2.1,2.4,7.8
