name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Tariq Abdul-Wahad,DAL,SG,28,14,0,14.6,1.9,4.1,.466,0.0,0.1,.000,.474,.466,0.2,0.4,.500,1.0,1.9,2.9,1.5,0.4,0.2,0.5,1.9,4.1
Shareef Abdur-Rahim,ATL,PF,26,81,81,38.1,7.0,14.6,.478,0.3,0.7,.350,.485,.487,5.6,6.7,.841,2.2,6.2,8.4,3.0,1.1,0.5,2.6,3.0,19.9
Courtney Alexander,NOH,PG,25,66,7,20.6,2.9,7.7,.382,0.3,0.9,.333,.388,.401,1.8,2.2,.808,0.6,1.2,1.8,1.2,0.5,0.1,1.0,1.9,7.9
Malik Allen,MIA,PF,24,80,73,29.0,4.2,9.9,.424,0.0,0.1,.000,.426,.424,1.2,1.5,.802,1.7,3.6,5.3,0.7,0.5,1.0,1.6,2.9,9.6
Ray Allen*,TOT,SG,27,76,75,37.9,7.9,17.9,.439,2.6,7.0,.377,.478,.512,4.2,4.5,.916,1.2,3.8,5.0,4.4,1.4,0.2,2.6,2.9,22.5
Rafer Alston,TOR,PG,26,47,4,20.9,3.0,7.1,.415,1.1,2.8,.392,.429,.491,0.8,1.1,.685,0.4,1.8,2.3,4.1,0.8,0.3,1.8,2.6,7.8
John Amaechi,UTA,C,32,50,1,9.5,0.7,2.4,.314,0.0,0.0,,.314,.314,0.5,1.0,.481,0.5,1.0,1.5,0.4,0.3,0.1,0.7,1.0,2.0
Chris Andersen,DEN,C,24,59,3,15.4,1.9,4.8,.400,0.0,0.0,.000,.401,.400,1.3,2.4,.550,1.8,2.8,4.6,0.5,0.5,1.0,1.0,1.5,5.2
Derek Anderson,POR,PG,28,76,76,33.6,4.7,10.9,.427,1.5,4.4,.350,.477,.496,3.0,3.5,.859,0.7,2.8,3.5,4.3,1.2,0.2,1.7,1.9,13.9
Kenny Anderson,TOT,PG,32,61,2,18.6,2.7,6.3,.427,0.0,0.1,.143,.432,.428,0.7,0.9,.789,0.5,1.7,2.2,3.2,1.0,0.1,1.2,1.7,6.1
Shandon Anderson,NYK,SF,29,82,9,21.1,3.0,6.5,.462,0.6,1.7,.371,.494,.510,1.7,2.3,.732,0.8,2.3,3.1,1.1,0.9,0.2,1.4,2.2,8.4
Robert Archibald,MEM,PF,22,12,0,6.0,0.5,1.7,.300,0.0,0.0,,.300,.300,0.6,1.5,.389,0.5,0.9,1.4,0.3,0.0,0.3,0.6,0.8,1.6
Gilbert Arenas,GSW,PG,21,82,82,35.0,6.2,14.4,.431,1.3,3.8,.348,.461,.478,4.5,5.7,.791,1.2,3.5,4.7,6.3,1.5,0.2,3.5,3.2,18.3
Brandon Armstrong,NJN,SG,22,17,0,4.1,0.5,1.6,.333,0.1,0.4,.167,.381,.352,0.3,0.4,.833,0.0,0.2,0.2,0.1,0.2,0.1,0.3,0.5,1.4
Darrell Armstrong,ORL,PG,34,82,23,28.7,3.2,7.8,.409,1.0,2.8,.336,.450,.470,2.0,2.3,.878,1.1,2.5,3.6,3.9,1.6,0.2,2.0,2.0,9.4
Carlos Arroyo,UTA,PG,23,44,0,6.5,1.1,2.5,.459,0.1,0.2,.429,.461,.472,0.4,0.5,.818,0.3,0.3,0.6,1.2,0.3,0.0,0.7,0.6,2.8
Chucky Atkins,DET,PG,28,65,7,21.5,2.6,7.2,.361,1.3,3.7,.355,.368,.454,0.6,0.8,.816,0.3,1.2,1.5,2.7,0.4,0.1,1.2,1.7,7.1
