name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Alaa Abdelnaby,POR,PF,22,43,0,6.7,1.3,2.7,.474,0.0,0.0,,.474,.474,0.6,1.0,.568,0.6,1.4,2.1,0.3,0.1,0.3,0.5,0.9,3.1
Mahmoud Abdul-Rauf,DEN,PG,21,67,19,22.5,6.2,15.1,.413,0.4,1.5,.240,.432,.425,1.3,1.5,.857,0.5,1.3,1.8,3.1,0.8,0.1,1.6,2.2,14.1
Mark Acres,ORL,C,28,68,0,19.3,1.6,3.1,.509,0.0,0.0,.333,.512,.512,1.0,1.5,.653,2.1,3.2,5.3,0.4,0.4,0.4,0.6,3.2,4.2
Michael Adams,DEN,PG,28,66,66,35.5,8.5,21.5,.394,2.5,8.5,.296,.459,.453,7.0,8.0,.879,0.9,3.0,3.9,10.5,2.2,0.1,3.6,2.5,26.5
Mark Aguirre,DET,SF,31,78,13,25.7,5.4,11.7,.462,0.3,1.0,.308,.477,.475,3.1,4.1,.757,1.7,3.1,4.8,1.8,0.6,0.3,1.6,2.7,14.2
Danny Ainge,POR,SG,31,80,0,21.4,4.2,8.9,.472,1.3,3.1,.406,.508,.543,1.4,1.7,.826,0.6,2.0,2.6,3.6,0.8,0.2,1.3,2.4,11.1
Mark Alarie,WSB,PF,27,42,1,14.0,2.4,5.4,.440,0.1,0.5,.238,.461,.451,1.0,1.1,.854,1.0,1.8,2.8,1.1,0.4,0.2,1.0,2.1,5.8
Steve Alford,DAL,PG,26,34,0,6.9,1.7,3.4,.504,0.2,0.7,.304,.553,.534,0.8,0.9,.839,0.3,0.4,0.7,0.6,0.2,0.0,0.5,0.3,4.4
Greg Anderson,TOT,PF,26,68,2,13.6,1.7,4.0,.430,0.0,0.0,.000,.431,.430,0.9,1.7,.522,1.4,3.3,4.7,0.2,0.5,0.7,1.2,2.1,4.3
Nick Anderson,ORL,SG,23,70,42,28.2,5.7,12.2,.467,0.2,0.8,.293,.479,.477,2.5,3.7,.668,1.3,4.2,5.5,1.5,1.1,0.6,1.6,2.1,14.1
Ron Anderson,PHI,SF,32,82,13,28.5,6.2,12.9,.485,0.1,0.5,.209,.497,.490,2.0,2.4,.833,1.3,3.2,4.5,1.4,0.8,0.2,1.2,2.0,14.6
Willie Anderson,SAS,SG,24,75,75,34.6,6.0,13.2,.457,0.1,0.5,.200,.467,.461,2.3,2.8,.798,0.9,3.8,4.7,4.8,1.1,0.6,2.2,3.0,14.4
Michael Ansley,ORL,SF,23,67,1,13.1,2.1,3.9,.548,0.0,0.0,,.548,.548,1.4,1.9,.717,1.8,2.0,3.8,0.4,0.4,0.1,0.5,1.9,5.7
B.J. Armstrong,CHI,PG,23,82,0,21.1,3.7,7.7,.481,0.2,0.4,.500,.480,.493,1.2,1.4,.874,0.3,1.5,1.8,3.7,0.9,0.0,1.3,1.4,8.8
Vincent Askew,GSW,SG,24,7,0,12.1,1.7,3.6,.480,0.0,0.0,,.480,.480,1.3,1.6,.818,1.0,0.6,1.6,1.9,0.3,0.0,0.9,3.0,4.7
Keith Askins,MIA,SF,23,39,1,6.8,0.9,2.1,.420,0.2,0.6,.240,.500,.457,0.3,0.6,.480,0.8,1.0,1.7,0.5,0.4,0.3,0.3,1.2,2.2
Miloš Babić,CLE,PF,22,12,0,4.3,0.5,1.6,.316,0.0,0.0,,.316,.316,0.6,1.0,.583,0.5,0.3,0.8,0.3,0.1,0.1,0.4,0.6,1.6
Thurl Bailey,UTA,PF,29,82,22,30.3,4.9,10.6,.458,0.0,0.0,.000,.459,.458,2.7,3.3,.808,1.2,3.7,5.0,1.5,0.6,1.1,1.6,2.0,12.4
Cedric Ball,LAC,PF,22,7,0,3.7,0.4,1.1,.375,0.0,0.0,,.375,.375,0.3,0.3,1.000,0.7,0.9,1.6,0.0,0.0,0.3,0.3,0.7,1.1
Ken Bannister,LAC,PF,30,47,3,7.2,0.9,1.7,.531,0.0,0.0,.000,.538,.531,0.5,1.4,.385,0.7,1.3,2.0,0.2,0.1,0.1,0.5,1.6,2.4
Charles Barkley*,PHI,SF,27,67,67,37.3,9.9,17.4,.570,0.7,2.3,.284,.614,.589,7.1,9.8,.722,3.9,6.3,10.1,4.2,1.6,0.5,3.1,2.6,27.6
Dana Barros,SEA,PG,23,66,0,11.4,2.3,4.7,.495,0.5,1.2,.395,.530,.547,1.2,1.3,.918,0.3,0.8,1.1,1.7,0.3,0.0,0.8,0.6,6.3
John Battle,ATL,SG,28,79,2,23.6,5.0,10.9,.461,0.2,0.6,.286,.471,.469,3.4,4.0,.854,0.4,1.6,2.0,2.7,0.6,0.1,1.4,1.8,13.6
Kenny Battle,TOT,SG,26,56,8,16.9,2.4,5.0,.472,0.1,0.4,.125,.504,.477,1.3,1.7,.753,1.5,1.7,3.1,1.1,1.1,0.3,0.9,1.9,6.1
William Bedford,DET,C,27,60,4,9.4,1.8,4.0,.438,0.1,0.2,.385,.441,.448,0.9,1.3,.705,0.9,1.3,2.2,0.5,0.0,0.6,0.5,1.3,4.5
Benoit Benjamin,TOT,C,26,70,65,31.9,5.5,11.1,.496,0.0,0.0,,.496,.496,3.0,4.2,.712,2.2,8.1,10.3,1.7,0.8,2.1,3.4,2.6,14.0
Winston Bennett,CLE,SF,25,27,13,12.4,1.5,4.0,.374,0.0,0.0,,.374,.374,1.3,1.7,.745,1.1,1.3,2.4,1.0,0.3,0.1,0.7,1.9,4.3
Larry Bird*,BOS,SF,34,60,60,38.0,7.7,17.0,.454,1.3,3.3,.389,.470,.492,2.7,3.1,.891,0.9,7.6,8.5,7.2,1.8,1.0,3.1,2.0,19.4
Rolando Blackman,DAL,SG,31,80,80,37.1,7.9,16.5,.482,0.5,1.4,.351,.494,.497,3.5,4.1,.865,0.8,2.4,3.2,3.8,0.9,0.2,2.0,1.9,19.9
Lance Blanks,DET,SG,24,38,0,5.6,0.7,1.6,.426,0.1,0.4,.125,.533,.443,0.3,0.4,.714,0.1,0.4,0.5,0.7,0.2,0.1,0.5,0.9,1.7
Mookie Blaylock,NJN,PG,23,72,70,35.9,6.0,14.4,.416,0.2,1.3,.154,.441,.423,1.9,2.4,.790,0.9,2.5,3.5,6.1,2.3,0.6,2.9,2.5,14.1
Muggsy Bogues,CHH,PG,26,81,46,28.4,3.0,6.5,.460,0.0,0.1,.000,.471,.460,1.1,1.3,.796,0.7,2.0,2.7,8.3,1.7,0.0,1.5,2.0,7.0
Manute Bol,PHI,C,28,82,6,18.6,0.8,2.0,.396,0.0,0.2,.071,.427,.399,0.3,0.5,.585,0.8,3.5,4.3,0.2,0.2,3.0,0.8,2.2,1.9
Anthony Bonner,SAC,PF,22,34,6,22.1,3.0,6.8,.448,0.0,0.0,,.448,.448,1.3,2.2,.579,1.7,3.0,4.7,1.4,1.1,0.1,1.2,1.8,7.4
Sam Bowie,NJN,C,29,62,51,30.9,5.1,11.7,.434,0.1,0.4,.182,.442,.437,2.7,3.7,.732,2.8,4.9,7.7,2.4,0.7,1.5,2.3,2.8,12.9
Randy Breuer,MIN,C,30,73,44,20.6,2.7,6.0,.453,0.0,0.0,,.453,.453,0.5,1.1,.443,1.6,3.2,4.7,1.0,0.5,1.1,0.9,1.8,5.9
Frank Brickowski,MIL,PF,31,75,73,25.5,5.0,9.4,.527,0.0,0.0,.000,.528,.527,2.6,3.3,.798,1.7,4.0,5.7,1.7,1.1,0.6,2.1,3.4,12.6
Scott Brooks,MIN,PG,25,80,0,12.3,2.0,4.6,.430,0.6,1.7,.333,.485,.491,0.8,0.9,.847,0.4,0.6,0.9,2.6,0.7,0.1,0.6,1.5,5.3
Chucky Brown,CLE,SF,22,74,51,20.1,3.6,6.8,.524,0.0,0.1,.000,.528,.524,1.4,1.9,.701,1.1,1.8,2.9,1.1,0.4,0.3,1.3,1.8,8.5
Dee Brown,BOS,PG,22,82,5,23.7,3.5,7.5,.464,0.1,0.4,.206,.479,.470,1.7,1.9,.873,0.5,1.7,2.2,4.2,1.0,0.2,1.7,2.0,8.7
Mike Brown,UTA,C,27,82,2,17.0,1.6,3.5,.454,0.0,0.0,,.454,.454,1.6,2.2,.742,1.3,2.8,4.1,0.6,0.4,0.3,1.0,2.0,4.8
Tony Brown,TOT,SG-SF,30,30,0,9.8,1.0,2.7,.375,0.1,0.4,.250,.397,.394,0.7,0.8,.870,0.8,0.6,1.4,0.5,0.1,0.0,0.5,1.6,2.8
Mark Bryant,POR,PF,25,53,0,14.7,1.9,3.8,.488,0.0,0.0,.000,.490,.488,1.4,1.9,.733,1.2,2.4,3.6,0.5,0.3,0.2,0.6,2.3,5.1
Jud Buechler,NJN,SF,22,74,10,11.6,1.3,3.1,.416,0.0,0.1,.250,.419,.418,0.6,0.9,.652,0.8,1.1,1.9,0.7,0.4,0.2,0.4,1.1,3.1
Matt Bullard,HOU,PF,23,18,0,3.5,0.8,1.7,.452,0.0,0.2,.000,.500,.452,0.6,0.9,.647,0.3,0.4,0.8,0.1,0.2,0.0,0.2,0.6,2.2
Willie Burton,MIA,SF,22,76,26,25.4,4.5,10.2,.441,0.1,0.4,.133,.454,.444,3.0,3.9,.782,1.5,2.0,3.4,1.4,0.9,0.3,1.9,3.6,12.0
