name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Kareem Abdul-Jabbar*,LAL,C,38,79,79,33.3,9.6,16.9,.564,0.0,0.0,.000,.565,.564,4.3,5.6,.765,1.7,4.4,6.1,3.5,0.8,1.6,2.6,3.1,23.4
Alvan Adams,PHO,C,31,78,45,25.7,4.4,8.7,.502,0.0,0.0,.000,.504,.502,2.0,2.6,.783,1.9,4.2,6.1,4.2,1.3,0.6,2.6,3.5,10.8
Michael Adams,SAC,PG,23,18,0,7.7,0.9,2.4,.364,0.0,0.2,.000,.390,.364,0.4,0.7,.667,0.1,0.2,0.3,1.2,0.5,0.1,0.6,0.5,2.2
Mark Aguirre,DAL,SF,26,74,73,33.8,9.0,17.9,.503,0.2,0.8,.286,.513,.509,4.3,6.1,.705,2.4,3.6,6.0,4.6,0.8,0.2,3.4,3.1,22.6
Danny Ainge,BOS,SG,26,80,78,30.1,4.4,8.8,.504,0.3,0.9,.356,.521,.522,1.5,1.7,.904,0.6,2.4,2.9,5.1,1.2,0.1,1.6,2.6,10.7
Ron Anderson,TOT,SF,27,77,30,21.8,4.0,8.2,.494,0.0,0.1,.222,.498,.495,1.1,1.6,.669,1.7,1.9,3.6,1.9,0.7,0.1,1.1,1.6,9.2
John Bagley,CLE,PG,25,78,77,31.7,4.7,11.1,.423,0.1,0.5,.243,.431,.428,2.2,2.8,.791,1.0,2.6,3.5,9.4,1.6,0.1,3.1,2.1,11.7
James Bailey,NYK,PF,28,48,36,25.9,4.2,9.2,.456,0.0,0.1,.000,.460,.456,2.7,3.5,.772,2.1,4.8,7.0,1.0,0.7,0.8,2.1,4.3,11.1
Thurl Bailey,UTA,PF,24,82,13,28.8,5.9,13.1,.448,0.0,0.1,.000,.451,.448,2.8,3.4,.830,1.8,4.2,6.0,1.9,0.5,1.4,1.8,2.0,14.6
Greg Ballard,GSW,SF,31,75,14,23.9,3.6,7.6,.477,0.2,0.5,.486,.477,.492,1.3,1.7,.802,1.8,3.8,5.6,1.1,0.9,0.1,0.7,2.3,8.8
