name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Kareem Abdul-Jabbar*,LAL,C,37,79,79,33.3,9.2,15.3,.599,0.0,0.0,.000,.600,.599,3.7,5.0,.732,2.1,5.8,7.9,3.2,0.8,2.1,2.5,3.0,22.0
Alvan Adams,PHO,PF,30,82,69,26.0,5.8,11.2,.520,0.0,0.0,,.520,.520,3.0,3.5,.883,1.9,4.2,6.1,3.8,1.4,0.6,2.4,3.1,14.7
Mark Aguirre,DAL,SF,25,80,79,33.7,9.9,19.6,.506,0.3,1.1,.318,.517,.515,5.5,7.3,.759,2.4,3.6,6.0,3.1,0.8,0.3,3.2,3.1,25.7
Danny Ainge,BOS,SG,25,75,73,34.2,5.6,10.6,.529,0.2,0.7,.268,.549,.539,1.6,1.8,.868,1.0,2.6,3.6,5.3,1.6,0.1,2.0,3.0,12.9
Chuck Aleksinas,GSW,C,25,74,4,15.1,2.2,4.6,.478,0.0,0.0,.000,.479,.478,0.7,1.0,.733,1.2,2.5,3.6,0.5,0.2,0.2,1.0,2.3,5.1
J.J. Anderson,UTA,SF,24,44,0,10.4,1.4,3.4,.409,0.0,0.0,.000,.415,.409,0.6,1.0,.600,0.7,1.2,1.9,0.5,0.7,0.2,0.7,1.6,3.4
Ron Anderson,CLE,SF,26,36,7,14.4,2.3,5.4,.431,0.0,0.1,.500,.430,.433,1.1,1.4,.820,1.1,1.4,2.4,0.9,0.3,0.2,0.9,1.1,5.8
John Bagley,CLE,PG,24,81,65,29.6,4.2,8.6,.488,0.0,0.3,.115,.502,.490,1.5,2.1,.749,0.7,2.9,3.6,8.6,1.6,0.1,2.6,1.6,9.9
James Bailey,NYK,PF,27,74,28,17.5,2.1,4.7,.447,0.0,0.0,.000,.448,.447,1.0,1.5,.676,1.6,3.0,4.6,0.5,0.4,0.7,1.4,3.9,5.2
Thurl Bailey,UTA,PF,23,80,68,31.0,6.3,12.9,.490,0.0,0.0,1.000,.490,.491,2.5,2.9,.842,1.9,4.7,6.6,1.7,0.6,1.3,1.9,2.7,15.2
Greg Ballard,WSB,SF,30,82,77,32.5,5.7,11.9,.480,0.2,0.6,.304,.488,.487,1.5,1.8,.795,1.8,4.6,6.5,2.5,1.2,0.4,1.3,2.7,13.1
Gene Banks,SAS,SF,25,82,41,25.5,3.5,6.0,.586,0.0,0.0,.333,.588,.587,2.4,3.1,.774,1.6,3.8,5.4,2.9,0.8,0.2,1.7,2.7,9.5
Ken Bannister,NYK,PF,24,75,50,18.7,2.8,5.9,.470,0.0,0.0,,.470,.470,1.2,2.6,.474,1.4,3.0,4.4,0.5,0.5,0.5,1.9,3.7,6.8
Charles Barkley*,PHI,PF,21,82,60,28.6,5.2,9.5,.545,0.0,0.1,.167,.548,.546,3.6,4.9,.733,3.2,5.3,8.6,1.9,1.2,1.0,2.5,3.7,14.0
Kent Benson,DET,C,30,72,35,19.5,2.8,5.5,.506,0.0,0.0,.000,.510,.506,1.1,1.3,.809,1.4,3.1,4.5,1.3,0.7,0.6,0.9,2.9,6.6
Larry Bird*,BOS,SF,28,80,77,39.5,11.5,22.0,.522,0.7,1.6,.427,.529,.538,5.0,5.7,.882,2.1,8.5,10.5,6.6,1.6,1.2,3.1,2.6,28.7
Otis Birdsong,NJN,SG,29,56,45,32.9,8.8,17.3,.511,0.1,0.4,.190,.518,.513,2.9,4.6,.622,1.1,1.6,2.6,4.1,1.5,0.1,2.1,2.6,20.6
Rolando Blackman,DAL,SG,25,81,80,35.0,7.7,15.2,.508,0.1,0.2,.300,.512,.511,4.2,5.1,.828,1.3,2.4,3.7,3.6,0.8,0.2,2.0,1.2,19.7
Cory Blackwell,SEA,SF,21,60,0,9.2,1.5,4.0,.367,0.0,0.0,.000,.370,.367,0.5,0.9,.509,0.7,0.9,1.6,0.4,0.4,0.1,0.7,0.9,3.4
Sam Bowie,POR,C,23,76,62,29.2,3.9,7.3,.537,0.0,0.0,,.537,.537,2.1,3.0,.711,2.7,5.9,8.6,2.8,0.7,2.7,2.3,3.7,10.0
Dudley Bradley,WSB,SG,27,73,24,16.9,1.9,4.1,.475,0.3,0.9,.313,.519,.508,0.7,1.1,.684,0.5,1.4,1.8,2.4,1.3,0.3,1.2,2.1,4.9
Mike Bratz,GSW,PG,29,56,6,13.3,1.9,4.5,.424,0.1,0.5,.231,.446,.436,1.2,1.5,.841,0.2,0.8,1.0,2.2,0.8,0.1,1.0,1.4,5.1
Randy Breuer,MIL,C,24,78,0,13.9,2.1,4.1,.511,0.0,0.0,,.511,.511,1.1,1.6,.701,1.2,2.1,3.3,0.5,0.3,1.1,0.8,2.3,5.3
Ron Brewer,TOT,SG,29,20,0,16.3,3.1,5.9,.525,0.0,0.1,.000,.534,.525,1.2,1.3,.920,0.5,0.6,1.1,0.9,0.3,0.3,0.5,1.2,7.4
Frank Brickowski,SEA,C,25,78,9,14.3,1.9,3.9,.492,0.0,0.1,.000,.498,.492,1.1,1.6,.669,1.0,2.4,3.3,1.3,0.4,0.2,1.3,2.2,4.9
Junior Bridgeman,LAC,SF,31,80,15,25.5,5.8,12.4,.465,0.2,0.5,.359,.469,.472,2.3,2.6,.879,0.7,2.2,2.9,2.1,0.6,0.2,1.5,1.6,13.9
Rickey Brown,ATL,C,26,69,5,11.8,1.1,2.8,.406,0.0,0.0,,.406,.406,0.6,1.0,.574,1.1,2.1,3.2,0.4,0.3,0.3,0.7,1.7,2.8
Tony Brown,IND,SF,24,82,26,19.3,2.6,5.7,.460,0.0,0.1,.000,.466,.460,1.4,2.1,.678,1.8,1.7,3.5,1.9,0.7,0.1,1.4,2.6,6.6
Wallace Bryant,DAL,C,25,56,35,15.4,1.2,2.6,.453,0.0,0.0,,.453,.453,0.5,0.8,.682,1.3,3.0,4.3,1.5,0.4,0.4,0.8,2.0,2.9
Quinn Buckner,BOS,PG,30,75,6,11.4,1.0,2.6,.383,0.0,0.0,.000,.385,.383,0.4,0.7,.640,0.3,0.8,1.2,2.0,0.8,0.0,0.9,1.9,2.4
Steve Burtt,GSW,SG,22,47,0,8.9,1.5,4.0,.383,0.0,0.0,.000,.385,.383,1.1,1.6,.688,0.2,0.4,0.6,0.4,0.4,0.1,0.7,1.6,4.2
Don Buse,KCK,PG,34,65,14,14.4,1.3,3.1,.404,0.5,1.3,.356,.440,.480,0.4,0.5,.767,0.3,0.6,0.9,3.1,0.6,0.0,0.7,1.2,3.4
Michael Cage,LAC,PF,23,75,41,21.5,2.9,5.3,.543,0.0,0.0,,.543,.543,1.3,1.8,.737,1.7,3.5,5.2,0.7,0.5,0.4,1.1,2.2,7.1
Tony Campbell,DET,SF,22,56,0,11.2,2.3,4.7,.496,0.0,0.0,.000,.498,.496,1.0,1.3,.800,0.7,0.9,1.6,0.4,0.5,0.1,1.2,1.9,5.6
Rick Carlisle,BOS,SG,25,38,0,4.7,0.7,1.8,.388,0.0,0.1,.000,.400,.388,0.4,0.4,.882,0.2,0.3,0.6,0.7,0.1,0.0,0.5,0.6,1.8
Antoine Carr,ATL,PF,23,62,15,19.3,3.2,6.0,.528,0.0,0.1,.333,.531,.531,1.6,2.1,.789,1.3,2.5,3.7,1.3,0.5,1.3,1.7,3.5,8.0
Kenny Carr,POR,PF,29,48,30,23.3,4.0,7.6,.523,0.0,0.1,.000,.528,.523,2.5,3.4,.720,1.9,4.9,6.7,1.2,0.5,0.4,2.1,2.9,10.4
M.L. Carr,BOS,SF,34,47,0,8.4,1.3,3.2,.416,0.2,0.5,.391,.421,.446,0.4,0.4,1.000,0.4,0.5,0.9,0.5,0.4,0.1,0.5,0.9,3.2
Butch Carter,NYK,SG,26,69,11,18.5,3.1,6.9,.450,0.2,0.6,.256,.469,.461,1.6,1.9,.813,0.5,0.9,1.4,2.4,0.8,0.1,1.6,2.2,7.9
Howard Carter,DAL,SG,23,11,0,6.0,0.4,2.1,.174,0.0,0.3,.000,.200,.174,0.1,0.1,1.000,0.1,0.2,0.3,0.4,0.1,0.0,0.7,0.4,0.8
Harvey Catchings,LAC,C,33,70,14,15.0,1.0,2.1,.483,0.0,0.0,.000,.486,.483,0.8,1.3,.663,1.3,2.5,3.7,0.2,0.2,0.8,0.8,2.3,2.9
Ron Cavenall,NYK,C,25,53,2,12.3,0.5,1.6,.326,0.0,0.0,,.326,.326,0.4,0.7,.564,1.0,2.1,3.1,0.4,0.2,0.8,0.8,2.3,1.5
Tom Chambers,SEA,PF,25,81,60,36.1,7.8,16.1,.483,0.1,0.3,.273,.487,.485,5.9,7.0,.832,2.0,5.1,7.1,2.6,0.9,0.7,3.2,3.9,21.5
Maurice Cheeks*,PHI,PG,28,78,78,33.5,5.4,9.5,.570,0.1,0.3,.231,.582,.574,2.2,2.6,.879,0.7,2.1,2.8,6.4,2.2,0.3,2.0,2.4,13.1
Carlos Clark,BOS,SG,24,62,3,9.1,1.0,2.5,.421,0.0,0.1,.000,.435,.421,0.7,0.9,.774,0.5,0.6,1.1,0.8,0.6,0.0,0.7,1.1,2.7
Don Collins,WSB,SG,26,11,0,8.3,1.1,3.1,.353,0.0,0.0,,.353,.353,0.7,0.8,.889,0.9,0.8,1.7,0.6,0.6,0.4,0.7,0.5,2.9
Steve Colter,POR,PG,22,78,22,18.7,2.8,6.1,.453,0.3,0.9,.351,.471,.480,1.3,1.7,.754,0.5,1.4,1.9,3.1,1.0,0.1,1.4,1.8,7.1
Lester Conner,GSW,PG,25,79,49,28.6,3.1,6.9,.451,0.1,0.3,.200,.460,.454,1.8,2.4,.750,1.1,2.0,3.1,4.7,2.0,0.2,1.7,1.7,8.1
Darwin Cook,NJN,PG,26,58,9,18.3,3.7,7.8,.468,0.0,0.4,.087,.488,.470,0.8,0.9,.870,0.4,1.2,1.6,2.8,1.3,0.2,1.3,1.7,8.2
Jeff Cook,TOT,PF,28,72,5,17.9,1.9,3.9,.495,0.0,0.0,.000,.496,.495,0.7,0.9,.734,1.7,2.7,4.4,0.9,0.4,0.3,0.7,2.8,4.5
Joe Cooper,SEA,C,27,3,1,15.0,2.3,5.0,.467,0.0,0.0,,.467,.467,1.0,2.0,.500,1.0,2.0,3.0,0.7,0.7,0.3,0.0,2.3,5.7
Michael Cooper,LAL,SG,28,82,20,26.7,3.4,7.2,.465,0.4,1.5,.285,.513,.495,1.4,1.6,.865,0.7,2.4,3.1,5.2,1.1,0.6,1.9,2.5,8.6
Wayne Cooper,DEN,C,28,80,78,25.4,5.1,10.7,.472,0.0,0.0,.000,.473,.472,2.0,2.9,.685,2.9,5.0,7.9,1.1,0.4,2.5,1.9,3.8,12.1
Dave Corzine,CHI,C,28,82,50,25.1,3.4,6.9,.486,0.0,0.0,.000,.487,.486,1.8,2.4,.745,1.6,3.6,5.1,1.7,0.4,0.8,1.5,2.3,8.5
Charlie Criss,ATL,PG,36,4,2,28.8,1.8,4.3,.412,0.0,0.5,.000,.467,.412,1.0,1.5,.667,0.5,3.0,3.5,5.5,0.8,0.0,2.8,1.3,4.5
Pat Cummings,NYK,C,28,63,63,32.8,6.5,12.7,.514,0.0,0.1,.000,.517,.514,2.8,3.6,.780,2.2,6.0,8.2,1.7,0.8,0.3,2.6,3.9,15.8
