name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Alaa Abdelnaby,TOT,PF,26,54,0,9.4,2.2,4.3,.511,0.0,0.0,.000,.515,.511,0.4,0.6,.571,0.7,1.4,2.1,0.2,0.3,0.2,0.8,1.9,4.7
Mahmoud Abdul-Rauf,DEN,PG,25,73,43,28.5,6.5,13.8,.470,1.1,2.9,.386,.492,.511,1.9,2.1,.885,0.4,1.4,1.9,3.6,1.1,0.1,1.6,1.7,16.0
Michael Adams,CHH,PG,32,29,0,15.3,2.3,5.1,.453,1.0,2.8,.358,.567,.551,0.9,1.0,.833,0.2,0.8,1.0,3.3,0.8,0.0,0.9,1.4,6.5
Rafael Addison,DET,SF,30,79,16,22.5,3.5,7.4,.476,0.3,1.1,.289,.507,.497,0.9,1.3,.747,0.8,2.2,3.1,1.4,0.7,0.3,1.0,3.0,8.3
Danny Ainge,PHO,SG,35,74,1,18.6,2.6,5.7,.460,1.1,2.9,.364,.558,.552,1.4,1.8,.808,0.3,1.1,1.5,2.8,0.6,0.1,1.1,2.1,7.7
Victor Alexander,GSW,C,25,50,29,24.7,4.6,8.9,.515,0.1,0.5,.240,.531,.521,0.7,1.2,.600,1.7,4.1,5.8,1.2,0.6,0.6,1.5,2.9,10.0
Derrick Alston,PHI,C,22,64,1,16.1,1.9,4.0,.465,0.0,0.1,.000,.472,.465,0.9,1.9,.492,1.5,1.9,3.4,0.5,0.6,0.5,0.8,1.7,4.7
Greg Anderson,ATL,PF,30,51,0,12.2,1.1,2.0,.548,0.0,0.0,,.548,.548,0.7,1.4,.479,1.2,2.5,3.7,0.3,0.5,0.6,0.6,2.0,2.9
Kenny Anderson,NJN,PG,24,72,70,37.3,5.7,14.3,.399,1.3,4.1,.330,.426,.446,4.8,5.8,.841,1.0,2.5,3.5,9.4,1.4,0.2,3.1,2.6,17.6
Nick Anderson,ORL,SG,27,76,76,34.1,5.8,12.1,.476,2.4,5.7,.415,.528,.573,1.9,2.7,.704,1.1,3.3,4.4,4.1,1.6,0.3,1.9,1.6,15.8
Willie Anderson,SAS,SG,28,38,11,14.6,2.0,4.3,.469,0.1,0.5,.158,.510,.478,0.8,1.1,.732,0.4,1.1,1.4,1.4,0.7,0.3,1.0,1.9,4.9
Greg Anthony,NYK,PG,27,61,2,15.5,2.1,4.8,.437,0.9,2.5,.361,.522,.532,1.0,1.2,.789,0.1,0.9,1.0,2.6,0.8,0.1,0.9,1.6,6.1
B.J. Armstrong,CHI,PG,27,82,82,31.4,5.1,10.9,.468,1.3,3.1,.427,.484,.528,2.5,2.8,.884,0.3,2.0,2.3,3.0,1.0,0.1,1.3,1.9,14.0
Darrell Armstrong,ORL,PG,26,3,0,2.7,1.0,2.7,.375,0.7,2.0,.333,.500,.500,0.7,0.7,1.000,0.3,0.0,0.3,1.0,0.3,0.0,0.3,1.0,3.3
Vincent Askew,SEA,SG,28,71,1,24.2,3.5,7.1,.492,0.4,1.3,.330,.529,.523,2.5,3.4,.739,0.9,1.6,2.5,2.5,0.7,0.2,1.2,2.7,9.9
Keith Askins,MIA,SF,27,50,5,17.1,1.6,4.1,.391,0.4,1.6,.269,.465,.442,0.9,1.1,.807,1.7,2.2,4.0,0.8,0.7,0.3,0.5,2.2,4.6
Stacey Augmon,ATL,SG,26,76,76,31.1,5.2,11.5,.453,0.1,0.3,.269,.459,.457,3.3,4.6,.728,2.1,2.8,4.8,2.6,1.3,0.6,2.0,2.1,13.9
Anthony Avent,ORL,PF,25,71,3,15.0,1.5,3.4,.430,0.0,0.0,,.430,.430,0.7,1.1,.640,1.4,2.8,4.1,0.6,0.4,0.7,0.7,2.4,3.6
Vin Baker,MIL,PF,23,82,82,41.0,7.2,15.0,.483,0.1,0.3,.292,.487,.486,3.1,5.3,.593,3.5,6.8,10.3,3.6,1.0,1.4,2.7,3.4,17.7
Charles Barkley*,PHO,PF,31,68,66,35.0,8.1,16.8,.486,1.1,3.2,.338,.521,.518,5.6,7.5,.748,3.0,8.1,11.1,4.1,1.6,0.7,2.2,3.0,23.0
Dana Barros,PHI,PG,27,82,82,40.5,7.0,14.2,.490,2.4,5.2,.464,.505,.575,4.2,4.7,.899,0.3,3.0,3.3,7.5,1.8,0.0,3.0,1.9,20.6
Jon Barry,MIL,SG,25,52,0,11.6,1.1,2.6,.425,0.3,0.9,.333,.477,.485,1.2,1.5,.763,0.3,0.7,0.9,1.6,0.6,0.1,0.8,1.0,3.7
John Battle,CLE,SG,32,28,0,10.0,1.5,4.1,.377,0.4,1.1,.355,.386,.425,0.7,0.9,.731,0.1,0.3,0.4,1.3,0.3,0.0,0.6,1.0,4.1
