name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Steven Adams,OKC,C,26,63,63,26.7,4.5,7.6,.592,0.0,0.0,.333,.594,.593,1.9,3.2,.582,3.3,6.0,9.3,2.3,0.8,1.1,1.5,1.9,10.9
Bam Adebayo,MIA,PF,22,72,72,33.6,6.1,11.0,.557,0.0,0.2,.143,.564,.558,3.7,5.3,.691,2.4,7.8,10.2,5.1,1.1,1.3,2.8,2.5,15.9
LaMarcus Aldridge,SAS,C,34,53,53,33.1,7.4,15.0,.493,1.2,3.0,.389,.519,.532,3.0,3.6,.827,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4,18.9
Kyle Alexander,MIA,C,23,2,0,6.5,0.5,1.0,.500,0.0,0.0,,.500,.500,0.0,0.0,,1.0,0.5,1.5,0.0,0.0,0.0,0.5,0.5,1.0
Nickeil Alexander-Walker,NOP,SG,21,47,1,12.6,2.1,5.7,.368,1.0,2.8,.346,.391,.455,0.5,0.8,.676,0.2,1.6,1.8,1.9,0.4,0.2,1.1,1.2,5.7
Grayson Allen,MEM,SG,24,38,0,18.9,3.1,6.6,.466,1.5,3.7,.404,.545,.580,1.0,1.2,.867,0.2,2.0,2.2,1.4,0.3,0.1,0.9,1.4,8.7
Jarrett Allen,BRK,C,21,70,64,26.5,4.3,6.6,.649,0.0,0.1,.000,.658,.649,2.4,3.9,.633,3.1,6.5,9.6,1.6,0.6,1.3,1.1,2.3,11.1
Kadeem Allen,NYK,PG,27,10,0,11.7,1.9,4.4,.432,0.5,1.6,.313,.500,.489,0.7,1.1,.636,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7,5.0
Al-Farouq Aminu,ORL,PF,29,18,2,21.1,1.4,4.8,.291,0.5,2.0,.250,.320,.343,1.1,1.6,.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3
Justin Anderson,BRK,SG,26,10,1,10.7,1.0,3.8,.263,0.6,2.9,.207,.444,.342,0.2,0.4,.500,0.1,2.0,2.1,0.8,0.0,0.6,0.4,1.3,2.8
Kyle Anderson,MEM,SF,26,67,28,19.9,2.3,4.9,.474,0.4,1.3,.282,.541,.511,0.8,1.2,.667,0.9,3.4,4.3,2.4,0.8,0.6,1.0,1.7,5.8
Ryan Anderson,HOU,C,31,2,0,7.0,1.0,3.5,.286,0.5,2.5,.200,.500,.357,0.0,0.0,,0.0,3.5,3.5,1.0,0.5,0.0,0.5,0.5,2.5
Giannis Antetokounmpo,MIL,PF,25,63,63,30.4,10.9,19.7,.553,1.4,4.7,.304,.631,.589,6.3,10.0,.633,2.2,11.4,13.6,5.6,1.0,1.0,3.7,3.1,29.5
Kostas Antetokounmpo,LAL,PF,22,5,0,4.0,0.6,0.6,1.000,0.0,0.0,,1.000,1.000,0.2,0.4,.500,0.4,0.2,0.6,0.4,0.0,0.0,0.2,0.4,1.4
Thanasis Antetokounmpo,MIL,SF,27,20,2,6.5,1.2,2.4,.500,0.0,0.5,.000,.632,.500,0.4,0.9,.412,0.6,0.6,1.2,0.8,0.4,0.1,0.6,0.9,2.8
Carmelo Anthony,POR,PF,35,58,58,32.8,5.8,13.5,.430,1.5,3.9,.385,.448,.485,2.3,2.8,.845,1.2,5.1,6.3,1.5,0.8,0.5,1.7,2.9,15.4
OG Anunoby,TOR,SF,22,69,68,29.9,4.1,8.2,.505,1.3,3.3,.390,.583,.584,1.0,1.5,.706,1.2,4.1,5.3,1.6,1.4,0.7,1.1,2.4,10.6
Ryan Arcidiacono,CHI,PG,25,58,4,16.0,1.6,3.8,.409,0.9,2.4,.391,.439,.532,0.5,0.7,.711,0.3,1.6,1.9,1.7,0.5,0.1,0.6,1.7,4.5
Trevor Ariza,TOT,SF,34,53,21,28.2,2.7,6.1,.438,1.5,3.9,.372,.556,.557,1.2,1.4,.838,0.6,4.0,4.6,1.7,1.3,0.3,1.1,2.1,8.0
D.J. Augustin,ORL,PG,32,57,13,24.9,3.2,8.1,.399,1.2,3.5,.348,.438,.475,2.8,3.2,.890,0.4,1.8,2.1,4.6,0.6,0.0,1.5,1.3,10.5
Deandre Ayton,PHO,C,21,38,32,32.5,8.2,14.9,.546,0.1,0.3,.231,.553,.548,1.8,2.3,.753,3.9,7.6,11.5,1.9,0.7,1.5,2.1,3.1,18.2
Dwayne Bacon,CHO,SG,24,39,11,17.6,2.2,6.3,.348,0.5,1.7,.284,.373,.387,0.9,1.4,.660,0.4,2.2,2.6,1.3,0.6,0.1,0.9,1.3,5.7
Marvin Bagley III,SAC,C,20,13,6,25.7,6.0,12.8,.467,0.3,1.7,.182,.510,.479,1.9,2.4,.806,2.2,5.2,7.5,0.8,0.5,0.9,1.4,3.3,14.2
Lonzo Ball,NOP,PG,22,63,54,32.1,4.4,10.9,.403,2.3,6.3,.375,.442,.511,0.7,1.2,.566,1.1,5.0,6.1,7.0,1.4,0.6,3.1,2.0,11.8
Mo Bamba,ORL,C,21,62,0,14.2,2.1,4.6,.462,0.6,1.7,.346,.531,.526,0.5,0.7,.674,1.6,3.3,4.9,0.7,0.4,1.4,0.7,1.9,5.4
J.J. Barea,DAL,PG,35,29,6,15.5,2.9,7.1,.411,1.1,2.9,.376,.434,.488,0.7,0.8,.909,0.3,1.5,1.8,3.9,0.2,0.1,1.3,0.9,7.7
Harrison Barnes,SAC,PF,27,72,72,34.5,5.1,11.0,.460,1.4,3.7,.381,.501,.525,3.0,3.7,.801,1.1,3.9,4.9,2.2,0.6,0.2,1.2,1.3,14.5
