name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Shareef Abdur-Rahim,SAC,C,30,80,45,25.2,3.9,8.2,.474,0.0,0.3,.150,.484,.476,2.1,2.9,.726,1.5,3.5,5.0,1.4,0.7,0.5,1.5,3.0,9.9
Hassan Adams,NJN,SG,22,61,8,8.1,1.2,2.2,.556,0.0,0.0,.000,.560,.556,0.4,0.6,.667,0.6,0.7,1.3,0.2,0.3,0.1,0.4,0.8,2.9
Maurice Ager,DAL,SG,22,32,1,6.7,0.7,2.2,.314,0.2,0.5,.333,.309,.350,0.6,1.0,.606,0.0,0.6,0.7,0.2,0.1,0.1,0.5,0.8,2.2
LaMarcus Aldridge,POR,C,21,63,22,22.1,3.8,7.6,.503,0.0,0.0,.000,.505,.503,1.3,1.8,.722,2.3,2.7,5.0,0.4,0.3,1.2,0.7,3.0,9.0
Malik Allen,CHI,PF,28,60,1,10.6,1.8,4.3,.415,0.0,0.0,.000,.416,.415,0.5,0.6,.824,0.7,1.3,2.0,0.3,0.3,0.3,0.4,1.4,4.0
Ray Allen*,SEA,SG,31,55,55,40.3,9.2,21.0,.438,3.0,8.1,.372,.479,.510,5.1,5.6,.903,1.0,3.5,4.5,4.1,1.5,0.2,2.8,2.1,26.4
Tony Allen,BOS,SG,25,33,18,24.4,4.0,7.8,.514,0.2,1.0,.242,.553,.529,3.2,4.1,.784,1.1,2.7,3.8,1.7,1.5,0.4,2.3,2.6,11.5
Rafer Alston,HOU,PG,30,82,82,37.1,4.7,12.4,.375,2.3,6.5,.363,.389,.470,1.6,2.2,.734,0.4,3.1,3.4,5.4,1.6,0.1,2.1,2.4,13.3
Lou Amundson,TOT,PF,24,11,0,8.1,0.5,1.4,.400,0.0,0.0,,.400,.400,0.4,0.9,.400,1.2,1.4,2.5,0.1,0.1,0.7,0.5,1.4,1.5
Alan Anderson,CHA,SG,24,17,0,15.1,2.2,4.8,.457,0.3,1.2,.250,.525,.488,1.1,1.4,.826,0.6,1.2,1.9,1.2,0.4,0.0,1.3,1.9,5.8
Derek Anderson,CHA,SF,32,50,32,23.8,2.5,5.9,.429,1.1,3.0,.355,.507,.520,1.9,2.1,.877,0.6,1.7,2.3,2.7,1.0,0.1,1.1,2.3,8.0
Carmelo Anthony,DEN,SF,22,65,65,38.2,10.6,22.4,.476,0.6,2.3,.268,.499,.489,7.1,8.7,.808,2.2,3.8,6.0,3.8,1.2,0.4,3.6,3.1,28.9
Rafael Araújo,UTA,C,26,28,0,8.9,1.0,2.3,.415,0.0,0.0,,.415,.415,0.6,1.0,.621,0.8,1.6,2.4,0.4,0.2,0.1,0.6,1.4,2.6
Gilbert Arenas,WAS,PG,25,74,73,39.8,8.7,20.9,.418,2.8,7.9,.351,.459,.484,8.2,9.7,.844,0.8,3.7,4.6,6.0,1.9,0.2,3.2,3.4,28.4
Trevor Ariza,ORL,SG,21,57,7,22.4,3.5,6.5,.539,0.0,0.1,.000,.549,.539,1.9,3.0,.620,1.7,2.6,4.4,1.1,1.0,0.3,1.5,2.4,8.9
Darrell Armstrong,IND,PG,38,81,4,15.7,1.9,4.7,.414,0.9,2.6,.336,.515,.509,0.9,1.1,.785,0.4,1.2,1.7,2.4,0.9,0.1,0.9,1.3,5.6
Hilton Armstrong,NOK,C,22,56,5,11.3,1.2,2.2,.544,0.0,0.0,,.544,.544,0.7,1.2,.597,1.0,1.6,2.7,0.2,0.2,0.5,0.6,1.4,3.1
Carlos Arroyo,ORL,PG,27,72,5,18.1,2.8,6.6,.425,0.2,0.7,.275,.443,.439,1.8,2.3,.795,0.4,1.4,1.9,2.8,0.5,0.0,1.3,1.8,7.7
Chucky Atkins,MEM,PG,32,75,23,27.5,4.1,9.5,.434,1.5,4.1,.379,.474,.515,3.4,4.1,.810,0.2,1.6,1.9,4.6,0.7,0.1,1.7,1.8,13.2
James Augustine,ORL,PF,22,2,0,3.5,0.5,1.5,.333,0.0,0.0,,.333,.333,0.0,0.0,,0.5,1.0,1.5,1.0,0.0,0.0,0.0,1.0,1.0
Kelenna Azubuike,GSW,SG,23,41,9,16.3,2.4,5.4,.445,0.8,1.9,.430,.454,.523,1.5,1.9,.782,0.6,1.7,2.3,0.7,0.5,0.2,1.0,1.2,7.1
Renaldo Balkman,NYK,SF,22,68,1,15.6,2.0,4.0,.505,0.1,0.4,.185,.540,.515,0.8,1.3,.567,1.4,2.9,4.3,0.6,0.8,0.6,0.7,2.1,4.9
Marcus Banks,PHO,PG,25,45,1,11.2,1.9,4.4,.429,0.1,0.6,.172,.473,.441,1.1,1.3,.800,0.2,0.6,0.8,1.3,0.5,0.1,0.9,1.6,4.9
Leandro Barbosa,PHO,SG,24,80,18,32.7,6.6,13.9,.476,2.4,5.5,.434,.504,.562,2.5,2.9,.845,0.3,2.4,2.7,4.0,1.2,0.2,1.8,2.6,18.1
J.J. Barea,DAL,PG,22,33,1,5.8,0.8,2.4,.359,0.2,0.6,.286,.386,.397,0.5,0.7,.667,0.2,0.5,0.8,0.7,0.0,0.0,0.4,0.6,2.4
Andrea Bargnani,TOR,PF,21,65,2,25.1,4.1,9.6,.427,1.5,4.1,.373,.468,.507,1.8,2.2,.824,0.8,3.1,3.9,0.8,0.5,0.8,1.6,2.8,11.6
Matt Barnes,GSW,PF,26,76,23,23.9,3.6,8.3,.438,1.4,3.8,.366,.500,.522,1.2,1.6,.732,1.2,3.4,4.6,2.1,1.0,0.5,1.4,2.5,9.8
Andre Barrett,CHI,PG,24,6,0,4.8,0.7,1.3,.500,0.0,0.0,,.500,.500,0.0,0.0,,0.2,0.7,0.8,1.2,0.0,0.0,0.7,0.7,1.3
Earl Barron,MIA,C,25,28,0,7.3,0.9,3.0,.289,0.0,0.0,.000,.293,.289,0.6,0.6,.944,0.7,0.8,1.5,0.2,0.2,0.1,0.4,0.8,2.3
Brent Barry,SAS,SG,35,75,28,21.7,2.7,5.7,.475,1.7,3.8,.446,.536,.626,1.4,1.6,.880,0.2,1.9,2.1,1.8,0.7,0.2,0.8,1.2,8.5
Brandon Bass,NOK,PF,21,21,3,7.7,0.7,2.1,.341,0.0,0.0,.000,.349,.341,0.6,0.8,.750,0.6,1.4,2.0,0.1,0.1,0.1,0.5,0.8,2.0
Maceo Baston,IND,PF,31,47,2,8.6,1.0,1.6,.645,0.1,0.1,.429,.667,.664,0.8,1.0,.787,0.4,1.1,1.6,0.3,0.3,0.4,0.7,1.4,2.9
Esteban Batista,ATL,PF,23,13,0,6.2,0.6,1.2,.500,0.0,0.0,,.500,.500,0.3,0.5,.571,0.5,1.8,2.3,0.3,0.2,0.0,0.3,1.0,1.5
Tony Battie,ORL,PF,30,66,66,23.9,2.7,5.5,.489,0.0,0.0,.000,.490,.489,0.8,1.2,.675,1.4,3.8,5.2,0.5,0.4,0.5,0.9,2.8,6.1
Shane Battier,HOU,SF,28,82,82,36.4,3.6,8.0,.446,1.9,4.5,.421,.480,.567,1.1,1.4,.779,0.8,3.3,4.1,2.1,1.0,0.7,0.9,2.3,10.1
Charlie Bell,MIL,SG,27,82,64,34.7,5.2,11.9,.437,1.5,4.4,.352,.488,.503,1.6,2.0,.780,0.7,2.2,2.9,3.0,1.2,0.0,1.3,2.6,13.5
Raja Bell,PHO,SG,30,78,78,37.4,5.3,12.2,.432,2.6,6.4,.413,.452,.539,1.5,1.9,.776,0.6,2.6,3.2,2.5,0.6,0.3,1.1,3.0,14.7
Mike Bibby,SAC,PG,28,82,82,34.0,5.7,14.2,.404,2.1,5.9,.360,.435,.478,3.5,4.2,.830,0.5,2.7,3.2,4.7,1.1,0.1,2.4,1.7,17.1
Andris Biedriņš,GSW,C,20,82,63,29.0,4.2,7.1,.599,0.0,0.0,,.599,.599,1.1,2.0,.521,3.1,6.2,9.3,1.1,0.8,1.7,1.5,3.7,9.5
Chauncey Billups,DET,PG,30,70,70,36.2,5.0,11.6,.427,1.6,4.5,.345,.479,.494,5.5,6.2,.883,0.3,3.1,3.4,7.2,1.2,0.2,2.0,2.3,17.0
Steve Blake,TOT,PG,26,82,42,27.1,2.5,6.2,.411,0.8,2.5,.322,.472,.476,0.5,0.8,.672,0.3,1.8,2.1,5.0,0.7,0.1,1.6,1.5,6.4
Will Blalock,DET,PG,23,14,0,11.9,0.6,2.1,.300,0.1,0.4,.200,.320,.317,0.4,0.4,1.000,0.4,0.6,1.1,1.2,0.4,0.0,0.9,0.6,1.8
Andray Blatche,WAS,PF,20,56,13,12.2,1.5,3.5,.437,0.1,0.5,.148,.482,.447,0.5,0.9,.612,1.4,2.0,3.4,0.7,0.3,0.6,0.9,1.7,3.7
Mark Blount,MIN,C,31,82,81,31.0,5.2,10.2,.509,0.1,0.4,.290,.517,.514,1.8,2.4,.754,1.7,4.5,6.2,0.8,0.5,0.7,1.9,2.9,12.3
Keith Bogans,ORL,SG,26,59,18,16.8,1.7,4.2,.404,0.9,2.3,.387,.426,.512,0.8,1.1,.746,0.3,1.3,1.6,1.0,0.5,0.0,0.8,1.7,5.1
Andrew Bogut,MIL,C,22,66,66,34.2,5.3,9.5,.553,0.0,0.1,.200,.556,.554,1.7,2.9,.577,2.5,6.3,8.8,3.0,0.7,0.5,2.3,3.3,12.3
Matt Bonner,SAS,PF,26,56,0,11.7,1.9,4.2,.447,0.6,1.7,.383,.490,.523,0.5,0.7,.711,1.1,1.6,2.8,0.4,0.3,0.2,0.4,1.2,4.9
Josh Boone,NJN,PF,22,61,0,11.0,1.6,2.8,.579,0.0,0.0,,.579,.579,0.9,1.7,.544,1.0,1.8,2.9,0.2,0.2,0.3,0.5,1.5,4.2
Calvin Booth,WAS,C,30,44,1,8.6,0.7,1.5,.470,0.0,0.0,.500,.469,.477,0.1,0.2,.600,0.6,1.2,1.8,0.4,0.1,0.7,0.2,1.6,1.6
Carlos Boozer,UTA,PF,25,74,74,34.6,8.7,15.6,.561,0.0,0.0,,.561,.561,3.4,5.0,.685,3.2,8.5,11.7,3.0,0.9,0.3,2.6,2.9,20.9
Chris Bosh*,TOR,C,22,69,69,38.5,7.9,15.9,.496,0.2,0.5,.343,.501,.502,6.7,8.6,.785,2.7,8.0,10.7,2.5,0.6,1.3,2.6,2.4,22.6
Bruce Bowen,SAS,SF,35,82,82,30.0,2.3,5.7,.405,1.1,2.8,.384,.426,.500,0.5,0.9,.589,0.3,2.4,2.7,1.4,0.8,0.3,0.8,2.1,6.2
