name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Álex Abrines,OKC,SG,23,68,6,15.5,2.0,5.0,.393,1.4,3.6,.381,.426,.531,0.6,0.7,.898,0.3,1.0,1.3,0.6,0.5,0.1,0.5,1.7,6.0
Quincy Acy,TOT,PF,26,38,1,14.7,1.8,4.5,.412,1.0,2.4,.411,.413,.521,1.2,1.6,.750,0.5,2.5,3.0,0.5,0.4,0.4,0.6,1.8,5.8
Steven Adams,OKC,C,23,80,80,29.9,4.7,8.2,.571,0.0,0.0,.000,.572,.571,2.0,3.2,.611,3.5,4.2,7.7,1.1,1.1,1.0,1.8,2.4,11.3
Arron Afflalo,SAC,SG,31,61,45,25.9,3.0,6.9,.440,1.0,2.5,.411,.457,.514,1.4,1.5,.892,0.1,1.9,2.0,1.3,0.3,0.1,0.7,1.7,8.4
Alexis Ajinça,NOP,C,28,39,15,15.0,2.3,4.6,.500,0.0,0.1,.000,.511,.500,0.7,1.0,.725,1.2,3.4,4.5,0.3,0.5,0.6,0.8,2.0,5.3
Cole Aldrich,MIN,C,28,62,0,8.6,0.7,1.4,.523,0.0,0.0,,.523,.523,0.2,0.4,.682,0.8,1.7,2.5,0.4,0.4,0.4,0.3,1.4,1.7
LaMarcus Aldridge,SAS,PF,31,72,72,32.4,6.9,14.6,.477,0.3,0.8,.411,.480,.488,3.1,3.8,.812,2.4,4.9,7.3,1.9,0.6,1.2,1.4,2.2,17.3
Lavoy Allen,IND,PF,27,61,5,14.3,1.3,2.8,.458,0.0,0.0,.000,.461,.458,0.4,0.5,.697,1.7,1.9,3.6,0.9,0.3,0.4,0.5,1.3,2.9
Tony Allen,MEM,SG,35,71,66,27.0,3.9,8.4,.461,0.2,0.8,.278,.479,.473,1.1,1.8,.615,2.3,3.2,5.5,1.4,1.6,0.4,1.4,2.5,9.1
Al-Farouq Aminu,POR,PF,26,61,25,29.1,3.0,7.6,.393,1.1,3.5,.330,.445,.468,1.6,2.2,.706,1.3,6.1,7.4,1.6,1.0,0.7,1.5,1.7,8.7
Chris Andersen,CLE,C,38,12,0,9.5,0.8,1.8,.409,0.0,0.3,.000,.474,.409,0.8,1.2,.714,0.8,1.8,2.6,0.4,0.4,0.6,0.4,1.7,2.3
Alan Anderson,LAC,SF,34,30,0,10.3,1.0,2.7,.375,0.5,1.5,.318,.444,.463,0.4,0.5,.750,0.1,0.7,0.8,0.4,0.1,0.0,0.2,1.2,2.9
Justin Anderson,TOT,SF,23,75,10,16.4,2.5,5.9,.424,0.8,2.6,.299,.522,.490,1.4,1.7,.791,0.9,2.3,3.3,0.9,0.5,0.3,0.9,1.5,7.1
Kyle Anderson,SAS,SF,23,72,14,14.2,1.3,2.9,.445,0.2,0.6,.375,.462,.481,0.6,0.8,.789,0.5,2.4,2.9,1.3,0.7,0.4,0.5,0.9,3.4
Ryan Anderson,HOU,PF,28,72,72,29.4,4.5,10.7,.418,2.8,7.0,.403,.446,.550,1.8,2.1,.860,1.6,3.0,4.6,0.9,0.4,0.2,0.8,2.0,13.6
Giannis Antetokounmpo,MIL,SF,22,80,80,35.6,8.2,15.7,.521,0.6,2.3,.272,.563,.541,5.9,7.7,.770,1.8,7.0,8.8,5.4,1.6,1.9,2.9,3.1,22.9
Carmelo Anthony,NYK,SF,32,74,74,34.3,8.1,18.8,.433,2.0,5.7,.359,.466,.488,4.1,4.9,.833,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.4
Joel Anthony,SAS,C,34,19,0,6.4,0.5,0.8,.625,0.0,0.0,,.625,.625,0.3,0.4,.625,0.4,1.2,1.6,0.2,0.1,0.3,0.2,0.6,1.3
Trevor Ariza,HOU,SF,31,80,80,34.7,4.1,10.0,.409,2.4,6.9,.344,.556,.528,1.2,1.6,.738,0.7,5.1,5.7,2.2,1.8,0.3,0.9,1.7,11.7
Darrell Arthur,DEN,PF,28,41,7,15.6,2.3,5.2,.442,1.3,2.9,.453,.429,.565,0.5,0.5,.864,0.6,2.1,2.7,1.0,0.5,0.5,0.9,1.9,6.4
Ömer Aşık,NOP,C,30,31,19,15.5,1.0,2.1,.477,0.0,0.0,,.477,.477,0.7,1.3,.590,1.5,3.7,5.3,0.5,0.2,0.3,0.5,1.6,2.7
D.J. Augustin,ORL,PG,29,78,20,19.7,2.5,6.6,.377,1.2,3.5,.347,.412,.469,1.7,2.1,.814,0.2,1.3,1.5,2.7,0.4,0.0,1.2,1.3,7.9
Luke Babbitt,MIA,SF,27,68,55,15.7,1.7,4.1,.402,1.3,3.1,.414,.366,.557,0.2,0.2,.733,0.2,1.9,2.1,0.5,0.3,0.2,0.4,1.7,4.8
Ron Baker,NYK,SG,23,52,13,16.5,1.6,4.2,.378,0.4,1.7,.267,.450,.431,0.5,0.8,.651,0.2,1.7,1.9,2.1,0.7,0.2,1.1,1.4,4.1
Wade Baldwin,MEM,PG,20,33,1,12.3,1.1,3.5,.313,0.1,0.7,.136,.355,.326,0.9,1.1,.838,0.3,1.1,1.4,1.8,0.5,0.2,1.2,1.2,3.2
Leandro Barbosa,PHO,SG,34,67,0,14.4,2.6,5.9,.439,0.5,1.5,.357,.466,.483,0.6,0.7,.889,0.2,1.3,1.6,1.2,0.5,0.1,0.7,1.2,6.3
J.J. Barea,DAL,PG,32,35,6,22.0,4.1,9.8,.414,1.5,4.2,.358,.456,.491,1.3,1.5,.863,0.3,2.1,2.4,5.5,0.4,0.0,1.8,0.9,10.9
Harrison Barnes,DAL,PF,24,79,79,35.5,7.6,16.2,.468,1.0,2.8,.351,.492,.498,3.1,3.6,.861,1.2,3.8,5.0,1.5,0.8,0.2,1.3,1.6,19.2
Matt Barnes,TOT,SF,36,74,18,24.0,2.5,6.4,.391,1.2,3.6,.331,.467,.483,0.9,1.2,.787,0.9,4.2,5.2,2.6,0.6,0.4,1.4,2.5,7.1
Will Barton,DEN,SG,26,60,19,28.4,4.9,11.1,.443,1.5,3.9,.370,.483,.508,2.4,3.2,.753,1.0,3.4,4.3,3.4,0.8,0.5,1.6,1.8,13.7
Brandon Bass,LAC,PF,31,52,0,11.1,2.1,3.6,.575,0.0,0.1,.333,.579,.578,1.5,1.7,.875,0.8,1.7,2.5,0.4,0.3,0.2,0.6,0.9,5.6
Nicolas Batum,CHO,SG,28,77,77,34.0,5.1,12.7,.403,1.8,5.3,.333,.453,.472,3.2,3.7,.856,0.6,5.6,6.2,5.9,1.1,0.4,2.5,1.4,15.1
Jerryd Bayless,PHI,PG,28,3,1,23.7,3.7,10.7,.344,0.7,1.7,.400,.333,.375,3.0,3.3,.900,1.0,3.0,4.0,4.3,0.0,0.0,3.0,1.3,11.0
Aron Baynes,DET,C,30,75,2,15.5,1.9,3.7,.513,0.0,0.0,,.513,.513,1.1,1.3,.840,1.5,3.0,4.4,0.4,0.2,0.5,0.7,2.2,4.9
Kent Bazemore,ATL,SF,27,73,64,26.9,4.0,9.9,.409,1.3,3.6,.346,.446,.473,1.6,2.3,.708,0.6,2.5,3.2,2.4,1.2,0.7,1.7,2.3,11.0
Bradley Beal,WAS,SG,23,77,77,34.9,8.3,17.2,.482,2.9,7.2,.404,.538,.566,3.7,4.4,.825,0.7,2.4,3.1,3.5,1.1,0.3,2.0,2.2,23.1
Malik Beasley,DEN,SG,20,22,1,7.5,1.5,3.3,.452,0.4,1.3,.321,.533,.514,0.4,0.5,.800,0.2,0.5,0.8,0.5,0.3,0.0,0.4,0.5,3.8
Michael Beasley,MIL,PF,28,56,6,16.7,3.9,7.3,.532,0.3,0.8,.419,.545,.554,1.4,1.9,.743,0.7,2.7,3.4,0.9,0.5,0.5,1.2,1.6,9.4
Marco Belinelli,CHO,SG,30,74,0,24.0,3.6,8.3,.429,1.4,3.8,.360,.488,.512,2.0,2.3,.893,0.2,2.2,2.4,2.0,0.6,0.1,0.9,1.2,10.5
DeAndre' Bembry,ATL,SF,22,38,1,9.8,1.2,2.6,.480,0.0,0.5,.056,.575,.485,0.2,0.4,.375,0.4,1.2,1.6,0.7,0.2,0.1,0.4,0.6,2.7
Dragan Bender,PHO,PF,19,43,0,13.3,1.3,3.7,.354,0.7,2.3,.277,.483,.441,0.1,0.3,.364,0.5,1.9,2.4,0.5,0.2,0.5,0.7,1.7,3.4
Anthony Bennett,BRK,PF,23,23,1,11.5,1.7,4.0,.413,0.6,2.1,.271,.568,.484,1.1,1.6,.722,1.1,2.3,3.4,0.5,0.2,0.1,0.5,0.8,5.0
Ben Bentil,DAL,PF,21,3,0,3.3,0.0,1.0,.000,0.0,0.3,.000,.000,.000,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.0,0.3,0.3,0.0
Dāvis Bertāns,SAS,PF,24,67,6,12.1,1.5,3.5,.440,1.0,2.6,.399,.557,.588,0.4,0.5,.824,0.3,1.1,1.5,0.7,0.3,0.4,0.5,1.1,4.5
Patrick Beverley,HOU,SG,28,67,67,30.7,3.4,8.1,.420,1.6,4.3,.382,.463,.521,1.1,1.4,.768,1.4,4.4,5.9,4.2,1.5,0.4,1.5,3.3,9.5
Bismack Biyombo,ORL,C,24,81,27,22.1,2.2,4.2,.528,0.0,0.0,,.528,.528,1.5,2.9,.534,1.9,5.1,7.0,0.9,0.3,1.1,1.2,2.5,6.0
Nemanja Bjelica,MIN,PF,28,65,1,18.3,2.3,5.5,.424,0.9,2.7,.316,.531,.503,0.7,0.9,.738,0.9,2.9,3.8,1.2,0.6,0.3,0.9,2.4,6.2
Tarik Black,LAL,C,25,67,16,16.3,2.2,4.4,.510,0.0,0.0,.500,.510,.512,1.2,1.6,.752,2.1,3.0,5.1,0.6,0.4,0.7,0.9,2.6,5.7
Eric Bledsoe,PHO,PG,27,66,66,33.0,6.8,15.7,.434,1.6,4.7,.335,.477,.485,5.9,6.9,.847,0.8,4.1,4.8,6.3,1.4,0.5,3.4,2.5,21.1
Bojan Bogdanović,TOT,SF,27,81,54,25.7,4.6,10.4,.445,1.8,4.8,.367,.512,.530,2.7,3.0,.893,0.5,3.0,3.4,1.4,0.4,0.1,1.6,1.8,13.7
Andrew Bogut,TOT,C,32,27,21,21.6,1.4,3.0,.469,0.0,0.0,.000,.475,.469,0.1,0.4,.273,2.1,6.0,8.1,1.8,0.5,0.9,1.6,3.2,2.9
Joel Bolomboy,UTA,PF,23,12,0,4.4,0.8,1.3,.563,0.1,0.3,.250,.667,.594,0.3,0.5,.500,0.3,1.1,1.4,0.2,0.1,0.2,0.2,0.1,1.8
Devin Booker,PHO,SG,20,78,78,35.0,7.8,18.3,.423,1.9,5.2,.363,.447,.475,4.7,5.7,.832,0.6,2.6,3.2,3.4,0.9,0.3,3.1,3.1,22.1
