name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Shareef Abdur-Rahim,POR,PF,28,54,49,34.6,6.2,12.4,.503,0.3,0.7,.385,.510,.514,4.1,4.7,.866,2.3,5.0,7.3,2.1,0.9,0.5,2.2,2.8,16.8
Cory Alexander,CHA,SG,31,16,1,12.6,1.0,3.1,.327,0.5,1.2,.421,.267,.408,0.6,0.8,.750,0.5,1.3,1.8,2.3,0.6,0.1,1.2,1.8,3.1
Malik Allen,TOT,PF,26,36,1,14.4,2.3,4.9,.475,0.0,0.0,,.475,.475,0.7,0.8,.929,1.1,1.6,2.8,0.5,0.3,0.6,0.5,1.5,5.4
Ray Allen*,SEA,SG,29,78,78,39.3,8.2,19.2,.428,2.7,7.1,.376,.459,.498,4.8,5.5,.883,1.0,3.4,4.4,3.7,1.1,0.1,2.2,2.1,23.9
Tony Allen,BOS,SG,23,77,34,16.4,2.4,5.0,.475,0.2,0.4,.387,.483,.491,1.5,2.0,.737,1.1,1.8,2.9,0.8,1.0,0.3,1.0,2.0,6.4
Rafer Alston,TOR,PG,28,80,78,34.0,5.0,12.2,.414,1.7,4.9,.357,.451,.485,2.4,3.2,.740,0.5,3.0,3.5,6.4,1.5,0.1,2.1,2.7,14.2
Chris Andersen,NOH,C,26,67,2,21.3,2.9,5.3,.534,0.0,0.0,.000,.538,.534,2.0,2.8,.689,2.0,4.1,6.1,1.1,0.2,1.5,1.0,2.1,7.7
Derek Anderson,POR,SG,30,47,32,26.4,3.2,8.3,.389,1.2,3.2,.384,.392,.463,1.5,1.9,.805,0.5,2.2,2.7,3.0,0.8,0.1,1.5,1.9,9.2
Kenny Anderson,TOT,PG,34,43,20,17.3,2.0,4.7,.423,0.1,0.3,.462,.420,.438,0.6,0.9,.730,0.6,1.5,2.0,2.4,0.8,0.0,1.1,2.0,4.7
Shandon Anderson,TOT,SF-SG,31,66,5,17.7,1.5,3.3,.452,0.1,0.4,.172,.495,.463,0.8,1.0,.818,0.6,2.3,2.9,1.1,0.6,0.2,0.8,2.1,3.9
Carmelo Anthony,DEN,SF,20,75,75,34.8,7.1,16.4,.431,0.6,2.1,.266,.455,.448,6.1,7.6,.796,1.9,3.8,5.7,2.6,0.9,0.4,3.0,3.1,20.8
Rafael Araújo,TOR,C,24,59,41,12.5,1.3,3.0,.434,0.0,0.1,.333,.436,.437,0.7,0.9,.782,1.0,2.1,3.1,0.3,0.4,0.1,0.9,2.7,3.3
Gilbert Arenas,WAS,PG,23,80,80,40.9,8.2,19.0,.431,2.6,7.0,.365,.469,.498,6.5,8.0,.814,1.0,3.7,4.7,5.1,1.7,0.3,3.0,3.1,25.5
Trevor Ariza,NYK,SF,19,80,12,17.3,2.2,4.9,.442,0.0,0.2,.231,.449,.446,1.5,2.2,.695,1.1,1.9,3.0,1.1,0.9,0.2,0.9,1.9,5.9
