name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Alex Acker,TOT,SG,26,25,0,8.0,1.2,3.0,.395,0.3,0.8,.350,.411,.441,0.2,0.4,.500,0.3,0.6,1.0,0.5,0.2,0.2,0.3,0.4,2.9
Hassan Adams,TOR,SG,24,12,0,4.3,0.3,1.1,.308,0.0,0.0,,.308,.308,0.3,0.5,.500,0.1,0.5,0.6,0.1,0.1,0.1,0.3,0.3,0.9
Arron Afflalo,DET,SG,23,74,8,16.7,1.8,4.1,.437,0.6,1.4,.402,.456,.508,0.8,1.0,.817,0.4,1.4,1.8,0.6,0.4,0.2,0.6,1.9,4.9
Maurice Ager,NJN,SG,24,20,0,4.9,0.8,2.2,.349,0.0,0.3,.000,.405,.349,0.2,0.4,.500,0.2,0.4,0.5,0.2,0.1,0.1,0.2,0.9,1.7
Blake Ahearn,SAS,PG,24,3,0,6.3,0.7,2.0,.333,0.7,1.3,.500,.000,.500,0.7,0.7,1.000,0.0,0.3,0.3,0.7,0.3,0.0,0.3,1.0,2.7
Alexis Ajinça,CHA,PF,20,31,4,5.9,0.8,2.2,.362,0.0,0.1,.000,.373,.362,0.6,0.9,.714,0.3,0.7,1.0,0.1,0.2,0.2,0.4,1.1,2.3
LaMarcus Aldridge,POR,PF,23,81,81,37.1,7.4,15.3,.484,0.1,0.3,.250,.489,.486,3.2,4.1,.781,2.9,4.6,7.5,1.9,1.0,1.0,1.5,2.6,18.1
Joe Alexander,MIL,SF,22,59,0,12.1,1.7,4.2,.416,0.3,0.8,.348,.432,.449,1.0,1.4,.699,0.7,1.2,1.9,0.7,0.3,0.5,0.9,1.8,4.7
Malik Allen,MIL,PF,30,49,3,11.8,1.5,3.5,.429,0.0,0.0,.000,.432,.429,0.2,0.4,.476,0.7,1.4,2.1,0.7,0.1,0.2,0.4,1.8,3.2
Ray Allen*,BOS,SG,33,79,79,36.4,6.3,13.2,.480,2.5,6.2,.409,.542,.575,3.0,3.2,.952,0.8,2.7,3.5,2.8,0.9,0.2,1.7,2.0,18.2
Tony Allen,BOS,SG,27,46,2,19.3,3.0,6.2,.482,0.1,0.6,.222,.510,.493,1.7,2.4,.725,0.5,1.8,2.3,1.4,1.2,0.5,1.7,2.1,7.8
Morris Almond,UTA,SG,23,25,1,10.2,1.3,3.2,.407,0.2,0.7,.294,.438,.438,0.8,1.0,.808,0.4,1.1,1.4,0.3,0.2,0.2,0.6,1.2,3.7
Rafer Alston,TOT,PG,32,77,76,31.8,4.1,10.6,.385,1.5,4.3,.338,.417,.454,2.0,2.7,.750,0.4,2.5,2.9,5.3,1.4,0.1,1.8,1.8,11.7
