name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Quincy Acy,NYK,PF,24,68,22,18.9,2.2,4.9,.459,0.3,0.9,.300,.494,.486,1.1,1.4,.784,1.2,3.3,4.4,1.0,0.4,0.3,0.9,2.2,5.9
Jordan Adams,MEM,SG,20,30,0,8.3,1.2,2.9,.407,0.3,0.8,.400,.410,.465,0.5,0.8,.609,0.3,0.6,0.9,0.5,0.5,0.2,0.5,0.8,3.1
Steven Adams,OKC,C,21,70,67,25.3,3.1,5.7,.544,0.0,0.0,.000,.547,.544,1.5,2.9,.502,2.8,4.6,7.5,0.9,0.5,1.2,1.4,3.2,7.7
Jeff Adrien,MIN,PF,28,17,0,12.6,1.1,2.6,.432,0.0,0.0,,.432,.432,1.3,2.2,.579,1.4,3.2,4.5,0.9,0.2,0.5,0.5,1.8,3.5
Arron Afflalo,TOT,SG,29,78,72,32.1,4.8,11.3,.424,1.5,4.3,.354,.466,.491,2.1,2.5,.843,0.3,2.8,3.2,1.7,0.5,0.1,1.5,2.1,13.3
Alexis Ajinça,NOP,C,26,68,8,14.1,2.7,4.8,.550,0.0,0.0,,.550,.550,1.2,1.5,.818,1.5,3.1,4.6,0.7,0.3,0.8,1.0,2.2,6.5
Furkan Aldemir,PHI,PF,23,41,9,13.2,1.0,1.9,.513,0.0,0.1,.000,.548,.513,0.3,0.7,.481,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,2.3
Cole Aldrich,NYK,C,26,61,16,16.0,2.4,4.9,.478,0.0,0.0,,.478,.478,0.8,1.0,.781,1.7,3.9,5.5,1.2,0.6,1.1,1.0,2.0,5.5
LaMarcus Aldridge,POR,PF,29,71,71,35.4,9.3,19.9,.466,0.5,1.5,.352,.475,.479,4.3,5.1,.845,2.5,7.7,10.2,1.7,0.7,1.0,1.7,1.8,23.4
Lavoy Allen,IND,C,25,63,0,17.0,2.2,4.7,.472,0.0,0.0,,.472,.472,0.5,0.7,.702,2.0,3.2,5.1,1.2,0.2,0.7,0.6,1.6,5.0
Tony Allen,MEM,SG,33,63,41,26.2,3.6,7.2,.495,0.2,0.5,.345,.505,.505,1.3,2.0,.627,1.6,2.8,4.4,1.4,2.0,0.5,1.4,2.6,8.6
Al-Farouq Aminu,DAL,SF,24,74,3,18.5,2.0,4.8,.412,0.5,1.7,.274,.485,.459,1.1,1.6,.712,1.5,3.1,4.6,0.8,0.9,0.8,0.7,1.9,5.6
Lou Amundson,TOT,PF,32,53,35,17.7,2.1,4.8,.427,0.0,0.0,.000,.429,.427,0.8,1.6,.471,1.8,3.3,5.1,1.3,0.4,1.0,1.2,2.4,4.9
Chris Andersen,MIA,C,36,60,20,18.9,2.0,3.5,.580,0.1,0.2,.308,.598,.589,1.3,1.9,.667,1.3,3.7,5.0,0.7,0.4,1.0,0.7,1.5,5.3
Alan Anderson,BRK,SG,32,74,19,23.6,2.6,5.9,.443,1.0,2.8,.348,.530,.526,1.1,1.4,.812,0.4,2.3,2.8,1.1,0.8,0.1,0.8,2.0,7.4
Kyle Anderson,SAS,SF,21,33,8,10.8,0.9,2.7,.348,0.1,0.3,.273,.359,.365,0.3,0.4,.643,0.2,2.0,2.2,0.8,0.5,0.2,0.3,0.8,2.2
Ryan Anderson,NOP,PF,26,61,5,27.5,4.8,12.0,.399,2.0,5.9,.340,.457,.483,2.1,2.5,.854,1.8,3.1,4.8,0.9,0.5,0.3,1.0,1.9,13.7
Giannis Antetokounmpo,MIL,SG,20,81,71,31.4,4.7,9.6,.491,0.1,0.5,.159,.511,.496,3.2,4.3,.741,1.2,5.5,6.7,2.6,0.9,1.0,2.1,3.1,12.7
Carmelo Anthony,NYK,SF,30,40,40,35.7,9.0,20.2,.444,1.5,4.5,.341,.474,.482,4.7,5.9,.797,1.8,4.8,6.6,3.1,1.0,0.4,2.2,2.2,24.2
Joel Anthony,DET,C,32,49,0,8.3,0.7,1.3,.581,0.0,0.0,,.581,.581,0.3,0.4,.682,0.7,1.2,1.9,0.1,0.2,1.0,0.2,1.1,1.8
Pero Antić,ATL,C,32,63,3,16.5,1.7,4.7,.365,0.8,2.7,.301,.455,.453,1.4,2.0,.715,0.9,2.1,3.0,0.8,0.3,0.2,0.8,2.1,5.7
Trevor Ariza,HOU,SF,29,82,82,35.7,4.5,11.1,.402,2.4,6.8,.350,.485,.509,1.5,1.7,.853,0.9,4.7,5.6,2.5,1.9,0.2,1.7,2.3,12.8
Darrell Arthur,DEN,PF,26,58,4,17.0,2.7,6.6,.404,0.4,1.9,.236,.471,.438,0.8,1.0,.780,0.9,2.0,2.9,1.0,0.8,0.4,0.8,2.5,6.6
Ömer Aşık,NOP,C,28,76,76,26.1,2.8,5.4,.517,0.0,0.0,,.517,.517,1.7,3.0,.582,3.2,6.6,9.8,0.9,0.4,0.7,1.3,1.9,7.3
D.J. Augustin,TOT,PG,27,82,14,24.0,3.1,7.9,.399,1.0,3.0,.337,.436,.463,2.2,2.5,.868,0.2,1.7,2.0,4.3,0.6,0.0,1.8,1.1,9.5
Jeff Ayres,SAS,PF,27,51,0,7.5,1.1,1.9,.579,0.0,0.0,,.579,.579,0.5,0.7,.750,0.7,1.6,2.3,0.3,0.2,0.2,0.5,1.2,2.7
Luke Babbitt,NOP,SF,25,63,19,13.2,1.5,3.0,.479,0.9,1.8,.513,.429,.633,0.2,0.3,.684,0.2,1.6,1.8,0.4,0.3,0.2,0.4,1.0,4.1
Cameron Bairstow,CHI,PF,24,18,1,3.6,0.2,0.8,.214,0.0,0.0,,.214,.214,0.2,0.3,.800,0.3,0.1,0.4,0.1,0.1,0.1,0.2,0.4,0.6
Leandro Barbosa,GSW,SG,32,66,1,14.9,2.8,5.8,.474,0.7,1.7,.384,.511,.530,0.9,1.1,.784,0.3,1.0,1.4,1.5,0.6,0.1,0.7,1.3,7.1
J.J. Barea,DAL,PG,30,77,10,17.7,2.9,7.0,.420,0.7,2.2,.323,.463,.470,1.0,1.2,.809,0.3,1.4,1.7,3.4,0.4,0.0,0.9,1.4,7.5
Andrea Bargnani,NYK,C,29,29,22,27.1,5.7,12.4,.454,0.5,1.4,.366,.466,.475,3.0,3.7,.813,1.1,3.3,4.4,1.6,0.1,0.9,1.4,1.8,14.8
Harrison Barnes,GSW,SF,22,82,82,28.3,3.9,8.0,.482,1.1,2.6,.405,.519,.548,1.3,1.8,.720,1.4,4.1,5.5,1.4,0.7,0.2,0.9,1.8,10.1
Matt Barnes,LAC,SF,34,76,74,29.9,3.6,8.2,.444,1.8,4.9,.362,.569,.553,1.0,1.3,.779,0.7,3.3,4.0,1.5,0.9,0.7,1.1,3.2,10.1
