name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Kareem Abdul-Jabbar*,LAL,C,41,74,74,22.9,4.2,8.9,.475,0.0,0.0,.000,.477,.475,1.6,2.2,.739,1.4,3.1,4.5,1.0,0.5,1.1,1.3,2.6,10.1
Mark Acres,BOS,C,26,62,0,10.2,0.9,1.8,.482,0.0,0.0,1.000,.478,.487,0.4,0.8,.542,1.0,1.4,2.4,0.3,0.3,0.1,0.4,1.5,2.2
Michael Adams,DEN,PG,26,77,77,36.2,6.1,14.1,.433,2.2,6.1,.356,.490,.509,4.2,5.1,.819,0.9,2.8,3.7,6.4,2.2,0.1,2.3,1.9,18.5
Mark Aguirre,TOT,SF,29,80,76,32.5,7.3,15.9,.461,0.6,2.2,.293,.488,.481,3.6,4.9,.733,1.8,3.0,4.8,3.5,0.6,0.5,2.6,2.9,18.9
Danny Ainge,TOT,PG,29,73,54,32.6,6.6,14.4,.457,1.6,4.2,.380,.488,.512,2.8,3.3,.854,1.0,2.5,3.5,5.5,1.3,0.1,2.0,2.5,17.5
Mark Alarie,WSB,PF,25,74,5,15.4,2.8,5.8,.478,0.2,0.5,.342,.491,.493,1.0,1.2,.839,1.4,2.1,3.4,0.9,0.3,0.3,0.8,2.2,6.7
Steve Alford,TOT,PG,24,66,3,13.7,2.2,4.9,.457,0.3,0.8,.364,.476,.488,0.8,0.9,.820,0.2,0.9,1.1,1.4,0.7,0.0,0.7,0.9,5.5
Randy Allen,SAC,SG,24,7,0,6.1,1.1,2.7,.421,0.0,0.1,.000,.444,.421,0.1,0.3,.500,0.4,0.6,1.0,0.0,0.1,0.1,0.3,1.0,2.4
Greg Anderson,SAS,PF,24,82,56,29.3,5.6,11.1,.503,0.0,0.0,.000,.505,.503,2.5,4.9,.514,3.1,5.1,8.2,0.7,1.2,1.3,2.2,2.7,13.7
Michael Anderson,SAS,PG,22,36,12,20.3,2.0,4.9,.417,0.0,0.2,.143,.429,.420,1.6,2.3,.695,1.2,1.3,2.5,4.3,1.2,0.1,2.3,1.8,5.7
Richard Anderson,POR,PF,28,72,3,15.0,2.0,4.8,.417,0.7,2.0,.348,.464,.487,0.4,0.5,.842,0.9,2.3,3.2,1.4,0.6,0.2,0.8,1.4,5.2
Ron Anderson,PHI,SF,30,82,12,31.9,6.9,14.0,.491,0.0,0.1,.182,.494,.492,2.4,2.8,.856,2.0,2.9,5.0,1.7,0.9,0.3,1.5,2.0,16.2
Willie Anderson,SAS,SF,22,81,79,33.8,7.9,15.9,.498,0.0,0.3,.190,.503,.500,2.8,3.6,.775,1.9,3.3,5.1,4.6,1.9,0.8,3.2,3.6,18.6
John Bagley,NJN,PG,28,68,20,24.1,2.9,7.1,.416,0.2,0.8,.204,.443,.427,1.3,1.8,.724,0.5,1.6,2.1,5.8,1.1,0.1,2.3,1.7,7.4
Thurl Bailey,UTA,SF,27,82,3,33.9,7.5,15.5,.483,0.0,0.1,.400,.484,.484,4.4,5.4,.825,1.4,4.0,5.5,1.7,0.6,1.1,2.5,2.3,19.5
Greg Ballard,SEA,SF,34,2,0,7.5,0.5,4.0,.125,0.0,0.5,.000,.143,.125,2.0,2.0,1.000,1.0,2.5,3.5,0.0,0.0,0.0,0.0,1.5,3.0
Ken Bannister,LAC,PF,28,9,2,14.4,2.4,4.0,.611,0.0,0.1,.000,.629,.611,3.3,5.9,.566,0.7,3.0,3.7,0.3,0.8,0.2,0.9,1.9,8.2
Charles Barkley*,PHI,PF,25,79,79,39.1,8.9,15.3,.579,0.4,2.1,.216,.636,.594,7.6,10.1,.753,5.1,7.4,12.5,4.1,1.6,0.8,3.2,3.3,25.8
John Battle,ATL,SG,26,82,0,20.4,3.5,7.7,.457,0.1,0.4,.324,.465,.466,2.4,2.9,.815,0.4,1.3,1.7,2.4,0.5,0.1,1.3,1.5,9.5
Benoit Benjamin,LAC,C,24,79,62,32.7,6.2,11.5,.541,0.0,0.0,.000,.543,.541,4.0,5.4,.744,2.1,6.7,8.8,2.0,0.7,2.8,3.0,2.8,16.4
Ricky Berry,SAC,SG,24,64,21,22.0,4.0,8.9,.450,1.0,2.5,.406,.467,.507,2.0,2.6,.789,0.9,2.2,3.1,1.3,0.6,0.3,1.3,3.1,11.0
Walter Berry,TOT,PF,24,69,31,19.6,3.7,7.3,.507,0.0,0.0,.500,.507,.508,1.4,2.1,.699,1.2,2.6,3.9,1.1,0.4,0.7,1.3,2.7,8.8
