name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Kareem Abdul-Jabbar*,LAL,C,36,80,80,32.8,9.0,15.5,.578,0.0,0.0,.000,.579,.578,3.6,4.9,.723,2.1,5.2,7.3,2.6,0.7,1.8,2.8,2.6,21.5
Alvan Adams,PHO,C,29,70,13,20.7,3.8,8.3,.462,0.0,0.1,.000,.465,.462,1.9,2.3,.825,1.7,2.9,4.6,3.1,1.0,0.4,1.7,2.8,9.6
Mark Aguirre,DAL,SF,24,79,79,36.7,11.7,22.3,.524,0.2,0.7,.268,.532,.528,5.9,7.9,.749,2.0,3.9,5.9,4.5,1.0,0.3,3.6,3.1,29.5
Danny Ainge,BOS,SG,24,71,3,16.3,2.3,5.1,.460,0.1,0.3,.273,.472,.468,0.6,0.8,.821,0.4,1.2,1.6,2.3,0.6,0.1,1.0,2.0,5.4
J.J. Anderson,UTA,SF,23,48,0,6.5,1.1,2.7,.423,0.0,0.1,.000,.433,.423,0.3,0.6,.414,0.8,0.5,1.3,0.5,0.3,0.2,0.4,0.6,2.5
Richard Anderson,DEN,PF,23,78,17,17.7,3.5,8.2,.426,0.0,0.2,.158,.435,.429,1.5,1.9,.773,1.7,3.5,5.2,2.5,0.6,0.4,1.4,2.3,8.5
Tiny Archibald*,MIL,PG,35,46,46,22.6,3.0,6.1,.487,0.1,0.4,.222,.506,.495,1.4,2.2,.634,0.3,1.3,1.7,3.5,0.7,0.0,1.7,1.7,7.4
Ken Austin,DET,SF,22,7,0,4.0,0.9,1.9,.462,0.0,0.0,,.462,.462,0.0,0.0,,0.3,0.1,0.4,0.1,0.1,0.1,0.4,1.0,1.7
John Bagley,CLE,PG,23,76,19,22.5,3.4,8.0,.423,0.0,0.2,.118,.432,.425,2.1,2.6,.793,0.6,1.4,2.1,4.4,1.0,0.1,2.2,1.5,8.9
James Bailey,HOU,PF,26,73,0,16.1,3.5,7.1,.491,0.0,0.0,.000,.492,.491,1.9,2.6,.719,1.4,2.6,4.0,1.1,0.5,0.5,1.4,2.7,8.8
Thurl Bailey,UTA,PF,22,81,54,24.8,3.7,7.3,.512,0.0,0.0,,.512,.512,1.1,1.4,.752,1.4,4.3,5.7,1.6,0.5,1.5,1.3,2.4,8.5
Greg Ballard,WSB,SF,29,82,82,32.9,6.2,12.9,.481,0.0,0.2,.133,.486,.482,2.0,2.5,.798,1.7,4.2,6.0,3.5,1.1,0.4,1.7,2.6,14.5
Gene Banks,SAS,PF,24,80,66,32.5,5.3,9.3,.568,0.0,0.1,.167,.571,.568,2.5,3.4,.741,2.6,4.7,7.3,3.2,1.3,0.3,2.1,3.2,13.1
Dave Batton,SAS,C,27,4,0,7.8,1.3,2.5,.500,0.0,0.0,,.500,.500,0.0,0.0,,0.3,0.8,1.0,0.8,0.0,0.8,1.0,1.3,2.5
Kent Benson,DET,C,29,82,58,21.1,3.0,5.5,.550,0.0,0.0,.000,.551,.550,1.0,1.2,.822,1.4,3.6,5.0,1.6,0.9,0.6,1.0,2.8,7.1
Larry Bird*,BOS,PF,27,79,77,38.3,9.6,19.5,.492,0.2,0.9,.247,.504,.497,4.7,5.3,.888,2.3,7.8,10.1,6.6,1.8,0.9,3.0,2.5,24.2
Otis Birdsong,NJN,SG,28,69,57,31.4,8.4,16.6,.508,0.1,0.3,.250,.513,.510,2.8,4.6,.608,1.1,1.4,2.5,3.9,1.2,0.2,2.5,2.6,19.8
Rolando Blackman,DAL,SG,24,81,81,37.3,8.9,16.3,.546,0.0,0.1,.091,.550,.547,4.6,5.7,.812,1.5,3.1,4.6,3.6,0.7,0.5,2.1,1.6,22.4
