name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Tariq Abdul-Wahad,TOT,SG,25,61,56,25.9,4.5,10.6,.424,0.0,0.4,.130,.435,.426,2.4,3.2,.756,1.7,3.1,4.8,1.6,1.0,0.5,1.7,2.4,11.4
Shareef Abdur-Rahim,VAN,SF,23,82,82,39.3,7.2,15.6,.465,0.4,1.2,.302,.478,.477,5.4,6.7,.809,2.7,7.4,10.1,3.3,1.1,1.1,3.0,3.0,20.3
Cory Alexander,DEN,PG,26,29,2,11.3,1.0,3.4,.286,0.3,1.2,.257,.302,.332,0.6,0.8,.773,0.3,1.2,1.4,2.0,0.8,0.1,1.0,1.3,2.8
Ray Allen*,MIL,SG,24,82,82,37.4,7.8,17.2,.455,2.1,5.0,.423,.468,.516,4.3,4.9,.887,1.0,3.4,4.4,3.8,1.3,0.2,2.2,2.3,22.1
Rafer Alston,MIL,PG,23,27,0,13.4,1.0,3.5,.284,0.1,0.5,.214,.296,.300,0.1,0.1,.750,0.2,0.7,0.9,2.6,0.4,0.0,1.1,1.1,2.2
John Amaechi,ORL,C,29,80,53,21.1,3.8,8.8,.437,0.0,0.1,.167,.439,.438,2.8,3.6,.766,0.8,2.6,3.3,1.2,0.4,0.5,1.7,2.0,10.5
Derek Anderson,LAC,SG,25,64,58,34.4,5.9,13.4,.438,0.9,2.8,.309,.472,.470,4.2,4.8,.877,1.3,2.8,4.0,3.4,1.4,0.2,2.6,2.3,16.9
Kenny Anderson,BOS,PG,29,82,82,31.6,5.3,12.0,.440,1.0,2.7,.386,.456,.483,2.4,3.1,.775,0.7,2.1,2.7,5.1,1.7,0.1,1.6,2.8,14.0
Nick Anderson,SAC,SG,32,72,72,29.1,4.3,10.9,.391,1.8,5.5,.332,.452,.476,0.5,1.1,.487,1.2,3.6,4.7,1.7,1.3,0.2,1.3,1.6,10.8
Shandon Anderson,HOU,SF,26,82,82,32.9,4.5,9.5,.473,1.0,2.7,.351,.523,.524,2.4,3.1,.767,1.1,3.6,4.7,2.9,1.2,0.4,2.4,2.2,12.3
Chris Anstey,CHI,C,25,73,11,13.8,2.2,5.0,.442,0.0,0.1,.167,.447,.444,1.6,2.0,.789,1.2,2.6,3.8,0.9,0.4,0.3,1.1,2.5,6.0
Greg Anthony,POR,PG,32,82,3,18.9,2.1,5.1,.406,1.1,2.8,.378,.443,.512,1.1,1.4,.772,0.2,1.4,1.6,2.5,0.7,0.1,1.0,1.7,6.3
B.J. Armstrong,CHI,PG,32,27,18,21.6,3.1,6.9,.446,0.5,1.1,.448,.446,.481,0.8,0.9,.880,0.1,1.7,1.7,2.9,0.3,0.0,1.5,1.3,7.4
Darrell Armstrong,ORL,PG,31,82,82,31.6,5.9,13.6,.433,1.7,4.9,.340,.485,.494,2.7,3.0,.911,0.8,2.5,3.3,6.1,2.1,0.1,3.0,1.7,16.2
Chucky Atkins,ORL,PG,25,82,0,19.8,3.8,9.0,.424,0.7,2.0,.350,.445,.462,1.2,1.6,.729,0.2,1.3,1.5,3.7,0.6,0.0,1.7,1.7,9.5
Stacey Augmon,POR,SG,31,59,0,11.7,1.4,3.0,.474,0.0,0.0,.000,.480,.474,0.6,0.9,.673,0.7,1.3,2.0,0.9,0.5,0.2,0.6,1.2,3.4
Isaac Austin,WAS,C,30,59,23,19.9,2.6,6.0,.429,0.0,0.1,.250,.431,.430,1.6,2.3,.686,1.1,3.7,4.8,1.3,0.3,0.6,1.8,2.2,6.7
Anthony Avent,LAC,PF,30,49,3,7.7,0.6,2.0,.302,0.0,0.0,,.302,.302,0.5,0.7,.719,0.5,1.0,1.5,0.2,0.3,0.3,0.5,1.3,1.7
William Avery,MIN,PG,20,59,1,8.2,0.9,3.1,.309,0.3,1.1,.286,.322,.359,0.4,0.6,.667,0.1,0.5,0.7,1.5,0.2,0.0,0.7,1.0,2.6
Toby Bailey,PHO,SG,24,46,2,9.8,1.3,3.0,.414,0.0,0.2,.200,.431,.421,1.0,1.4,.692,0.6,1.0,1.6,0.7,0.3,0.1,0.5,1.2,3.5
Vin Baker,SEA,C,28,79,75,36.1,6.5,14.3,.455,0.0,0.1,.250,.457,.456,3.6,5.2,.682,2.9,4.8,7.7,1.9,0.6,0.8,2.7,3.6,16.6
Charles Barkley*,HOU,PF,36,20,18,31.0,5.3,11.1,.477,0.3,1.3,.231,.510,.491,3.6,5.5,.645,3.6,6.9,10.5,3.2,0.7,0.2,2.2,2.4,14.5
Dana Barros,BOS,PG,32,72,0,15.8,2.7,6.0,.451,0.8,2.0,.410,.471,.518,0.9,1.1,.868,0.2,1.2,1.4,1.8,0.4,0.1,0.9,1.1,7.2
Brent Barry,SEA,SG,28,80,74,34.1,4.1,8.8,.463,2.1,5.0,.411,.529,.579,1.6,2.0,.809,0.6,4.0,4.7,3.6,1.3,0.4,1.8,2.9,11.8
Drew Barry,TOT,PG,26,16,0,9.9,0.9,2.1,.455,0.4,1.1,.389,.533,.561,0.3,0.3,.800,0.0,0.8,0.8,2.1,0.1,0.0,0.8,1.4,2.6
Jon Barry,SAC,SG,30,62,1,20.7,2.6,5.6,.465,1.1,2.5,.429,.495,.561,1.7,1.9,.922,0.6,2.0,2.6,2.4,1.2,0.1,1.4,1.7,8.0
Tony Battie,BOS,C,23,82,4,18.4,2.7,5.6,.477,0.0,0.1,.125,.483,.478,1.2,1.8,.675,1.9,3.1,5.0,0.8,0.6,0.9,0.8,3.0,6.6
Jonathan Bender,IND,SF,19,24,1,5.4,1.0,2.9,.329,0.1,0.5,.167,.362,.343,0.7,1.0,.667,0.2,0.7,0.9,0.1,0.0,0.2,0.3,0.8,2.7
Benoit Benjamin,CLE,C,35,3,0,2.7,0.3,1.0,.333,0.0,0.0,,.333,.333,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.3,0.0,0.3,0.7
Corey Benjamin,CHI,SG,21,48,10,18.0,3.0,7.3,.414,0.6,1.9,.348,.437,.459,1.0,1.7,.598,0.4,1.4,1.8,1.1,0.6,0.5,1.5,2.5,7.7
Mario Bennett,LAC,PF,26,1,0,3.0,0.0,3.0,.000,0.0,0.0,,.000,.000,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
Travis Best,IND,PG,27,82,0,20.6,3.3,6.8,.483,0.4,1.1,.376,.504,.514,1.9,2.3,.821,0.2,1.5,1.7,3.3,0.9,0.1,1.3,2.5,8.9
Mike Bibby,VAN,PG,21,82,82,38.5,5.6,12.6,.445,0.9,2.6,.363,.466,.483,2.4,3.0,.780,0.9,2.8,3.7,8.1,1.6,0.2,3.0,2.1,14.5
Chauncey Billups,DEN,SG,23,13,5,23.5,2.6,7.8,.337,0.5,3.2,.171,.450,.371,2.8,3.4,.841,0.6,2.0,2.6,3.0,0.8,0.2,1.8,2.1,8.6
Mookie Blaylock,GSW,PG,32,73,72,33.7,4.5,11.5,.391,1.4,4.1,.336,.422,.451,0.9,1.3,.705,0.8,2.9,3.7,6.7,2.0,0.3,2.0,1.7,11.3
Corie Blount,PHO,PF,31,38,1,11.7,1.2,2.3,.494,0.0,0.1,.000,.506,.494,0.5,0.9,.576,1.4,1.6,3.0,0.3,0.4,0.2,0.7,2.1,2.8
Muggsy Bogues,TOR,PG,35,80,5,21.6,2.0,4.5,.439,0.2,0.6,.333,.456,.462,1.0,1.1,.908,0.3,1.4,1.7,3.7,0.8,0.1,0.7,1.5,5.1
Etdrick Bohannon,TOT,PF,26,13,0,9.1,0.5,1.0,.538,0.0,0.0,,.538,.538,1.2,1.8,.625,1.0,1.4,2.4,0.4,0.2,0.5,0.8,1.9,2.2
Calvin Booth,WAS,C,23,11,0,13.0,1.5,4.2,.348,0.0,0.0,,.348,.348,0.9,1.3,.714,1.4,1.5,2.9,0.6,0.3,1.3,0.5,2.1,3.8
Lazaro Borrell,SEA,SF,27,17,6,9.8,1.6,3.7,.444,0.0,0.2,.000,.467,.444,0.4,0.6,.545,0.8,1.5,2.4,0.6,0.4,0.2,0.4,0.5,3.6
Cal Bowdler,ATL,SF,22,46,0,9.2,1.1,2.5,.426,0.0,0.0,.000,.430,.426,0.5,0.8,.632,0.5,1.4,1.8,0.3,0.3,0.2,0.5,1.0,2.7
Bruce Bowen,TOT,SF,28,69,2,12.7,1.0,2.8,.371,0.4,0.8,.466,.331,.441,0.4,0.6,.581,0.4,1.0,1.4,0.5,0.3,0.2,0.3,1.7,2.8
Ryan Bowen,DEN,SF,24,52,0,11.3,0.9,2.3,.393,0.0,0.2,.111,.417,.397,0.7,1.0,.717,1.4,0.8,2.2,0.4,0.8,0.3,0.3,1.8,2.5
Ira Bowman,PHI,SG,26,11,0,1.8,0.2,0.2,1.000,0.0,0.0,,1.000,1.000,0.1,0.2,.500,0.0,0.2,0.2,0.1,0.1,0.0,0.1,0.0,0.5
Earl Boykins,TOT,PG,23,26,0,10.0,2.2,4.5,.483,0.3,0.8,.400,.500,.517,0.7,0.9,.783,0.5,0.5,1.0,1.8,0.5,0.0,0.7,0.9,5.3
Shawn Bradley,DAL,C,27,77,54,24.7,3.5,7.2,.479,0.0,0.1,.200,.482,.480,1.5,1.9,.765,2.1,4.4,6.5,0.8,0.9,2.5,1.0,3.4,8.4
