name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Precious Achiuwa,MIA,PF,21,61,4,12.1,2.0,3.7,.544,0.0,0.0,.000,.546,.544,0.9,1.8,.509,1.2,2.2,3.4,0.5,0.3,0.5,0.7,1.5,5.0
Jaylen Adams,MIL,PG,24,7,0,2.6,0.1,1.1,.125,0.0,0.3,.000,.167,.125,0.0,0.0,,0.0,0.4,0.4,0.3,0.0,0.0,0.0,0.1,0.3
Steven Adams,NOP,C,27,58,58,27.7,3.3,5.3,.614,0.0,0.1,.000,.620,.614,1.0,2.3,.444,3.7,5.2,8.9,1.9,0.9,0.7,1.3,1.9,7.6
Bam Adebayo,MIA,C,23,64,64,33.5,7.1,12.5,.570,0.0,0.1,.250,.573,.571,4.4,5.5,.799,2.2,6.7,9.0,5.4,1.2,1.0,2.6,2.3,18.7
LaMarcus Aldridge,TOT,C,35,26,23,25.9,5.4,11.4,.473,1.2,3.1,.388,.505,.525,1.6,1.8,.872,0.7,3.8,4.5,1.9,0.4,1.1,1.0,1.8,13.5
Ty-Shon Alexander,PHO,SG,22,15,0,3.1,0.2,0.8,.250,0.1,0.6,.222,.333,.333,0.1,0.1,.500,0.1,0.5,0.7,0.4,0.0,0.1,0.2,0.1,0.6
Nickeil Alexander-Walker,NOP,SG,22,46,13,21.9,4.2,10.0,.419,1.7,4.8,.347,.485,.502,1.0,1.4,.727,0.3,2.8,3.1,2.2,1.0,0.5,1.5,1.9,11.0
Grayson Allen,MEM,SG,25,50,38,25.2,3.5,8.3,.418,2.1,5.5,.391,.471,.547,1.6,1.8,.868,0.4,2.8,3.2,2.2,0.9,0.2,1.0,1.4,10.6
Jarrett Allen,TOT,C,22,63,45,29.6,4.7,7.7,.618,0.1,0.3,.316,.631,.624,3.2,4.6,.703,3.1,6.9,10.0,1.7,0.5,1.4,1.6,1.5,12.8
Al-Farouq Aminu,TOT,PF,30,23,14,18.9,1.7,4.3,.384,0.3,1.6,.216,.484,.424,0.8,1.0,.818,1.0,3.8,4.8,1.3,0.8,0.4,1.2,1.3,4.4
Kyle Anderson,MEM,PF,27,69,69,27.3,4.5,9.5,.468,1.4,3.8,.360,.539,.540,2.1,2.7,.783,0.8,5.0,5.7,3.6,1.2,0.8,1.2,1.7,12.4
Giannis Antetokounmpo,MIL,PF,26,61,61,33.0,10.3,18.0,.569,1.1,3.6,.303,.636,.600,6.5,9.5,.685,1.6,9.4,11.0,5.9,1.2,1.2,3.4,2.8,28.1
Kostas Antetokounmpo,LAL,PF,23,15,0,3.7,0.2,0.7,.300,0.0,0.0,,.300,.300,0.4,0.9,.462,0.3,1.0,1.3,0.1,0.1,0.3,0.7,0.5,0.8
Thanasis Antetokounmpo,MIL,SF,28,57,3,9.7,1.2,2.4,.489,0.1,0.5,.241,.556,.515,0.4,0.9,.510,0.9,1.2,2.2,0.8,0.4,0.2,0.8,1.3,2.9
Carmelo Anthony,POR,PF,36,69,3,24.5,4.7,11.3,.421,1.9,4.7,.409,.429,.506,2.0,2.2,.890,0.5,2.6,3.1,1.5,0.7,0.6,0.9,2.1,13.4
Cole Anthony,ORL,PG,20,47,34,27.1,4.7,11.7,.397,1.2,3.7,.337,.424,.449,2.3,2.8,.832,0.8,3.9,4.7,4.1,0.6,0.4,2.3,2.1,12.9
OG Anunoby,TOR,SF,23,43,43,33.3,5.8,12.1,.480,2.4,6.1,.398,.562,.580,1.9,2.4,.784,1.3,4.3,5.5,2.2,1.5,0.7,1.7,2.7,15.9
Ryan Arcidiacono,CHI,PG,26,44,0,10.2,1.1,2.7,.419,0.6,1.5,.373,.480,.526,0.3,0.5,.650,0.1,1.4,1.5,1.3,0.2,0.0,0.2,1.1,3.1
Trevor Ariza,MIA,SF,35,30,27,28.0,3.3,8.0,.411,1.7,4.8,.350,.500,.515,1.1,1.5,.773,0.9,3.9,4.8,1.8,1.0,0.6,0.7,1.8,9.4
D.J. Augustin,TOT,PG,33,57,12,19.8,2.4,6.0,.394,1.5,3.8,.382,.413,.515,1.5,1.6,.904,0.4,1.3,1.6,3.3,0.5,0.0,1.1,1.0,7.7
Deni Avdija,WAS,SF,20,54,32,23.3,2.4,5.8,.417,1.0,3.1,.315,.535,.502,0.5,0.8,.644,0.4,4.4,4.9,1.2,0.6,0.3,0.6,2.6,6.3
Deandre Ayton,PHO,C,22,69,69,30.7,6.2,10.0,.626,0.1,0.3,.200,.639,.629,1.9,2.5,.769,3.3,7.2,10.5,1.4,0.6,1.2,1.5,2.8,14.4
Udoka Azubuike,UTA,C,21,15,0,3.8,0.3,0.6,.444,0.0,0.0,,.444,.444,0.5,0.7,.800,0.3,0.6,0.9,0.0,0.1,0.3,0.2,0.6,1.1
Dwayne Bacon,ORL,SG,25,72,50,25.7,4.1,10.1,.402,0.8,2.9,.285,.449,.443,2.0,2.4,.824,0.4,2.7,3.1,1.3,0.6,0.1,0.6,1.4,10.9
Marvin Bagley III,SAC,PF,21,43,42,25.9,5.7,11.4,.504,0.9,2.5,.343,.550,.542,1.8,3.1,.575,2.5,4.9,7.4,1.0,0.5,0.5,1.4,2.3,14.1
LaMelo Ball,CHO,PG,19,51,31,28.8,5.7,13.2,.436,1.8,5.1,.352,.489,.504,2.5,3.2,.758,1.2,4.7,5.9,6.1,1.6,0.4,2.8,2.7,15.7
Lonzo Ball,NOP,PG,23,55,55,31.8,5.3,12.7,.414,3.1,8.3,.378,.482,.537,0.9,1.2,.781,0.6,4.2,4.8,5.7,1.5,0.6,2.2,1.9,14.6
Mo Bamba,ORL,C,22,46,5,15.8,3.1,6.5,.472,0.8,2.6,.322,.568,.535,1.0,1.4,.682,1.7,4.1,5.8,0.8,0.3,1.3,0.8,1.9,8.0
Desmond Bane,MEM,SG,22,68,17,22.3,3.4,7.3,.469,1.7,4.0,.432,.513,.586,0.6,0.7,.816,0.5,2.6,3.1,1.7,0.6,0.2,0.9,1.8,9.2
Harrison Barnes,SAC,PF,28,58,58,36.2,5.5,11.1,.497,1.7,4.4,.391,.567,.575,3.4,4.1,.830,1.1,5.5,6.6,3.5,0.7,0.2,1.6,1.3,16.1
RJ Barrett,NYK,SG,20,72,72,34.9,6.5,14.7,.441,1.7,4.3,.401,.457,.499,2.9,3.8,.746,0.9,4.8,5.8,3.0,0.7,0.3,1.9,2.6,17.6
Will Barton,DEN,SF,30,56,52,31.0,4.6,10.9,.426,1.8,4.6,.381,.459,.507,1.7,2.2,.785,0.7,3.3,4.0,3.2,0.9,0.4,1.7,1.7,12.7
Keita Bates-Diop,SAS,SF,25,30,0,8.2,1.0,2.2,.448,0.2,0.6,.294,.500,.485,0.5,0.7,.667,0.3,1.3,1.6,0.4,0.4,0.2,0.2,0.4,2.6
Nicolas Batum,LAC,SF,32,67,38,27.4,2.9,6.1,.464,1.6,4.1,.404,.579,.597,0.7,0.9,.828,0.7,4.0,4.7,2.2,1.0,0.6,0.8,1.5,8.1
Aron Baynes,TOR,C,34,53,31,18.5,2.5,5.7,.441,0.5,1.9,.262,.532,.485,0.5,0.8,.707,1.6,3.5,5.2,0.9,0.3,0.4,0.9,2.2,6.1
Kent Bazemore,GSW,SF,31,67,18,19.9,2.6,5.9,.449,1.1,2.7,.408,.486,.545,0.8,1.2,.692,0.4,3.0,3.4,1.6,1.0,0.5,1.2,2.4,7.2
Darius Bazley,OKC,PF,20,55,55,31.2,5.0,12.5,.396,1.5,5.2,.290,.470,.456,2.3,3.2,.702,0.9,6.3,7.2,1.8,0.5,0.5,2.2,1.1,13.7
Bradley Beal,WAS,SG,27,60,60,35.8,11.2,23.0,.485,2.2,6.2,.349,.535,.532,6.8,7.7,.889,1.2,3.5,4.7,4.4,1.2,0.4,3.1,2.3,31.3
Malik Beasley,MIN,SG,24,37,36,32.8,7.1,16.2,.440,3.5,8.7,.399,.487,.547,1.8,2.2,.850,0.8,3.6,4.4,2.4,0.8,0.2,1.6,1.7,19.6
Jordan Bell,TOT,C,26,6,1,13.7,1.2,3.7,.318,0.0,0.3,.000,.350,.318,0.2,0.3,.500,1.2,2.8,4.0,1.2,0.5,0.8,0.7,1.2,2.5
DeAndre' Bembry,TOR,SF,26,51,12,19.1,2.3,4.5,.513,0.3,1.0,.264,.589,.544,0.9,1.3,.682,0.6,2.2,2.9,2.1,1.0,0.4,1.4,1.7,5.7
Dāvis Bertāns,WAS,PF,28,57,7,25.7,3.4,8.4,.404,3.0,7.5,.395,.480,.581,1.8,2.0,.870,0.3,2.6,2.9,0.9,0.6,0.2,0.6,2.4,11.5
Patrick Beverley,LAC,PG,32,37,34,22.5,2.5,5.9,.423,1.5,3.8,.397,.468,.550,1.0,1.2,.800,0.8,2.4,3.2,2.1,0.8,0.8,0.9,2.9,7.5
Saddiq Bey,DET,SF,21,70,53,27.3,4.0,9.9,.404,2.5,6.6,.380,.450,.530,1.8,2.1,.844,0.6,3.9,4.5,1.4,0.7,0.2,0.9,1.6,12.2
Tyler Bey,DAL,SF,22,18,0,3.9,0.4,1.2,.318,0.1,0.2,.250,.333,.341,0.2,0.3,.600,0.4,0.6,1.1,0.2,0.0,0.1,0.2,0.3,1.0
Khem Birch,TOT,C,28,67,22,22.8,2.8,5.7,.497,0.2,0.8,.250,.537,.514,1.4,1.9,.705,2.6,3.2,5.8,1.3,0.7,0.7,0.7,1.7,7.2
Goga Bitadze,IND,C,21,45,3,12.5,1.8,4.3,.428,0.4,1.8,.253,.548,.479,1.0,1.4,.738,1.3,2.0,3.3,0.8,0.2,1.3,0.4,2.1,5.1
Bismack Biyombo,CHO,C,28,66,36,20.4,2.2,3.7,.587,0.0,0.0,.000,.589,.587,0.7,1.6,.448,2.1,3.2,5.3,1.2,0.3,1.1,1.1,2.1,5.0
Nemanja Bjelica,TOT,PF,32,37,3,16.1,2.4,5.3,.454,0.7,2.3,.318,.559,.523,1.0,1.4,.725,0.8,2.6,3.4,1.9,0.4,0.1,0.9,1.8,6.5
Eric Bledsoe,NOP,SG,31,71,70,29.7,4.3,10.3,.421,1.7,5.0,.341,.496,.503,1.9,2.7,.687,0.4,3.0,3.4,3.8,0.8,0.3,1.6,1.6,12.2
Keljin Blevins,POR,SF,25,17,0,4.4,0.3,1.2,.250,0.1,0.5,.250,.250,.300,0.0,0.0,,0.2,0.4,0.6,0.2,0.1,0.0,0.3,0.5,0.7
Bogdan Bogdanović,ATL,SG,28,44,27,29.7,6.1,12.8,.473,3.3,7.6,.438,.522,.602,0.9,1.0,.909,0.5,3.2,3.6,3.3,1.1,0.3,1.2,2.3,16.4
Bojan Bogdanović,UTA,SF,31,72,72,30.8,5.6,12.8,.439,2.5,6.4,.390,.487,.536,3.2,3.7,.879,0.6,3.3,3.9,1.9,0.6,0.1,1.8,1.6,17.0
Bol Bol,DEN,PF,21,32,2,5.0,0.8,1.8,.431,0.3,0.8,.375,.471,.509,0.3,0.5,.667,0.0,0.8,0.8,0.2,0.1,0.3,0.4,0.4,2.2
Marques Bolden,CLE,C,22,6,0,4.8,0.2,0.5,.333,0.0,0.0,,.333,.333,0.8,1.3,.625,0.5,0.5,1.0,0.0,0.3,0.3,0.3,0.0,1.2
Jordan Bone,ORL,PG,23,14,0,14.0,1.6,3.9,.426,0.7,2.3,.313,.591,.519,0.0,0.0,,0.3,1.4,1.7,1.3,0.1,0.0,0.2,0.8,4.0
Isaac Bonga,WAS,SF,21,40,8,10.8,0.8,2.0,.370,0.3,1.2,.277,.500,.451,0.1,0.2,.625,0.5,1.2,1.7,0.6,0.3,0.2,0.6,1.6,2.0
Devin Booker,PHO,SG,24,67,67,33.9,9.3,19.2,.484,1.9,5.5,.340,.543,.533,5.1,5.9,.867,0.5,3.7,4.2,4.3,0.8,0.2,3.1,2.7,25.6
Chris Boucher,TOR,C,28,60,14,24.2,4.8,9.3,.514,1.5,3.9,.383,.609,.595,2.5,3.2,.788,2.0,4.8,6.7,1.1,0.6,1.9,0.8,2.8,13.6
Brian Bowen,IND,SF,22,6,0,2.5,0.2,0.7,.250,0.0,0.2,.000,.333,.250,0.2,0.2,1.000,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.2,0.5
Avery Bradley,TOT,SG,30,27,6,22.3,2.4,6.3,.374,1.2,3.7,.327,.443,.471,0.4,0.6,.800,0.3,1.8,2.1,1.7,0.8,0.1,1.0,2.0,6.4
Tony Bradley,TOT,C,23,42,8,16.3,3.1,4.7,.665,0.0,0.1,.000,.675,.665,0.9,1.3,.691,2.0,3.7,5.7,0.9,0.4,0.7,0.8,1.5,7.1
Jarrell Brantley,UTA,PF,24,28,0,4.9,0.9,1.9,.481,0.4,1.0,.429,.542,.596,0.1,0.1,1.000,0.3,0.6,1.0,0.5,0.3,0.1,0.3,0.6,2.3
Ignas Brazdeikis,TOT,SF,22,13,0,19.2,2.7,6.4,.422,0.8,2.2,.393,.436,.488,0.8,1.1,.714,0.8,2.6,3.5,1.3,0.3,0.2,0.9,1.7,7.0
Mikal Bridges,PHO,SF,24,72,72,32.6,5.0,9.3,.543,1.9,4.4,.425,.647,.643,1.5,1.8,.840,1.1,3.2,4.3,2.1,1.1,0.9,0.8,1.6,13.5
Miles Bridges,CHO,PF,22,66,19,29.3,4.7,9.4,.503,1.8,4.4,.400,.593,.596,1.5,1.7,.867,1.2,4.8,6.0,2.2,0.7,0.8,1.6,2.2,12.7
Amida Brimah,IND,C,26,5,0,5.8,1.0,1.6,.625,0.0,0.0,,.625,.625,0.6,0.6,1.000,0.4,1.2,1.6,0.2,0.0,1.0,0.8,0.8,2.6
Oshae Brissett,IND,SF,22,21,16,24.7,3.5,7.2,.483,1.6,3.7,.423,.548,.593,2.4,3.1,.769,1.4,4.1,5.5,0.9,0.9,1.0,0.5,1.5,10.9
Malcolm Brogdon,IND,PG,28,56,56,34.5,7.9,17.5,.453,2.6,6.7,.388,.493,.527,2.7,3.2,.864,1.0,4.2,5.3,5.9,0.9,0.3,2.1,2.0,21.2
Armoni Brooks,HOU,SG,22,20,5,26.0,3.9,9.6,.406,3.0,7.9,.382,.514,.563,0.4,0.6,.583,0.5,2.9,3.4,1.5,0.6,0.3,1.1,1.7,11.2
Dillon Brooks,MEM,SF,25,67,67,29.8,6.4,15.4,.419,1.9,5.6,.344,.461,.481,2.4,2.9,.815,0.8,2.1,2.9,2.3,1.2,0.4,1.8,3.5,17.2
Bruce Brown,BRK,PG,24,65,37,22.3,3.6,6.5,.556,0.3,0.9,.288,.599,.576,1.3,1.8,.735,1.7,3.7,5.4,1.6,0.9,0.4,0.8,2.2,8.8
Charlie Brown,OKC,SG,23,9,1,16.9,1.4,4.8,.302,0.6,2.3,.238,.364,.360,1.0,1.1,.900,0.3,1.6,1.9,1.0,0.4,0.2,0.7,2.1,4.4
Jaylen Brown,BOS,SG,24,58,58,34.5,9.3,19.2,.484,2.8,7.1,.397,.536,.558,3.3,4.3,.764,1.2,4.8,6.0,3.4,1.2,0.6,2.7,2.9,24.7
Moses Brown,OKC,C,21,43,32,21.4,3.4,6.2,.545,0.0,0.0,,.545,.545,1.8,2.9,.619,3.6,5.3,8.9,0.2,0.7,1.1,1.0,2.2,8.6
Sterling Brown,HOU,SG,25,51,14,24.1,2.9,6.6,.448,1.8,4.2,.423,.492,.584,0.5,0.6,.806,0.7,3.6,4.4,1.4,0.7,0.2,0.8,1.9,8.2
Troy Brown Jr.,TOT,SF,21,34,0,15.4,1.8,4.2,.431,0.6,2.1,.314,.541,.507,0.4,0.6,.714,0.6,2.5,3.1,0.9,0.3,0.2,0.6,1.4,4.7
Jalen Brunson,DAL,PG,24,68,12,25.0,4.8,9.2,.523,1.2,2.9,.405,.578,.588,1.8,2.2,.795,0.4,3.0,3.4,3.5,0.5,0.0,1.2,1.6,12.6
Elijah Bryant,MIL,SG,25,1,0,32.0,6.0,13.0,.462,1.0,5.0,.200,.625,.500,3.0,3.0,1.000,2.0,4.0,6.0,3.0,0.0,1.0,4.0,4.0,16.0
Thomas Bryant,WAS,C,23,10,10,27.1,5.9,9.1,.648,0.9,2.1,.429,.714,.698,1.6,2.4,.667,1.8,4.3,6.1,1.5,0.4,0.8,1.1,3.1,14.3
Reggie Bullock,NYK,SF,29,65,64,30.0,3.8,8.6,.442,2.5,6.1,.410,.521,.587,0.8,0.8,.909,0.2,3.2,3.4,1.5,0.8,0.2,0.7,2.2,10.9
Trey Burke,DAL,PG,28,62,1,14.7,2.4,5.7,.428,0.9,2.6,.354,.492,.510,0.8,0.9,.895,0.2,0.7,0.9,1.3,0.6,0.1,0.5,1.0,6.6
Alec Burks,NYK,SG,29,49,5,25.6,4.3,10.2,.420,2.1,5.0,.415,.425,.522,2.1,2.4,.856,0.4,4.2,4.6,2.2,0.6,0.3,1.0,2.1,12.7
Jimmy Butler,MIA,SF,31,52,52,33.6,7.0,14.2,.497,0.5,2.0,.245,.538,.514,6.9,8.0,.863,1.8,5.1,6.9,7.1,2.1,0.3,2.1,1.4,21.5
Bruno Caboclo,HOU,PF,25,6,0,6.0,1.3,2.8,.471,0.0,0.8,.000,.667,.471,0.2,0.3,.500,0.5,1.8,2.3,0.2,0.0,0.3,0.7,1.0,2.8
