name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Tariq Abdul-Wahad,SAC,SG,24,49,49,24.6,3.6,8.3,.435,0.1,0.4,.286,.443,.442,1.9,2.8,.691,1.5,2.3,3.8,1.0,1.0,0.3,1.4,2.5,9.3
Shareef Abdur-Rahim,VAN,SF,22,50,50,40.4,7.7,17.9,.432,0.2,0.7,.306,.438,.438,7.4,8.8,.841,2.3,5.2,7.5,3.4,1.4,1.1,3.7,2.7,23.0
Cory Alexander,DEN,PG,25,36,4,21.6,2.7,7.2,.373,0.8,2.9,.286,.432,.431,1.0,1.2,.841,0.2,1.9,2.1,3.3,1.0,0.1,1.9,2.1,7.3
Ray Allen*,MIL,SG,23,50,50,34.4,6.1,13.5,.450,1.5,4.2,.356,.492,.505,3.5,3.9,.903,1.1,3.1,4.2,3.6,1.1,0.1,2.4,2.3,17.1
Peter Aluma,SAC,C,25,2,0,2.5,0.5,1.0,.500,0.0,0.0,,.500,.500,0.0,0.0,,0.5,0.5,1.0,0.0,0.5,0.5,1.0,2.0,1.0
Derek Anderson,CLE,SG,24,38,13,25.7,3.3,8.3,.398,0.6,1.8,.304,.424,.432,3.6,4.3,.836,0.5,2.3,2.9,3.8,1.3,0.1,2.2,1.9,10.8
Kenny Anderson,BOS,PG,28,34,33,29.7,4.7,10.5,.451,0.2,0.7,.250,.465,.459,2.5,3.0,.832,0.7,2.3,3.0,5.7,1.0,0.1,2.1,2.3,12.1
Nick Anderson,ORL,SF,31,47,39,33.6,5.4,13.6,.395,2.0,5.9,.347,.433,.470,2.1,3.4,.611,1.1,4.8,5.9,1.9,1.4,0.3,1.8,1.5,14.9
Shandon Anderson,UTA,SG,25,50,2,21.4,3.2,7.3,.446,0.3,0.8,.341,.460,.466,1.8,2.5,.712,1.0,1.7,2.6,1.1,0.8,0.2,1.3,1.8,8.5
Chris Anstey,DAL,C,24,41,4,11.5,1.2,3.4,.360,0.0,0.2,.000,.379,.360,0.8,1.2,.708,0.9,1.5,2.4,0.7,0.4,0.3,0.6,2.4,3.3
Greg Anthony,POR,PG,31,50,0,16.1,2.1,5.0,.414,1.0,2.5,.392,.437,.512,1.2,1.8,.697,0.3,1.0,1.3,2.0,1.3,0.1,1.1,1.5,6.4
B.J. Armstrong,TOT,PG,31,32,1,11.2,1.3,2.8,.455,0.2,0.5,.467,.452,.494,0.6,0.7,.857,0.1,1.2,1.2,1.9,0.4,0.0,0.8,1.0,3.3
Darrell Armstrong,ORL,PG,30,50,15,30.0,4.6,10.4,.441,1.4,3.8,.365,.483,.507,3.2,3.6,.904,1.1,2.5,3.6,6.7,2.2,0.1,3.2,1.8,13.8
Keith Askins,MIA,SF,31,33,13,12.6,0.6,1.9,.323,0.2,0.9,.276,.364,.387,0.2,0.2,.625,0.3,1.0,1.3,0.3,0.5,0.1,0.4,1.8,1.6
Stacey Augmon,POR,SF,30,48,21,18.2,1.6,3.6,.448,0.0,0.0,.000,.453,.448,1.1,1.6,.684,1.0,1.6,2.6,1.2,1.2,0.4,0.6,1.7,4.3
Isaac Austin,ORL,C,29,49,49,25.7,3.8,9.2,.408,0.0,0.1,.286,.410,.411,2.1,3.2,.669,1.7,3.1,4.8,1.8,1.0,0.7,2.3,2.6,9.7
Anthony Avent,UTA,PF,29,5,0,8.8,0.8,2.6,.308,0.0,0.0,,.308,.308,0.2,0.4,.500,1.6,0.8,2.4,0.2,0.4,0.0,1.4,1.2,1.8
Thurl Bailey,UTA,PF,37,43,0,12.6,1.8,4.1,.446,0.0,0.0,.000,.451,.446,0.6,0.8,.735,0.8,1.3,2.2,0.6,0.2,0.7,0.6,1.8,4.2
Toby Bailey,PHO,SG,23,27,10,9.2,1.3,3.2,.395,0.0,0.2,.200,.407,.401,0.3,0.5,.692,0.9,1.1,2.0,0.5,0.3,0.1,0.4,0.9,2.9
Mark Baker,TOR,PG,29,1,0,2.0,0.0,1.0,.000,0.0,0.0,,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Vin Baker,SEA,PF,27,34,31,34.2,5.8,12.9,.453,0.0,0.1,.000,.456,.453,2.1,4.7,.450,2.5,3.7,6.2,1.6,0.9,1.0,2.2,3.6,13.8
Charles Barkley*,HOU,PF,35,42,40,36.3,5.7,12.0,.478,0.1,0.6,.160,.495,.482,4.6,6.4,.719,4.0,8.3,12.3,4.6,1.0,0.3,2.4,2.1,16.1
Dana Barros,BOS,PG,31,50,16,23.1,3.4,7.4,.453,1.3,3.2,.400,.493,.539,1.3,1.5,.877,0.3,1.8,2.1,4.2,1.0,0.1,1.8,1.3,9.3
Brent Barry,CHI,SG,27,37,30,31.9,3.8,9.6,.396,1.4,4.6,.302,.484,.469,2.1,2.7,.772,1.1,2.8,3.9,3.1,1.1,0.3,1.9,2.6,11.1
Drew Barry,SEA,SG,25,17,0,10.8,0.6,1.9,.313,0.5,1.4,.333,.250,.438,0.5,0.8,.692,0.2,1.0,1.2,1.7,0.4,0.1,0.7,1.4,2.2
Jon Barry,SAC,SG,29,43,0,17.1,1.4,3.2,.428,0.6,1.8,.304,.593,.514,1.7,2.0,.845,0.6,1.7,2.2,2.6,1.2,0.1,1.1,1.4,5.0
Tony Battie,BOS,C,22,50,15,22.4,2.9,5.7,.519,0.0,0.1,.000,.525,.519,0.8,1.2,.672,1.9,4.1,6.0,1.1,0.6,1.4,0.9,3.2,6.7
Corey Beck,TOT,PG,27,24,0,7.5,0.8,1.6,.462,0.0,0.0,1.000,.447,.474,0.3,0.6,.533,0.3,0.9,1.2,0.8,0.4,0.1,0.5,1.1,1.9
Benoit Benjamin,PHI,C,34,6,0,5.5,0.3,1.2,.286,0.0,0.0,,.286,.286,0.0,0.0,,0.5,0.8,1.3,0.2,0.0,0.0,0.5,1.0,0.7
Corey Benjamin,CHI,PG,20,31,1,10.3,1.4,3.8,.376,0.1,0.5,.214,.398,.389,0.9,1.3,.675,0.5,0.8,1.3,0.3,0.4,0.3,0.7,1.5,3.8
Mario Bennett,CHI,PF,25,3,0,6.3,0.7,2.0,.333,0.0,0.0,,.333,.333,1.0,1.3,.750,0.7,1.0,1.7,0.0,0.3,0.0,0.3,1.3,2.3
Travis Best,IND,PG,26,49,0,21.3,2.6,6.2,.416,0.4,1.2,.373,.427,.452,1.4,1.7,.843,0.4,1.2,1.6,3.4,0.9,0.1,1.3,2.3,7.1
Mike Bibby,VAN,PG,20,50,50,35.2,5.2,12.1,.430,0.3,1.5,.203,.461,.442,2.5,3.4,.751,0.6,2.1,2.7,6.5,1.6,0.1,2.9,2.4,13.2
Chauncey Billups,DEN,SG,22,45,41,33.1,4.2,11.0,.386,1.9,5.2,.362,.408,.472,3.5,3.8,.913,0.5,1.6,2.1,3.8,1.3,0.3,2.2,2.6,13.9
Mookie Blaylock,ATL,PG,31,48,48,36.7,5.1,13.6,.379,1.6,5.2,.307,.425,.439,1.4,1.9,.758,0.9,3.7,4.7,5.8,2.1,0.2,2.4,1.3,13.3
Corie Blount,TOT,PF,30,34,3,15.6,1.1,2.9,.360,0.0,0.0,.000,.364,.360,0.8,1.6,.519,1.7,2.7,4.4,0.4,0.6,0.5,0.6,2.2,2.9
Muggsy Bogues,GSW,PG,34,36,5,19.8,2.1,4.3,.494,0.0,0.2,.000,.514,.494,0.9,1.0,.861,0.4,1.6,2.0,3.7,1.2,0.0,1.3,1.2,5.1
Etdrick Bohannon,WAS,SF,25,2,0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keith Booth,CHI,SF,24,39,4,11.1,1.3,3.9,.325,0.0,0.3,.100,.340,.328,0.5,1.1,.500,0.6,1.7,2.4,1.0,0.6,0.3,1.0,1.5,3.1
Bruce Bowen,BOS,SF,27,30,1,16.5,0.9,3.1,.280,0.2,0.9,.269,.284,.317,0.4,0.8,.458,0.5,1.2,1.7,0.9,0.7,0.3,0.4,1.7,2.3
Earl Boykins,TOT,PG,22,22,0,10.0,1.4,3.6,.380,0.1,0.8,.167,.443,.399,0.1,0.1,.667,0.3,0.5,0.8,1.5,0.3,0.0,0.9,0.9,3.0
Shawn Bradley,DAL,C,26,49,33,26.4,3.4,7.1,.480,0.0,0.1,.000,.485,.480,1.8,2.3,.748,2.7,5.3,8.0,0.8,0.7,3.2,1.1,3.1,8.6
Terrell Brandon,TOT,PG,28,36,34,33.8,5.9,14.1,.418,0.3,1.3,.255,.435,.430,1.8,2.2,.833,0.8,3.0,3.7,8.6,1.8,0.3,2.1,2.3,13.9
Chucky Brown,CHH,PF,30,48,21,24.8,3.7,7.8,.472,0.3,0.8,.375,.483,.492,0.8,1.2,.678,0.8,2.9,3.6,1.2,0.3,0.4,0.8,2.2,8.5
Dee Brown,TOR,PG,30,49,0,28.1,3.8,10.1,.378,2.8,7.1,.387,.356,.514,0.8,1.1,.727,0.3,1.8,2.1,2.9,1.1,0.2,1.6,1.5,11.2
Gerald Brown,PHO,SG,23,33,0,7.2,1.0,2.7,.371,0.1,0.3,.300,.380,.388,0.3,0.4,.786,0.2,0.5,0.7,0.9,0.2,0.0,0.7,0.6,2.4
P.J. Brown,MIA,PF,29,50,50,32.2,4.6,9.5,.480,0.0,0.0,,.480,.480,2.3,2.9,.774,2.3,4.6,6.9,1.3,0.9,1.0,1.4,3.3,11.4
Randy Brown,CHI,PG,30,39,32,29.2,3.4,8.2,.414,0.0,0.3,.000,.427,.414,2.0,2.6,.757,0.7,2.7,3.4,3.8,1.7,0.2,2.1,2.4,8.8
Rick Brunson,NYK,PG,26,17,0,5.6,0.4,1.2,.286,0.0,0.3,.000,.375,.286,0.3,1.1,.278,0.2,0.4,0.6,1.1,0.5,0.0,0.7,0.5,1.0
Kobe Bryant*,LAL,SG,20,50,50,37.9,7.2,15.6,.465,0.5,2.0,.267,.494,.482,4.9,5.8,.839,1.1,4.2,5.3,3.8,1.4,1.0,3.1,3.1,19.9
Mark Bryant,CHI,PF,33,45,29,26.8,3.7,7.7,.483,0.0,0.0,.000,.484,.483,1.6,2.4,.645,2.0,3.1,5.2,1.1,0.8,0.4,1.5,3.3,9.0
Jud Buechler,DET,SF,30,50,0,21.1,2.0,4.8,.417,1.2,3.0,.412,.424,.544,0.3,0.4,.722,0.6,2.1,2.7,1.1,0.7,0.3,0.4,1.7,5.5
Matt Bullard,HOU,PF,31,41,0,10.1,1.0,2.8,.377,0.6,1.5,.387,.365,.482,0.2,0.2,.700,0.2,0.8,1.0,0.4,0.3,0.1,0.3,0.7,2.9
Scott Burrell,NJN,SF,28,32,10,22.1,2.3,6.5,.361,0.9,2.3,.389,.346,.428,1.1,1.3,.810,1.0,2.7,3.7,1.4,1.3,0.3,0.7,2.6,6.6
Willie Burton,CHH,SF,30,3,0,6.0,0.3,2.3,.143,0.0,0.3,.000,.167,.143,0.7,1.3,.500,1.3,0.7,2.0,0.0,0.0,0.0,0.3,0.7,1.3
Mitchell Butler,CLE,SG,28,31,1,13.5,2.2,4.5,.482,0.4,0.9,.379,.509,.522,0.7,1.0,.719,0.4,1.0,1.4,0.7,0.5,0.1,0.9,1.3,5.4
Jason Caffey,GSW,PF,25,35,32,25.0,3.5,7.9,.444,0.0,0.0,.000,.446,.444,1.8,2.8,.633,2.3,3.6,5.9,0.5,0.7,0.3,2.1,3.2,8.8
Marcus Camby,NYK,C,24,46,0,20.5,3.0,5.7,.521,0.0,0.0,,.521,.521,1.2,2.2,.553,2.2,3.3,5.5,0.3,0.6,1.6,0.8,2.8,7.2
Elden Campbell,TOT,C,30,49,33,29.8,4.5,9.5,.477,0.0,0.0,.000,.478,.477,3.5,5.5,.639,2.6,5.5,8.1,1.4,0.8,1.5,1.6,3.2,12.6
Antoine Carr,HOU,PF,37,18,0,8.4,1.2,2.9,.404,0.0,0.1,.000,.412,.404,0.3,0.4,.714,0.5,1.2,1.7,0.5,0.1,0.6,0.5,1.7,2.6
Chris Carr,TOT,SG,24,39,4,11.4,1.9,5.3,.371,0.7,1.9,.373,.369,.439,0.7,1.0,.675,0.6,1.2,1.8,0.6,0.2,0.1,0.7,1.2,5.3
