name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Mark Acres,ORL,C,27,80,50,21.1,1.7,3.6,.484,0.0,0.1,.750,.480,.489,1.0,1.5,.692,1.9,3.5,5.4,0.8,0.5,0.3,0.9,3.1,4.5
Michael Adams,DEN,PG,27,79,74,34.1,5.0,12.5,.402,2.0,5.5,.366,.431,.482,3.4,4.0,.850,0.6,2.2,2.8,6.3,1.5,0.0,1.8,1.7,15.5
Mark Aguirre,DET,SF,30,78,40,25.7,5.6,11.5,.488,0.4,1.2,.333,.506,.505,2.5,3.3,.756,1.5,2.4,3.9,1.9,0.4,0.2,1.6,2.6,14.1
Danny Ainge,SAC,PG,30,75,68,36.4,6.7,15.4,.438,1.4,3.9,.374,.460,.485,3.0,3.6,.831,0.9,3.4,4.3,6.0,1.5,0.2,2.5,3.2,17.9
Mark Alarie,WSB,PF,26,82,10,23.1,4.5,9.6,.473,0.1,0.6,.204,.490,.479,1.3,1.6,.812,1.8,2.7,4.6,1.7,0.7,0.5,1.2,2.7,10.5
Steve Alford,DAL,PG,25,41,0,7.4,1.5,3.4,.457,0.2,0.5,.318,.483,.482,0.9,0.9,.946,0.0,0.6,0.6,1.0,0.4,0.1,0.4,0.5,4.1
Randy Allen,SAC,SG,25,63,6,11.8,1.7,3.8,.444,0.0,0.1,.000,.457,.444,0.4,0.7,.535,0.8,1.4,2.2,0.4,0.3,0.3,0.4,1.6,3.7
Greg Anderson,MIL,PF,25,60,28,21.5,3.7,7.2,.507,0.0,0.0,,.507,.507,1.5,2.8,.535,1.9,4.4,6.2,0.4,0.5,0.9,1.3,2.9,8.8
Nick Anderson,ORL,SG,22,81,9,22.0,4.6,9.3,.494,0.0,0.2,.059,.504,.495,2.3,3.3,.705,1.3,2.6,3.9,1.5,0.9,0.4,1.7,1.7,11.5
Richard Anderson,CHH,PF,29,54,2,11.2,1.6,3.9,.417,0.7,1.9,.370,.459,.505,0.3,0.4,.783,0.6,1.7,2.4,1.0,0.4,0.2,0.5,1.2,4.3
Ron Anderson,PHI,SF,31,78,3,26.8,4.9,10.8,.451,0.0,0.3,.143,.459,.452,2.1,2.5,.838,1.0,2.7,3.8,1.8,0.9,0.2,1.0,1.8,11.9
Willie Anderson,SAS,SG,23,82,81,34.0,6.5,13.2,.492,0.1,0.3,.269,.497,.495,2.6,3.5,.748,1.4,3.1,4.5,4.4,1.4,0.7,2.4,3.1,15.7
Michael Ansley,ORL,SF,22,72,5,17.0,3.2,6.5,.497,0.0,0.0,,.497,.497,2.3,3.2,.722,2.6,2.4,5.0,0.6,0.3,0.2,0.7,2.1,8.7
B.J. Armstrong,CHI,PG,22,81,0,15.9,2.3,4.8,.485,0.0,0.1,.500,.484,.489,0.9,1.0,.885,0.2,1.0,1.3,2.5,0.6,0.1,1.0,1.3,5.6
John Bagley,BOS,PG,29,54,17,20.3,1.9,4.0,.459,0.0,0.3,.056,.495,.461,0.5,0.7,.744,0.5,1.2,1.6,5.5,0.7,0.1,1.7,1.4,4.3
