name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Shareef Abdur-Rahim,SAC,PF,29,72,30,27.2,4.6,8.8,.525,0.1,0.3,.227,.536,.529,3.0,3.9,.784,1.5,3.5,5.0,2.1,0.7,0.6,1.5,3.2,12.3
Alex Acker,DET,SG,23,5,0,7.0,0.8,3.2,.250,0.2,1.0,.200,.273,.281,0.0,0.0,,0.2,0.8,1.0,0.8,0.2,0.0,0.8,0.8,1.8
Malik Allen,CHI,PF,27,54,20,13.0,2.2,4.6,.490,0.0,0.0,1.000,.488,.492,0.4,0.7,.605,0.8,1.8,2.6,0.4,0.3,0.3,0.6,1.7,4.9
Ray Allen*,SEA,SG,30,78,78,38.7,8.7,19.2,.454,3.4,8.4,.412,.486,.544,4.2,4.6,.903,0.9,3.3,4.3,3.7,1.3,0.2,2.4,1.9,25.1
Tony Allen,BOS,PG,24,51,9,19.2,2.5,5.4,.471,0.2,0.7,.324,.492,.491,2.0,2.6,.746,0.6,1.5,2.2,1.3,1.0,0.4,1.3,2.5,7.2
Rafer Alston,HOU,PG,29,63,63,38.6,4.4,11.7,.379,1.6,5.0,.327,.418,.449,1.6,2.3,.692,0.6,3.5,4.0,6.7,1.6,0.2,2.5,3.1,12.1
Chris Andersen,NOK,C,27,32,2,17.8,1.8,3.1,.571,0.0,0.0,,.571,.571,1.5,3.2,.476,1.9,2.9,4.8,0.2,0.3,1.3,0.8,2.6,5.0
Alan Anderson,CHA,SF,23,36,7,15.7,2.1,5.0,.414,0.7,1.6,.414,.415,.481,0.9,1.1,.805,0.6,1.3,1.9,0.9,0.3,0.1,0.9,1.3,5.8
Derek Anderson,TOT,SG,31,43,11,24.3,2.5,7.0,.356,0.9,3.1,.299,.402,.422,2.2,2.6,.838,0.5,2.8,3.3,2.3,0.5,0.1,1.3,2.3,8.1
Shandon Anderson,MIA,SF,32,48,1,13.3,1.1,2.6,.429,0.1,0.4,.263,.458,.448,0.3,0.4,.722,0.4,1.3,1.7,0.6,0.4,0.1,0.5,1.6,2.6
Martynas Andriuškevičius,CLE,C,19,6,0,1.5,0.0,0.2,.000,0.0,0.0,,.000,.000,0.0,0.0,,0.2,0.5,0.7,0.0,0.3,0.0,0.0,0.2,0.0
Carmelo Anthony,DEN,SF,21,80,80,36.8,9.5,19.7,.481,0.5,1.9,.243,.506,.493,7.2,8.9,.808,1.5,3.4,4.9,2.7,1.1,0.5,2.7,2.9,26.5
Rafael Araújo,TOR,C,25,52,34,11.6,1.0,2.8,.366,0.0,0.0,.000,.368,.366,0.3,0.5,.536,0.8,1.9,2.8,0.3,0.5,0.1,0.8,2.0,2.3
Gilbert Arenas,WAS,PG,24,80,80,42.3,9.3,20.9,.447,2.5,6.8,.369,.485,.507,8.2,10.0,.820,0.7,2.8,3.5,6.1,2.0,0.3,3.7,3.6,29.3
Trevor Ariza,TOT,SF,20,57,10,17.5,1.6,4.0,.412,0.0,0.1,.200,.416,.414,1.4,2.2,.606,1.4,2.5,3.8,1.1,1.0,0.2,1.1,1.8,4.6
Darrell Armstrong,DAL,PG,37,62,2,10.0,0.7,2.1,.336,0.2,0.8,.229,.400,.379,0.5,0.7,.786,0.3,1.0,1.3,1.4,0.4,0.0,0.9,1.1,2.1
Carlos Arroyo,TOT,PG-SG,26,77,0,15.5,2.2,4.9,.444,0.1,0.3,.350,.450,.454,1.4,1.8,.774,0.4,1.3,1.7,3.0,0.5,0.1,1.1,1.5,5.8
Chucky Atkins,TOT,PG-SG,31,71,41,24.1,3.2,8.1,.394,1.4,3.9,.354,.431,.479,1.8,2.3,.791,0.3,1.4,1.7,2.8,0.6,0.0,1.2,2.1,9.5
Stacey Augmon,ORL,SF,37,36,3,10.7,0.7,2.0,.342,0.0,0.0,,.342,.342,0.6,0.8,.700,0.5,1.0,1.5,0.6,0.3,0.2,0.3,1.1,2.0
Vin Baker,LAC,C,34,8,1,10.6,0.9,1.9,.467,0.0,0.0,,.467,.467,1.6,2.3,.722,0.3,2.1,2.4,0.5,0.5,0.5,1.1,1.6,3.4
Marcus Banks,TOT,PG,24,58,29,25.8,3.8,8.1,.468,0.4,1.1,.349,.486,.491,2.0,2.5,.803,0.4,1.9,2.3,3.8,0.9,0.2,2.1,2.8,10.0
Leandro Barbosa,PHO,SG,23,57,11,27.9,4.8,9.9,.481,1.5,3.4,.444,.501,.558,1.9,2.6,.755,0.5,2.1,2.6,2.8,0.8,0.1,1.6,2.5,13.1
Matt Barnes,TOT,PF-SF,25,56,5,11.3,1.3,2.5,.500,0.1,0.3,.200,.536,.511,0.6,0.8,.681,0.9,1.3,2.2,0.5,0.4,0.1,0.5,1.8,3.1
Andre Barrett,TOT,PG,23,19,0,14.8,2.0,5.5,.365,0.1,0.7,.143,.400,.375,0.5,0.6,.750,0.5,0.8,1.3,2.7,0.5,0.0,0.8,0.7,4.6
Earl Barron,MIA,C,24,8,0,5.6,0.6,2.0,.313,0.0,0.0,,.313,.313,0.4,0.5,.750,0.3,1.0,1.3,0.0,0.0,0.0,0.6,1.3,1.6
Brent Barry,SAS,SG,34,74,5,17.0,2.1,4.7,.452,1.1,2.7,.396,.531,.568,0.5,0.8,.661,0.4,1.8,2.1,1.7,0.5,0.4,0.7,1.3,5.8
Jon Barry,HOU,SG,36,20,0,17.1,1.3,3.3,.385,0.6,1.6,.375,.394,.477,1.2,1.5,.828,0.1,1.5,1.6,1.3,0.7,0.1,1.1,1.3,4.3
Eddie Basden,CHI,SF,22,19,0,7.4,0.8,1.9,.405,0.1,0.4,.143,.467,.419,0.4,0.5,.800,0.4,1.1,1.5,0.4,0.5,0.1,0.5,0.9,2.1
Brandon Bass,NOK,PF,20,29,1,9.2,1.0,2.4,.400,0.0,0.0,,.400,.400,0.4,0.7,.632,0.6,1.7,2.3,0.1,0.1,0.2,0.4,0.6,2.3
Esteban Batista,ATL,PF,22,57,3,8.7,0.6,1.4,.425,0.0,0.0,.000,.430,.425,0.6,0.9,.623,1.1,1.5,2.5,0.1,0.3,0.2,0.7,1.9,1.8
Tony Battie,ORL,C,29,82,82,27.0,3.4,6.7,.507,0.0,0.1,.000,.513,.507,1.1,1.6,.664,1.8,3.8,5.6,0.6,0.6,0.8,1.1,3.0,7.9
Shane Battier,MEM,SF,27,81,81,35.0,3.7,7.7,.488,0.8,2.0,.394,.522,.540,1.8,2.6,.707,2.0,3.3,5.3,1.7,1.1,1.4,1.1,2.8,10.1
Lonny Baxter,TOT,C-PF,27,41,0,9.8,1.1,2.5,.433,0.0,0.0,,.433,.433,0.7,0.9,.800,1.1,1.8,2.9,0.1,0.3,0.2,0.5,1.4,2.9
Charlie Bell,MIL,SG,26,59,6,21.7,3.1,6.9,.439,1.2,2.8,.423,.450,.526,1.1,1.5,.708,0.4,1.7,2.0,2.2,1.0,0.1,0.7,2.1,8.4
Raja Bell,PHO,SG,29,79,79,37.5,5.4,11.8,.457,2.5,5.6,.442,.471,.563,1.5,1.8,.788,0.6,2.6,3.2,2.6,1.0,0.3,1.1,3.1,14.7
Jonathan Bender,IND,SF,25,2,0,10.5,2.0,2.5,.800,0.0,0.0,,.800,.800,1.0,1.0,1.000,0.0,2.0,2.0,1.0,0.0,0.5,0.0,1.0,5.0
Mike Bibby,SAC,PG,27,82,82,38.6,7.3,16.9,.432,2.3,6.1,.386,.458,.501,4.2,4.9,.849,0.4,2.6,2.9,5.4,1.0,0.1,2.4,2.1,21.1
Andris Biedriņš,GSW,C,19,68,2,14.7,1.7,2.7,.638,0.0,0.0,,.638,.638,0.3,1.1,.306,1.8,2.3,4.2,0.4,0.3,0.7,0.5,2.8,3.8
Chauncey Billups,DET,PG,29,81,81,36.1,5.2,12.5,.418,2.3,5.2,.433,.407,.509,5.7,6.4,.894,0.5,2.6,3.1,8.6,0.9,0.1,2.1,2.0,18.5
Steve Blake,POR,PG,25,68,57,26.2,3.0,6.9,.438,1.1,2.7,.413,.455,.519,1.1,1.3,.791,0.4,1.8,2.1,4.5,0.6,0.1,1.2,1.6,8.2
Andray Blatche,WAS,PF,19,29,0,6.0,0.9,2.3,.388,0.1,0.4,.231,.426,.410,0.3,0.4,.833,0.4,0.9,1.3,0.3,0.2,0.2,0.4,1.2,2.2
Mark Blount,TOT,C,30,81,55,27.7,4.6,9.1,.508,0.0,0.0,,.508,.508,2.1,2.7,.757,1.2,3.3,4.5,1.2,0.5,0.9,2.4,3.1,11.3
Keith Bogans,TOT,SG-SF,25,72,31,26.6,3.0,7.6,.395,0.9,2.8,.325,.436,.455,1.8,2.6,.683,0.8,2.8,3.5,1.8,1.0,0.1,1.3,2.3,8.6
Andrew Bogut,MIL,PF,21,82,77,28.6,3.9,7.4,.533,0.0,0.0,.000,.536,.533,1.5,2.4,.629,2.3,4.7,7.0,2.3,0.6,0.8,1.5,3.2,9.4
Matt Bonner,TOR,PF,25,78,6,21.9,2.7,6.0,.448,1.3,3.1,.420,.478,.557,0.8,1.0,.829,1.1,2.5,3.6,0.7,0.6,0.4,0.4,2.8,7.5
Calvin Booth,WAS,C,29,33,2,7.6,0.6,1.4,.426,0.0,0.1,.500,.422,.436,0.2,0.3,.556,0.6,1.0,1.6,0.4,0.3,0.3,0.2,1.3,1.4
Carlos Boozer,UTA,PF,24,33,19,31.1,6.6,12.1,.549,0.0,0.0,,.549,.549,3.0,4.2,.723,2.2,6.4,8.6,2.7,0.9,0.2,2.1,3.2,16.3
Chris Bosh*,TOR,C,21,70,70,39.3,7.8,15.5,.505,0.0,0.2,.000,.511,.505,6.8,8.3,.816,2.9,6.3,9.2,2.6,0.7,1.1,2.2,3.0,22.5
Bruce Bowen,SAS,SF,34,82,82,33.6,2.8,6.5,.433,1.3,3.0,.424,.440,.530,0.6,1.0,.607,0.4,3.5,3.9,1.5,1.0,0.4,0.8,2.3,7.5
Ryan Bowen,HOU,SF,30,68,19,9.6,0.5,1.8,.298,0.0,0.3,.136,.333,.310,0.2,0.2,.786,0.5,0.8,1.3,0.4,0.3,0.1,0.2,1.3,1.3
Earl Boykins,DEN,PG,29,60,0,25.7,4.5,11.0,.410,1.0,3.0,.346,.434,.457,2.5,2.9,.874,0.4,1.0,1.4,3.8,0.8,0.1,1.4,1.2,12.6
Michael Bradley,PHI,PF,26,46,1,8.0,0.7,1.7,.405,0.0,0.1,.200,.419,.411,0.0,0.1,.667,0.9,1.5,2.3,0.4,0.1,0.2,0.4,0.8,1.5
Elton Brand,LAC,PF,26,79,79,39.2,9.6,18.2,.527,0.0,0.0,.333,.527,.527,5.6,7.2,.775,3.0,7.0,10.0,2.6,1.0,2.5,2.2,2.9,24.7
Primož Brezec,CHA,C,26,79,79,27.4,5.2,10.0,.517,0.0,0.0,.000,.518,.517,2.1,2.8,.732,2.3,3.3,5.6,0.6,0.2,0.4,1.1,2.9,12.4
Devin Brown,UTA,SG,27,81,14,21.1,2.6,6.5,.393,0.5,1.5,.331,.411,.430,2.0,2.6,.745,0.9,1.7,2.6,1.3,0.5,0.2,1.2,1.9,7.5
Kwame Brown,LAL,C,23,72,49,27.5,2.8,5.4,.526,0.0,0.0,.000,.527,.526,1.8,3.3,.545,2.5,4.0,6.6,1.0,0.4,0.6,1.4,2.7,7.4
P.J. Brown,NOK,C,36,75,73,31.7,3.6,7.8,.461,0.0,0.0,,.461,.461,1.9,2.2,.827,2.4,4.9,7.3,1.2,0.6,0.7,1.2,2.9,9.0
Rick Brunson,TOT,PG,33,27,0,9.1,0.8,2.0,.389,0.2,0.5,.385,.390,.435,0.3,0.4,.583,0.0,0.8,0.8,1.3,0.3,0.0,0.8,0.8,2.0
Kobe Bryant*,LAL,SG,27,80,80,41.0,12.2,27.2,.450,2.3,6.5,.347,.482,.491,8.7,10.2,.850,0.9,4.4,5.3,4.5,1.8,0.4,3.1,2.9,35.4
Greg Buckner,DEN,SG,29,73,27,24.1,2.5,5.7,.434,1.2,3.3,.354,.546,.537,0.6,0.8,.782,0.4,2.4,2.9,1.7,1.2,0.3,0.7,2.5,6.7
Pat Burke,PHO,C,32,42,0,8.2,1.5,3.0,.496,0.0,0.2,.286,.508,.504,0.3,0.5,.619,0.5,1.2,1.7,0.4,0.1,0.3,0.8,1.5,3.4
Antonio Burks,MEM,PG,25,57,1,10.0,0.9,2.5,.354,0.0,0.1,.167,.362,.358,0.2,0.4,.435,0.1,0.6,0.6,1.3,0.4,0.0,0.6,0.8,2.0
Kevin Burleson,CHA,PG,26,39,1,8.7,0.6,2.3,.250,0.3,1.4,.185,.353,.307,0.4,0.4,.941,0.1,0.6,0.7,1.2,0.7,0.1,0.6,1.6,1.8
Caron Butler,WAS,SF,25,75,54,36.1,6.6,14.5,.455,0.5,1.6,.342,.469,.474,3.9,4.4,.870,1.5,4.7,6.2,2.5,1.7,0.2,2.3,3.2,17.6
Jackie Butler,NYK,C,20,55,0,13.5,2.1,3.9,.544,0.0,0.0,,.544,.544,1.1,1.4,.753,1.2,2.1,3.3,0.5,0.3,0.6,1.1,2.3,5.3
Rasual Butler,NOK,SF,26,79,20,23.7,3.3,8.0,.406,1.2,3.1,.380,.422,.479,1.0,1.4,.693,0.6,2.3,2.9,0.5,0.4,0.6,0.8,1.8,8.7
Andrew Bynum,LAL,C,18,46,0,7.3,0.7,1.8,.402,0.0,0.0,,.402,.402,0.2,0.6,.296,0.7,1.0,1.7,0.2,0.1,0.5,0.4,1.2,1.6
Will Bynum,GSW,PG,23,15,0,10.8,1.4,3.5,.404,0.1,0.6,.222,.442,.423,0.7,1.1,.625,0.2,0.6,0.8,1.3,0.5,0.0,0.9,0.7,3.6
Žarko Čabarkapa,GSW,PF,24,61,0,8.3,1.1,2.9,.385,0.1,0.3,.250,.403,.399,1.0,1.4,.714,0.6,1.2,1.8,0.3,0.2,0.1,0.6,1.4,3.3
José Calderón,TOR,SG,24,64,11,23.2,2.1,4.9,.423,0.1,0.7,.163,.465,.434,1.2,1.4,.848,0.5,1.7,2.2,4.5,0.7,0.1,1.6,1.5,5.5
Marcus Camby,DEN,C,31,56,54,33.2,5.4,11.6,.465,0.0,0.2,.091,.472,.466,2.0,2.8,.712,2.4,9.6,11.9,2.1,1.4,3.3,1.6,2.8,12.8
Brian Cardinal,MEM,PF,28,36,0,11.2,1.3,3.1,.414,0.4,0.8,.448,.402,.473,0.5,0.8,.704,0.3,1.2,1.5,0.9,0.6,0.0,0.8,1.8,3.4
Matt Carroll,CHA,SG,25,78,6,16.3,2.5,6.1,.403,0.9,2.4,.389,.412,.479,1.8,2.2,.821,0.4,1.6,2.0,0.4,0.6,0.1,0.6,1.5,7.6
Anthony Carter,MIN,PG,30,45,8,13.1,1.2,3.0,.387,0.1,0.3,.267,.402,.401,0.9,1.2,.727,0.2,1.2,1.4,2.2,0.5,0.2,0.9,1.6,3.3
Vince Carter,NJN,SG,29,79,79,36.8,8.3,19.2,.430,1.6,4.6,.341,.459,.471,6.1,7.6,.799,1.7,4.1,5.8,4.3,1.2,0.7,2.7,3.0,24.2
Sam Cassell,LAC,PG,36,78,75,34.0,6.3,14.3,.443,0.9,2.4,.368,.459,.475,3.7,4.3,.863,0.5,3.2,3.7,6.3,0.9,0.1,2.2,2.9,17.2
Kelvin Cato,TOT,C,31,27,0,12.3,1.3,3.1,.429,0.0,0.0,,.429,.429,1.0,1.3,.743,0.7,1.9,2.6,0.1,0.2,0.4,0.7,1.9,3.6
Tyson Chandler,CHI,C,23,79,50,26.8,2.0,3.6,.565,0.0,0.0,.000,.567,.565,1.2,2.4,.503,3.4,5.7,9.0,1.0,0.5,1.3,1.6,3.8,5.3
Calbert Cheaney,GSW,SF,34,42,0,10.7,1.0,2.6,.389,0.0,0.2,.000,.420,.389,0.2,0.2,1.000,0.5,1.0,1.5,0.5,0.3,0.0,0.4,0.9,2.2
Josh Childress,ATL,SF,22,74,10,30.4,3.8,6.8,.552,0.4,0.9,.492,.560,.583,2.1,2.7,.766,1.8,3.4,5.2,1.8,1.2,0.5,1.4,2.5,10.0
Doug Christie,DAL,SG,35,7,7,26.4,1.3,3.7,.346,0.0,0.1,.000,.360,.346,1.1,1.7,.667,0.3,1.6,1.9,2.0,1.3,0.1,0.9,1.4,3.7
Speedy Claxton,NOK,PG,27,71,3,28.4,4.3,10.4,.413,0.2,0.9,.270,.426,.425,3.5,4.5,.769,0.5,2.2,2.7,4.8,1.5,0.1,2.2,2.5,12.3
Mateen Cleaves,SEA,PG,28,27,0,8.5,0.9,2.6,.352,0.1,0.6,.250,.382,.380,0.7,0.9,.792,0.1,0.4,0.5,1.6,0.1,0.1,0.5,1.1,2.7
Jarron Collins,UTA,C,27,79,41,21.9,1.6,3.5,.461,0.0,0.0,,.461,.461,2.0,2.8,.717,1.7,2.5,4.2,1.2,0.5,0.3,0.8,3.2,5.3
Jason Collins,NJN,C,27,71,70,26.7,1.5,3.7,.397,0.0,0.2,.250,.404,.403,0.6,1.2,.512,1.3,3.5,4.8,1.0,0.6,0.6,0.9,3.5,3.6
Nick Collison,SEA,PF,25,66,27,21.9,3.1,6.0,.525,0.0,0.0,.000,.529,.525,1.2,1.7,.699,2.2,3.4,5.6,1.1,0.3,0.5,1.2,3.2,7.5
Brian Cook,LAL,PF,25,81,46,19.0,3.2,6.3,.511,0.4,1.0,.429,.527,.546,1.0,1.2,.832,1.1,2.3,3.4,0.9,0.5,0.4,0.8,2.5,7.9
Jamal Crawford,NYK,SG,25,79,27,32.3,4.6,11.1,.416,1.3,3.7,.345,.452,.474,3.7,4.5,.826,0.5,2.7,3.1,3.8,1.1,0.2,2.2,1.9,14.3
Austin Croshere,IND,PF,30,50,26,23.0,2.6,5.7,.463,1.1,2.8,.386,.538,.558,1.8,2.0,.882,1.2,4.1,5.3,1.2,0.4,0.1,1.0,2.1,8.2
Eddy Curry,NYK,C,23,72,69,25.9,4.7,8.3,.563,0.0,0.0,,.563,.563,4.3,6.8,.632,2.0,4.0,6.0,0.3,0.4,0.8,2.5,3.3,13.6
Samuel Dalembert,PHI,C,24,66,52,26.7,3.0,5.6,.531,0.0,0.0,.000,.533,.531,1.4,2.0,.705,2.4,5.8,8.2,0.4,0.5,2.4,1.6,3.7,7.3
