name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Álex Abrines,OKC,SG,24,75,8,15.1,1.5,3.9,.395,1.1,2.9,.380,.443,.540,0.5,0.6,.848,0.3,1.2,1.5,0.4,0.5,0.1,0.3,1.7,4.7
Quincy Acy,BRK,PF,27,70,8,19.4,1.9,5.2,.356,1.5,4.2,.349,.384,.496,0.7,0.9,.817,0.6,3.1,3.7,0.8,0.5,0.4,0.9,2.1,5.9
Steven Adams,OKC,C,24,76,76,32.7,5.9,9.4,.629,0.0,0.0,.000,.631,.629,2.1,3.8,.559,5.1,4.0,9.0,1.2,1.2,1.0,1.7,2.8,13.9
Bam Adebayo,MIA,C,20,69,19,19.8,2.5,4.9,.512,0.0,0.1,.000,.523,.512,1.9,2.6,.721,1.7,3.8,5.5,1.5,0.5,0.6,1.0,2.0,6.9
Arron Afflalo,ORL,SG,32,53,3,12.9,1.2,3.1,.401,0.5,1.3,.386,.413,.485,0.4,0.5,.846,0.1,1.2,1.2,0.6,0.1,0.2,0.4,1.1,3.4
Cole Aldrich,MIN,C,29,21,0,2.3,0.2,0.7,.333,0.0,0.0,,.333,.333,0.1,0.3,.333,0.1,0.6,0.7,0.1,0.1,0.0,0.0,0.5,0.6
LaMarcus Aldridge,SAS,C,32,75,75,33.5,9.2,18.0,.510,0.4,1.2,.293,.526,.520,4.5,5.3,.837,3.3,5.2,8.5,2.0,0.6,1.2,1.5,2.1,23.1
Jarrett Allen,BRK,C,19,72,31,20.0,3.3,5.5,.589,0.1,0.2,.333,.599,.596,1.6,2.0,.776,2.0,3.4,5.4,0.7,0.4,1.2,1.1,2.0,8.2
Kadeem Allen,BOS,PG,25,18,1,5.9,0.3,1.2,.273,0.0,0.6,.000,.545,.273,0.4,0.5,.778,0.2,0.4,0.6,0.7,0.2,0.1,0.5,0.8,1.1
Tony Allen,NOP,SF,36,22,0,12.4,2.0,4.1,.484,0.2,0.5,.333,.506,.505,0.5,1.0,.524,0.9,1.2,2.1,0.4,0.5,0.1,0.9,2.2,4.7
Al-Farouq Aminu,POR,PF,27,69,67,30.0,3.3,8.4,.395,1.8,4.9,.369,.432,.503,0.9,1.2,.738,1.4,6.2,7.6,1.2,1.1,0.6,1.1,2.0,9.3
Justin Anderson,PHI,SF,24,38,0,13.7,2.3,5.3,.431,0.9,2.7,.330,.535,.515,0.7,1.0,.737,0.7,1.8,2.4,0.7,0.4,0.2,0.4,1.4,6.2
Kyle Anderson,SAS,SF,24,74,67,26.7,3.1,5.9,.527,0.3,0.8,.333,.556,.549,1.4,2.0,.712,1.1,4.2,5.4,2.7,1.6,0.8,1.3,1.5,7.9
Ryan Anderson,HOU,PF,29,66,50,26.1,3.1,7.3,.431,2.0,5.1,.386,.539,.568,1.1,1.4,.774,1.4,3.6,5.0,0.9,0.4,0.3,0.6,1.9,9.3
Ike Anigbogu,IND,C,19,11,0,2.7,0.4,0.8,.444,0.0,0.0,,.444,.444,0.5,0.5,.833,0.5,0.4,0.8,0.0,0.1,0.3,0.2,0.1,1.2
Giannis Antetokounmpo,MIL,PF,23,75,75,36.7,9.9,18.7,.529,0.6,1.9,.307,.554,.545,6.5,8.5,.760,2.1,8.0,10.0,4.8,1.5,1.4,3.0,3.1,26.9
Carmelo Anthony,OKC,PF,33,78,78,32.1,6.1,15.0,.404,2.2,6.1,.357,.437,.476,1.9,2.5,.767,0.9,4.9,5.8,1.3,0.6,0.6,1.3,2.5,16.2
OG Anunoby,TOR,SF,20,74,62,20.0,2.2,4.7,.471,1.0,2.7,.371,.604,.577,0.5,0.8,.629,0.6,1.9,2.5,0.7,0.7,0.2,0.6,1.8,5.9
Ryan Arcidiacono,CHI,PG,23,24,0,12.7,0.7,1.7,.415,0.4,1.3,.290,.800,.524,0.2,0.3,.833,0.0,1.0,1.0,1.5,0.5,0.0,0.5,0.8,2.0
