name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Tariq Abdul-Wahad,TOT,SG,27,24,12,18.4,2.3,6.1,.374,0.0,0.1,.500,.372,.378,1.0,1.4,.727,1.7,1.8,3.5,1.0,0.8,0.4,1.1,2.3,5.6
Shareef Abdur-Rahim,ATL,PF,25,77,77,38.7,7.8,16.8,.461,0.3,0.9,.300,.470,.469,5.4,6.8,.801,2.6,6.5,9.0,3.1,1.3,1.1,3.2,2.8,21.2
Courtney Alexander,WAS,SG,24,56,28,23.7,4.0,8.5,.470,0.1,0.3,.278,.478,.476,1.8,2.2,.810,0.8,1.9,2.6,1.5,0.6,0.1,1.1,2.0,9.8
Victor Alexander,DET,C,32,15,0,6.5,1.2,3.4,.353,0.0,0.1,.000,.367,.353,0.3,0.5,.500,0.5,1.5,1.9,0.4,0.0,0.1,0.3,0.4,2.7
Malik Allen,MIA,PF,23,12,2,13.4,1.8,4.3,.431,0.0,0.1,.000,.440,.431,0.7,0.8,.800,1.3,1.9,3.2,0.4,0.3,0.7,0.2,1.3,4.3
Ray Allen*,MIL,SG,26,69,67,36.6,7.7,16.6,.462,3.3,7.7,.434,.485,.561,3.1,3.6,.873,1.2,3.3,4.5,3.9,1.3,0.3,2.3,2.3,21.8
Rafer Alston,MIL,PG,25,50,7,12.0,1.3,3.8,.346,0.5,1.4,.380,.325,.416,0.4,0.6,.621,0.2,1.2,1.4,2.9,0.6,0.0,0.8,0.8,3.5
John Amaechi,UTA,PF,31,54,0,10.9,1.0,3.1,.325,0.0,0.0,,.325,.325,1.2,1.9,.638,1.0,1.1,2.0,0.5,0.1,0.2,1.0,1.2,3.2
Chris Andersen,DEN,C,23,24,1,10.9,1.0,3.1,.338,0.0,0.2,.000,.357,.338,0.9,1.2,.786,1.6,1.6,3.2,0.3,0.3,1.2,0.5,1.5,3.0
Derek Anderson,POR,SG,27,70,27,26.6,3.5,8.7,.404,1.2,3.3,.373,.422,.473,2.5,3.0,.856,0.7,2.0,2.7,3.1,1.0,0.1,1.2,1.6,10.8
Kenny Anderson,BOS,PG,31,76,76,32.0,4.1,9.4,.436,0.1,0.4,.273,.444,.442,1.3,1.7,.742,0.8,2.9,3.6,5.3,1.9,0.1,1.6,2.8,9.6
Nick Anderson,MEM,SG,34,15,0,14.6,1.4,5.1,.276,0.9,3.2,.271,.286,.362,0.3,0.6,.556,0.1,2.1,2.2,0.9,0.4,0.4,0.9,1.1,4.0
Shandon Anderson,NYK,SG,28,82,6,19.5,1.8,4.5,.399,0.5,1.7,.277,.474,.452,0.9,1.3,.692,0.7,2.3,3.0,0.9,0.6,0.2,1.2,1.6,5.0
Greg Anthony,TOT,PG,34,60,38,25.2,3.1,7.9,.385,0.8,2.7,.294,.433,.436,1.0,1.5,.659,0.4,1.8,2.2,4.7,1.3,0.1,1.6,1.9,7.9
Gilbert Arenas,GSW,PG,20,47,30,24.6,3.7,8.2,.453,0.8,2.4,.345,.498,.504,2.6,3.4,.775,0.9,1.9,2.8,3.7,1.5,0.2,2.1,2.4,10.9
Brandon Armstrong,NJN,SG,21,35,0,5.6,0.8,2.4,.318,0.1,0.5,.294,.324,.347,0.1,0.3,.500,0.3,0.2,0.5,0.2,0.2,0.0,0.2,0.7,1.8
Darrell Armstrong,ORL,PG,33,82,79,33.3,4.2,10.1,.419,1.7,4.9,.349,.484,.503,2.2,2.5,.888,1.0,2.9,3.9,5.5,1.9,0.1,2.1,2.0,12.4
Carlos Arroyo,TOT,PG,22,37,1,10.0,1.3,3.0,.441,0.0,0.1,.000,.450,.441,0.4,0.5,.722,0.3,0.8,1.1,1.9,0.3,0.0,0.6,0.8,3.0
Chucky Atkins,DET,PG,27,79,62,28.9,4.7,10.0,.466,1.7,4.3,.411,.507,.553,1.1,1.5,.692,0.4,1.6,2.0,3.3,0.9,0.1,1.6,2.2,12.1
