name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Quincy Acy,TOT,SF,23,63,0,13.4,1.0,2.2,.468,0.1,0.2,.267,.492,.482,0.6,0.8,.660,1.1,2.3,3.4,0.4,0.4,0.4,0.5,1.9,2.7
Steven Adams,OKC,C,20,81,20,14.8,1.1,2.3,.503,0.0,0.0,,.503,.503,1.0,1.7,.581,1.8,2.3,4.1,0.5,0.5,0.7,0.9,2.5,3.3
Jeff Adrien,TOT,PF,27,53,12,18.1,2.7,5.2,.520,0.0,0.0,,.520,.520,1.4,2.2,.639,1.9,3.8,5.8,0.7,0.5,0.7,0.7,2.0,6.8
Arron Afflalo,ORL,SG,28,73,73,35.0,6.4,13.8,.459,1.8,4.1,.427,.473,.522,3.8,4.6,.815,0.4,3.2,3.6,3.4,0.5,0.0,2.0,1.9,18.2
Alexis Ajinça,NOP,C,25,56,30,17.0,2.4,4.4,.546,0.0,0.0,.000,.548,.546,1.0,1.2,.836,1.7,3.3,4.9,0.7,0.4,0.8,1.1,3.3,5.9
Cole Aldrich,NYK,C,25,46,2,7.2,0.7,1.3,.541,0.0,0.0,,.541,.541,0.6,0.7,.867,0.8,2.0,2.8,0.3,0.2,0.7,0.4,0.9,2.0
LaMarcus Aldridge,POR,PF,28,69,69,36.2,9.4,20.6,.458,0.0,0.2,.200,.461,.459,4.3,5.2,.822,2.4,8.7,11.1,2.6,0.9,1.0,1.8,2.1,23.2
Lavoy Allen,TOT,PF,24,65,2,16.5,2.1,4.6,.447,0.0,0.2,.154,.460,.450,0.5,0.8,.660,1.8,3.0,4.8,1.1,0.4,0.5,0.7,1.9,4.7
Ray Allen*,MIA,SG,38,73,9,26.5,3.3,7.4,.442,1.6,4.2,.375,.530,.549,1.4,1.6,.905,0.3,2.5,2.8,2.0,0.7,0.1,1.2,1.6,9.6
Tony Allen,MEM,SG,32,55,28,23.2,3.7,7.5,.494,0.2,0.9,.234,.527,.507,1.4,2.2,.628,1.4,2.3,3.8,1.7,1.6,0.3,1.6,2.2,9.0
Al-Farouq Aminu,NOP,SF,23,80,65,25.6,2.9,6.2,.474,0.2,0.6,.271,.496,.487,1.1,1.7,.664,1.6,4.6,6.2,1.4,1.0,0.5,1.1,1.8,7.2
Lou Amundson,TOT,PF,31,19,0,9.7,0.8,1.7,.500,0.0,0.0,,.500,.500,0.3,1.3,.250,1.5,1.4,2.9,0.3,0.5,0.6,0.7,2.6,2.0
Chris Andersen,MIA,C,35,72,0,19.4,2.5,3.8,.644,0.0,0.2,.250,.662,.649,1.7,2.3,.710,1.8,3.5,5.3,0.3,0.4,1.3,0.7,2.3,6.6
Alan Anderson,BRK,SF,31,78,26,22.7,2.5,6.2,.400,1.1,3.2,.339,.464,.487,1.2,1.5,.780,0.5,1.7,2.2,1.0,0.6,0.1,0.8,1.9,7.2
James Anderson,PHI,SG,24,80,62,28.9,3.9,9.0,.431,1.4,4.4,.328,.530,.511,1.0,1.3,.726,0.7,3.0,3.8,1.9,0.9,0.4,1.3,1.9,10.1
Ryan Anderson,NOP,PF,25,22,14,36.1,7.0,16.1,.438,3.0,7.5,.409,.463,.532,2.7,2.8,.952,3.0,3.5,6.5,0.8,0.5,0.3,0.9,2.1,19.8
