name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Kareem Abdul-Jabbar*,LAL,C,34,76,76,35.2,9.9,17.1,.579,0.0,0.0,.000,.580,.579,4.1,5.8,.706,2.3,6.4,8.7,3.0,0.8,2.7,3.0,2.9,23.9
Alvan Adams,PHO,C,27,79,75,30.3,6.4,13.0,.494,0.0,0.0,.000,.494,.494,2.3,2.9,.781,1.7,5.7,7.4,4.5,1.4,1.0,2.5,3.4,15.1
Mark Aguirre,DAL,SF,22,51,20,28.8,7.5,16.1,.465,0.5,1.4,.352,.475,.480,3.3,4.8,.680,1.7,3.1,4.9,3.2,0.7,0.4,2.6,3.0,18.7
Danny Ainge,BOS,SG,22,53,1,10.6,1.5,4.2,.357,0.1,0.3,.294,.363,.369,1.1,1.2,.862,0.5,0.6,1.1,1.6,0.7,0.1,1.0,1.6,4.1
Tiny Archibald*,BOS,PG,33,68,51,31.9,4.5,9.6,.472,0.1,0.2,.375,.475,.477,3.5,4.6,.747,0.4,1.3,1.7,8.0,0.8,0.0,2.6,1.9,12.6
Dennis Awtrey,POR,C,33,10,3,12.1,0.5,1.5,.333,0.0,0.0,,.333,.333,0.5,0.9,.556,0.7,0.7,1.4,0.8,0.1,0.2,0.6,2.8,1.5
Carl Bailey,POR,C,23,1,0,7.0,1.0,1.0,1.000,0.0,0.0,,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
James Bailey,TOT,PF,24,77,0,19.1,3.4,6.6,.517,0.0,0.0,,.517,.517,1.8,2.9,.612,1.6,3.4,5.1,0.8,0.5,1.1,1.8,3.5,8.6
Greg Ballard,WSB,SF,27,79,79,37.3,7.9,16.5,.475,0.1,0.3,.409,.476,.479,3.0,3.6,.830,1.7,6.3,8.0,3.2,1.7,0.3,1.5,2.6,18.8
Gene Banks,SAS,SF,22,80,4,21.3,3.9,8.2,.477,0.0,0.1,.000,.483,.477,1.8,2.7,.684,2.0,3.2,5.1,1.8,0.7,0.2,1.3,2.5,9.6
Mike Bantom,TOT,SF,30,82,38,24.6,4.1,8.7,.469,0.0,0.1,.333,.470,.471,2.0,3.3,.629,2.1,3.2,5.4,1.4,0.8,0.7,1.8,3.3,10.2
Billy Ray Bates,POR,SG,25,75,0,16.4,4.4,9.2,.473,0.2,0.5,.293,.484,.481,2.2,2.8,.787,0.7,0.7,1.4,1.5,0.5,0.1,1.2,1.3,11.1
Mel Bennett,CLE,PF,27,3,0,7.7,0.7,1.3,.500,0.0,0.0,,.500,.500,0.3,2.0,.167,0.3,0.7,1.0,0.0,0.3,0.0,1.3,0.7,1.7
Kent Benson,DET,C,27,75,72,32.9,5.4,10.7,.505,0.0,0.1,.273,.508,.507,1.7,2.1,.804,2.9,5.8,8.7,2.1,0.9,1.3,2.1,2.9,12.5
Larry Bird*,BOS,PF,25,77,58,38.0,9.2,18.4,.503,0.1,0.7,.212,.514,.507,4.3,4.9,.863,2.6,8.3,10.9,5.8,1.9,0.9,3.3,3.2,22.9
Otis Birdsong,NJN,SG,26,37,22,27.7,6.1,13.0,.469,0.0,0.3,.000,.479,.469,2.0,3.4,.583,0.8,1.8,2.6,3.4,0.8,0.1,1.7,2.0,14.2
Rolando Blackman,DAL,SG,22,82,16,24.1,5.4,10.4,.513,0.0,0.0,.250,.515,.514,2.6,3.4,.768,1.2,1.9,3.1,1.3,0.6,0.4,1.4,1.5,13.3
Ray Blume,CHI,SG,23,49,2,11.1,2.1,4.5,.459,0.1,0.4,.222,.480,.468,0.4,0.6,.643,0.3,0.6,0.8,1.4,0.5,0.0,1.1,1.2,4.6
Alex Bradley,NYK,SF,22,39,0,8.5,1.4,2.6,.524,0.0,0.0,.000,.529,.524,0.7,1.2,.604,0.8,0.9,1.7,0.3,0.3,0.1,0.7,0.9,3.5
Charles Bradley,BOS,SG,22,51,1,6.6,1.1,2.4,.451,0.0,0.0,.000,.455,.451,0.8,1.2,.677,0.2,0.5,0.7,0.4,0.3,0.1,0.7,1.2,3.0
Dudley Bradley,PHO,SG,24,64,3,14.6,2.0,4.4,.445,0.0,0.1,.250,.448,.447,1.2,1.6,.740,0.5,0.9,1.4,1.3,1.2,0.2,1.1,1.8,5.1
Brad Branson,CLE,PF,23,10,3,17.6,2.1,5.2,.404,0.0,0.0,,.404,.404,1.1,1.2,.917,1.4,1.9,3.3,0.6,0.5,0.4,1.3,1.7,5.3
Mike Bratz,SAS,PG,26,81,3,20.0,2.8,7.0,.407,0.6,1.7,.333,.431,.448,1.5,1.9,.783,0.5,1.6,2.0,5.4,0.8,0.1,1.7,2.3,7.7
Jim Brewer,LAL,PF,30,71,9,13.6,1.1,2.5,.463,0.0,0.1,.167,.473,.466,0.1,0.3,.368,1.5,2.2,3.7,0.6,0.5,0.6,0.5,1.8,2.4
Ron Brewer,TOT,SG,26,72,45,32.2,7.9,16.6,.477,0.1,0.4,.258,.482,.480,2.9,3.6,.812,0.8,1.5,2.2,2.6,1.1,0.4,1.7,2.1,18.8
Junior Bridgeman,MIL,SF,28,41,4,22.5,5.1,10.6,.483,0.1,0.2,.444,.483,.487,2.2,2.5,.864,0.9,2.1,3.0,2.7,0.7,0.1,1.6,2.2,12.5
Allan Bristow,DAL,SF,30,82,54,24.8,2.7,6.1,.437,0.0,0.2,.167,.447,.440,1.6,2.0,.817,1.5,2.7,4.1,5.5,0.8,0.1,2.0,2.7,7.0
Jim Brogan,SDC,SG,23,63,19,16.3,2.6,5.8,.453,0.1,0.5,.281,.470,.466,1.0,1.3,.726,1.0,0.9,1.9,2.5,0.8,0.2,1.3,2.0,6.3
Michael Brooks,SDC,SF,23,82,73,33.5,6.5,13.0,.504,0.0,0.1,.000,.507,.504,2.5,3.3,.757,2.5,5.1,7.6,2.9,1.4,0.5,2.4,3.5,15.6
Fred Brown,SEA,SG,33,82,2,21.8,4.8,10.5,.455,0.3,0.9,.325,.468,.470,1.4,1.6,.860,0.5,1.2,1.7,2.9,0.8,0.0,1.2,1.4,11.2
Rickey Brown,GSW,C,23,82,11,15.4,2.3,5.1,.459,0.0,0.0,,.459,.459,1.0,1.5,.705,1.7,2.8,4.4,0.2,0.4,0.4,1.0,3.0,5.7
Joe Bryant,SDC,SF,27,75,49,26.5,4.5,9.3,.486,0.1,0.4,.267,.496,.492,2.6,3.3,.785,1.1,2.6,3.7,2.5,1.0,0.4,2.4,3.3,11.8
Quinn Buckner,MIL,PG,27,70,70,30.8,5.7,11.7,.482,0.1,0.2,.267,.486,.484,1.6,2.4,.655,1.1,2.5,3.6,4.7,2.5,0.0,2.6,3.1,12.9
Roger Burkman,CHI,SG,23,6,0,5.0,0.0,0.7,.000,0.0,0.2,.000,.000,.000,0.8,1.0,.833,0.3,0.7,1.0,0.8,1.0,0.3,0.5,1.0,0.8
David Burns,TOT,PG,23,9,1,9.7,0.8,1.8,.438,0.0,0.0,,.438,.438,1.0,1.7,.600,0.1,0.4,0.6,1.7,0.3,0.0,1.4,1.9,2.6
Don Buse,IND,PG,31,82,78,30.8,3.8,8.4,.455,0.9,2.3,.386,.482,.509,1.2,1.5,.813,0.6,2.2,2.7,5.0,2.0,0.3,1.2,2.1,9.7
Kenny Carr,TOT,PF,26,74,48,26.0,4.7,9.4,.503,0.0,0.1,.100,.509,.504,2.7,4.1,.656,2.3,4.9,7.2,1.2,0.9,0.3,2.1,3.4,12.1
M.L. Carr,BOS,SF,31,56,27,23.1,3.3,7.3,.450,0.1,0.3,.294,.457,.456,1.5,2.1,.707,1.0,1.7,2.7,2.3,1.2,0.4,1.1,2.4,8.1
Joe Barry Carroll,GSW,C,23,76,75,34.6,6.9,13.4,.519,0.0,0.0,.000,.519,.519,3.1,4.3,.728,2.8,5.6,8.3,0.8,0.8,1.7,2.7,3.5,17.0
Butch Carter,IND,SG,23,75,0,13.8,2.5,5.4,.468,0.1,0.3,.320,.477,.478,0.8,0.9,.829,0.4,0.7,1.1,0.8,0.5,0.1,0.7,1.5,5.9
Reggie Carter,NYK,SG,24,75,1,12.3,1.6,3.7,.425,0.0,0.0,,.425,.425,0.9,1.1,.800,0.5,0.8,1.3,1.7,0.5,0.1,1.0,1.7,4.0
Bill Cartwright,NYK,C,24,72,50,28.6,5.4,9.6,.562,0.0,0.0,,.562,.562,3.6,4.7,.763,1.6,4.2,5.8,1.2,0.7,0.9,2.3,2.9,14.4
Harvey Catchings,MIL,PF,30,80,9,20.0,1.2,2.8,.420,0.0,0.0,,.420,.420,0.5,0.9,.594,1.6,2.8,4.5,1.2,0.5,1.7,1.2,3.0,2.9
Bobby Cattage,UTA,PF,23,49,0,6.9,1.2,2.8,.444,0.0,0.0,.000,.451,.444,0.6,0.8,.732,0.4,1.0,1.5,0.1,0.1,0.0,0.4,1.2,3.1
Tom Chambers,SDC,PF,22,81,58,33.1,6.8,13.0,.525,0.0,0.0,.000,.526,.525,3.5,5.7,.620,2.6,4.3,6.9,1.8,0.7,0.6,2.7,4.2,17.2
Maurice Cheeks*,PHI,PG,25,79,79,31.6,4.5,8.6,.521,0.1,0.3,.273,.529,.525,2.2,2.8,.777,0.6,2.5,3.1,8.4,2.6,0.4,2.3,3.1,11.2
Jim Chones,WSB,C,32,59,13,14.7,1.3,2.9,.433,0.0,0.0,,.433,.433,0.6,0.8,.783,0.7,2.5,3.1,1.1,0.3,0.5,0.7,1.9,3.1
Don Collins,WSB,SG,23,79,18,20.4,4.2,8.3,.511,0.0,0.2,.083,.520,.512,1.5,2.1,.716,1.3,1.2,2.5,1.9,1.1,0.3,1.7,2.5,10.0
Darwin Cook,NJN,PG,23,82,17,25.5,4.7,9.8,.482,0.1,0.4,.226,.492,.486,1.4,2.0,.728,0.6,1.3,1.9,3.9,1.8,0.3,2.1,2.4,11.0
Jeff Cook,PHO,PF,25,76,22,17.1,2.0,4.7,.422,0.0,0.0,.000,.424,.422,1.2,1.8,.664,1.5,2.5,4.0,1.3,0.5,0.3,1.1,2.3,5.1
Joe Cooper,NJN,C,24,1,0,11.0,1.0,2.0,.500,0.0,0.0,,.500,.500,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0
Michael Cooper,LAL,SG,25,76,14,28.9,5.0,9.8,.517,0.0,0.2,.118,.526,.518,1.8,2.3,.813,1.1,2.4,3.5,3.0,1.6,0.8,2.0,2.8,11.9
Wayne Cooper,DAL,C,25,76,38,23.9,3.7,8.8,.420,0.0,0.1,.125,.424,.421,1.6,2.1,.744,2.6,4.6,7.2,1.5,0.5,1.4,1.2,3.8,9.0
Hollis Copeland,NYK,SF,26,18,0,6.6,0.9,2.1,.421,0.0,0.0,,.421,.421,0.3,0.3,.833,0.2,0.1,0.3,0.5,0.2,0.1,0.2,1.1,2.1
Dave Corzine,SAS,C,25,82,21,26.7,4.1,7.9,.519,0.0,0.0,.250,.520,.519,1.9,2.6,.746,2.6,5.1,7.7,1.6,0.4,1.5,1.7,2.9,10.1
Charlie Criss,TOT,PG,33,55,20,25.3,4.0,9.1,.446,0.2,0.5,.345,.452,.456,2.6,2.9,.887,0.2,1.3,1.5,3.4,0.8,0.1,1.5,1.7,10.8
Geoff Crompton,MIL,C,26,35,1,5.8,0.3,0.9,.344,0.0,0.0,,.344,.344,0.2,0.4,.400,0.3,0.9,1.2,0.4,0.2,0.3,0.5,1.1,0.8
Pat Cummings,MIL,PF,25,78,7,14.5,2.8,5.5,.509,0.0,0.0,.000,.512,.509,0.9,1.2,.736,0.8,2.4,3.1,1.3,0.3,0.1,1.4,2.9,6.5
Earl Cureton,PHI,PF,24,66,8,14.5,2.3,4.6,.487,0.0,0.0,.000,.490,.487,0.8,1.4,.543,1.4,2.7,4.1,0.5,0.5,0.4,0.7,2.2,5.3
Bob Dandridge*,MIL,SF,34,11,0,15.8,1.9,5.0,.382,0.0,0.0,,.382,.382,0.9,1.5,.588,0.4,1.2,1.5,1.2,0.5,0.2,1.0,2.3,4.7
Adrian Dantley*,UTA,SF,26,81,81,39.8,11.2,19.6,.570,0.0,0.0,.333,.570,.570,8.0,10.1,.792,2.9,3.5,6.3,4.0,1.2,0.2,3.7,3.1,30.3
Brad Davis,DAL,PG,26,82,82,31.9,4.8,9.4,.515,0.2,0.6,.286,.530,.524,2.3,2.8,.804,0.4,2.3,2.8,6.2,0.9,0.1,1.9,2.7,12.1
Charles Davis,WSB,SF,23,54,10,10.6,1.6,3.4,.478,0.0,0.0,.000,.484,.478,0.6,0.7,.811,1.0,1.5,2.5,0.6,0.2,0.2,0.8,1.6,3.8
Johnny Davis,IND,SG,26,82,70,32.5,6.6,14.1,.467,0.1,0.3,.185,.473,.469,3.8,4.8,.799,0.9,1.3,2.2,4.2,0.9,0.1,2.3,2.1,17.0
Ron Davis,SDC,SF,27,7,0,9.6,1.4,3.6,.400,0.0,0.0,,.400,.400,0.4,0.9,.500,1.0,0.9,1.9,0.6,0.0,0.0,0.7,1.1,3.3
