name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Alaa Abdelnaby,POR,PF,23,71,1,13.2,2.5,5.1,.493,0.0,0.0,,.493,.493,1.1,1.4,.752,1.1,2.5,3.7,0.4,0.4,0.2,0.9,1.9,6.1
Mahmoud Abdul-Rauf,DEN,PG,22,81,11,19.0,4.4,10.4,.421,0.4,1.2,.330,.433,.440,1.2,1.3,.870,0.3,1.1,1.4,2.4,0.5,0.0,1.4,1.6,10.3
Mark Acres,ORL,C,29,68,6,13.6,1.1,2.2,.517,0.0,0.0,.333,.520,.520,0.8,1.0,.761,1.4,2.3,3.7,0.3,0.4,0.2,0.5,2.1,3.1
Michael Adams,WSB,PG,29,78,78,35.8,6.2,15.8,.393,1.6,4.9,.324,.425,.444,4.0,4.6,.869,0.7,3.2,4.0,7.6,1.9,0.1,2.7,2.1,18.1
Rafael Addison,NJN,SF,27,76,8,15.5,2.5,5.7,.433,0.2,0.6,.286,.452,.449,0.7,1.0,.737,0.9,1.3,2.2,0.9,0.4,0.4,0.6,1.4,5.8
Mark Aguirre,DET,SF,32,75,12,21.1,4.5,10.5,.431,0.2,0.9,.211,.453,.440,2.1,3.1,.687,0.9,2.3,3.1,1.7,0.7,0.1,1.4,2.3,11.3
Danny Ainge,POR,SG,32,81,6,19.7,3.7,8.3,.442,1.0,2.8,.339,.496,.500,1.3,1.6,.824,0.5,1.3,1.8,2.5,0.9,0.2,0.9,1.8,9.7
Victor Alexander,GSW,C,22,80,28,16.9,3.0,5.7,.529,0.0,0.0,.000,.531,.529,1.3,1.9,.691,1.3,2.9,4.2,0.4,0.6,0.8,1.1,2.2,7.4
Greg Anderson,DEN,PF,27,82,82,34.1,4.7,10.4,.456,0.0,0.0,.000,.458,.456,2.0,3.3,.623,4.1,7.4,11.5,1.0,1.1,0.8,2.5,3.2,11.5
Kenny Anderson,NJN,PG,21,64,13,17.0,2.9,7.5,.390,0.0,0.2,.231,.394,.393,1.1,1.5,.745,0.6,1.4,2.0,3.2,1.0,0.1,1.5,1.1,7.0
