name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Shareef Abdur-Rahim,SAC,PF,31,6,0,8.5,0.5,2.3,.214,0.0,0.0,,.214,.214,0.7,0.7,1.000,1.0,0.7,1.7,0.7,0.2,0.0,0.2,1.5,1.7
Arron Afflalo,DET,SG,22,75,9,12.9,1.3,3.2,.411,0.1,0.6,.208,.461,.432,0.9,1.2,.782,0.5,1.3,1.8,0.7,0.4,0.1,0.5,1.1,3.7
Maurice Ager,TOT,SG,23,26,3,6.3,0.8,2.5,.323,0.1,0.7,.158,.391,.346,0.2,0.5,.500,0.2,0.3,0.5,0.3,0.0,0.0,0.2,0.7,2.0
Blake Ahearn,MIA,PG,23,12,0,14.8,1.3,4.8,.263,0.8,2.8,.294,.217,.351,2.5,2.6,.968,0.1,1.5,1.6,1.6,0.5,0.0,1.3,1.7,5.8
LaMarcus Aldridge,POR,PF,22,76,76,34.9,7.4,15.3,.484,0.0,0.1,.143,.486,.484,3.0,3.9,.762,2.9,4.7,7.6,1.6,0.7,1.2,1.7,3.2,17.8
Malik Allen,TOT,PF,29,73,16,15.0,2.2,4.5,.480,0.0,0.0,.500,.480,.482,0.3,0.3,.920,0.9,1.8,2.7,0.6,0.3,0.4,0.6,2.0,4.6
Ray Allen*,BOS,SG,32,73,73,35.9,6.0,13.5,.445,2.5,6.2,.398,.485,.537,2.9,3.2,.907,1.0,2.6,3.7,3.1,0.9,0.2,1.7,2.0,17.4
Tony Allen,BOS,SG,26,75,11,18.3,2.3,5.2,.434,0.2,0.8,.316,.455,.458,1.8,2.4,.762,0.5,1.8,2.2,1.5,0.8,0.3,1.5,2.2,6.6
Lance Allred,CLE,C,26,3,0,3.3,0.3,1.3,.250,0.0,0.0,,.250,.250,0.3,0.7,.500,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,1.0
Morris Almond,UTA,SG,22,9,0,4.3,0.4,1.7,.267,0.1,0.4,.250,.273,.300,0.4,0.7,.667,0.0,0.2,0.2,0.3,0.1,0.0,0.2,0.6,1.4
Rafer Alston,HOU,PG,31,74,74,34.1,4.9,12.5,.394,1.9,5.5,.351,.427,.471,1.3,1.9,.715,0.4,3.1,3.5,5.3,1.3,0.2,2.2,1.9,13.1
Lou Amundson,PHI,PF,25,16,0,4.0,0.5,1.0,.500,0.0,0.0,,.500,.500,0.1,0.4,.286,0.4,0.3,0.8,0.0,0.1,0.1,0.1,0.8,1.1
Chris Andersen,NOH,C,29,5,0,6.8,0.4,1.4,.286,0.0,0.0,,.286,.286,0.4,0.8,.500,0.4,1.4,1.8,0.0,0.0,0.8,0.2,1.2,1.2
Derek Anderson,CHA,SG,33,28,0,14.1,1.7,4.5,.376,0.7,1.9,.365,.384,.452,1.0,1.4,.737,0.3,1.5,1.9,1.6,0.4,0.0,0.9,1.8,5.0
Carmelo Anthony,DEN,SF,23,77,77,36.4,9.5,19.2,.492,0.8,2.1,.354,.509,.511,6.0,7.7,.786,2.3,5.1,7.4,3.4,1.3,0.5,3.3,3.3,25.7
Joel Anthony,MIA,PF,25,24,1,20.8,1.2,2.5,.467,0.0,0.0,,.467,.467,1.2,2.0,.592,1.6,2.3,3.9,0.1,0.4,1.3,0.7,2.3,3.5
