name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Kareem Abdul-Jabbar*,LAL,C,32,82,,38.3,10.2,16.9,.604,0.0,0.0,.000,.604,.604,4.4,5.8,.765,2.3,8.5,10.8,4.5,1.0,3.4,3.6,2.6,24.8
Tom Abernethy,GSW,PF,25,67,,18.2,2.3,4.7,.481,0.0,0.0,.000,.483,.481,0.8,1.2,.683,0.9,1.9,2.9,1.3,0.5,0.2,0.6,1.8,5.4
Alvan Adams,PHO,C,25,75,,28.9,6.2,11.7,.531,0.0,0.0,.000,.533,.531,2.5,3.1,.797,2.1,6.0,8.1,4.3,1.4,0.7,2.9,3.2,14.9
Tiny Archibald*,BOS,PG,31,80,80,35.8,4.8,9.9,.482,0.1,0.2,.222,.488,.485,4.5,5.4,.830,0.7,1.7,2.5,8.4,1.3,0.1,3.0,2.7,14.1
Dennis Awtrey,CHI,C,31,26,,21.5,1.0,2.3,.450,0.0,0.0,,.450,.450,1.2,1.9,.640,1.1,3.3,4.4,1.5,0.5,0.6,1.0,2.5,3.3
Gus Bailey,WSB,SG,28,20,,9.0,0.8,1.8,.457,0.1,0.1,1.000,.441,.471,0.3,0.7,.385,0.3,1.1,1.4,1.3,0.4,0.2,0.6,0.9,1.9
James Bailey,SEA,PF,22,67,,10.8,1.8,4.0,.450,0.0,0.0,,.450,.450,1.0,1.5,.673,1.1,1.9,2.9,0.4,0.3,0.8,1.2,1.7,4.7
Greg Ballard,WSB,SF,25,82,,29.7,6.6,13.4,.495,0.2,0.6,.340,.502,.502,2.1,2.8,.753,2.9,4.9,7.8,1.9,1.1,0.4,1.6,2.4,15.6
Mike Bantom,IND,SF,28,77,,30.3,5.0,9.9,.505,0.0,0.0,.333,.506,.506,1.8,2.7,.665,2.5,3.4,5.9,3.6,1.1,0.6,2.5,3.5,11.8
Marvin Barnes,SDC,PF,27,20,,14.4,1.2,3.0,.400,0.0,0.0,,.400,.400,0.8,1.6,.500,1.7,2.2,3.9,0.9,0.3,0.6,0.9,2.6,3.2
Rick Barry*,HOU,SF,35,72,,25.2,4.5,10.7,.422,1.0,3.1,.330,.458,.469,2.0,2.1,.935,0.7,2.5,3.3,3.7,1.1,0.4,2.1,2.5,12.0
Tim Bassett,TOT,PF,28,12,,13.7,1.0,2.8,.353,0.0,0.0,,.353,.353,0.8,1.3,.667,0.9,1.8,2.8,1.2,0.7,0.0,0.8,2.3,2.8
Billy Ray Bates,POR,SG,23,16,,14.7,4.5,9.1,.493,0.5,1.2,.421,.504,.521,1.8,2.4,.718,0.8,1.0,1.8,1.9,0.9,0.1,1.3,1.6,11.3
Ron Behagen,WSB,PF,29,6,,10.7,1.5,3.8,.391,0.0,0.0,,.391,.391,0.8,1.0,.833,1.0,1.3,2.3,1.2,0.0,0.7,0.7,2.3,3.8
Kent Benson,TOT,C,25,73,,25.9,4.1,8.5,.484,0.0,0.1,.200,.486,.485,1.4,1.9,.702,1.7,4.5,6.2,2.4,1.0,1.3,2.2,3.4,9.6
Del Beshore,CHI,PG,23,68,,12.8,1.3,3.7,.352,0.1,0.4,.385,.348,.372,0.9,1.3,.667,0.2,0.7,0.9,2.0,0.9,0.1,1.5,1.5,3.6
Henry Bibby,PHI,PG,30,82,8,24.8,3.1,7.6,.401,0.1,0.6,.212,.418,.410,2.8,3.5,.790,0.8,1.7,2.5,3.7,0.8,0.1,1.8,2.0,9.0
Larry Bird*,BOS,PF,23,82,82,36.0,8.5,17.8,.474,0.7,1.7,.406,.481,.494,3.7,4.4,.836,2.6,7.8,10.4,4.5,1.7,0.6,3.2,3.4,21.3
Otis Birdsong,KCK,SG,24,82,,35.2,9.5,18.9,.505,0.1,0.4,.278,.511,.508,3.5,5.0,.694,2.1,2.0,4.0,2.5,1.7,0.3,2.2,2.8,22.7
Ron Boone,TOT,SG,33,81,,29.5,5.0,11.3,.443,0.2,0.6,.380,.446,.453,2.2,2.4,.893,0.7,2.1,2.8,3.8,1.2,0.0,2.4,2.9,12.4
Lawrence Boston,WSB,PF,23,13,,9.6,1.8,4.0,.462,0.0,0.0,,.462,.462,0.6,1.0,.615,1.5,1.5,3.0,0.2,0.3,0.2,0.6,1.9,4.3
Tom Boswell,TOT,PF,26,79,,26.3,4.4,7.8,.564,0.1,0.1,.500,.566,.569,2.6,3.5,.755,1.8,3.7,5.6,2.0,0.4,0.5,2.3,3.4,11.4
Winford Boynes,NJN,SG,22,64,,17.2,3.5,7.3,.473,0.0,0.1,.000,.477,.473,1.6,2.1,.765,0.8,1.3,2.1,1.5,0.9,0.3,1.5,2.1,8.5
Alonzo Bradley,HOU,SF,26,22,,4.4,0.8,2.2,.354,0.0,0.0,1.000,.340,.365,0.3,0.4,.667,0.1,0.2,0.3,0.1,0.1,0.0,0.4,0.4,1.9
Dudley Bradley,IND,SG,22,82,,24.7,3.4,7.4,.452,0.0,0.1,.400,.452,.453,1.7,2.1,.782,0.8,1.9,2.7,3.1,2.6,0.6,2.0,2.4,8.4
Mike Bratz,PHO,PG,24,82,,19.4,3.3,8.4,.392,0.3,1.0,.244,.413,.407,1.7,2.0,.870,0.6,1.4,2.0,2.7,1.1,0.1,1.6,2.0,8.5
Jim Brewer,POR,PF,28,67,,15.2,1.3,2.7,.489,0.0,0.1,.000,.503,.489,0.2,0.4,.483,1.5,2.3,3.8,1.1,0.6,0.6,0.7,1.9,2.9
Ron Brewer,POR,SG,24,82,,34.3,6.7,14.4,.464,0.1,0.4,.188,.471,.466,2.2,2.7,.840,0.7,2.0,2.6,2.6,1.2,0.6,2.0,1.9,15.7
Junior Bridgeman,MIL,SF,26,81,,28.6,7.3,15.3,.478,0.1,0.3,.185,.484,.480,2.8,3.3,.865,1.3,2.4,3.7,2.9,1.2,0.2,2.1,2.7,17.6
Allan Bristow,UTA,SF,28,82,,28.1,4.6,9.6,.480,0.0,0.1,.286,.482,.482,2.4,3.0,.811,2.1,4.2,6.2,4.2,1.1,0.1,2.2,2.6,11.6
Fred Brown,SEA,SG,31,80,,21.3,5.1,10.5,.479,0.5,1.1,.443,.483,.502,1.4,1.7,.837,0.4,1.5,1.9,2.2,0.8,0.2,1.3,1.5,12.0
John Brown,TOT,SF,28,32,,12.0,1.2,3.3,.352,0.0,0.0,,.352,.352,1.2,1.5,.792,0.8,1.4,2.2,0.6,0.1,0.1,0.9,2.2,3.5
Roger Brown,CHI,C,29,4,,9.3,0.3,0.8,.333,0.0,0.0,,.333,.333,0.0,0.0,,0.5,2.0,2.5,0.3,0.0,0.8,0.0,1.0,0.5
Joe Bryant,SDC,PF,25,81,,28.7,3.6,8.4,.431,0.1,0.4,.147,.446,.435,2.0,2.7,.742,2.1,4.3,6.4,1.8,1.3,0.5,2.1,3.2,9.3
Quinn Buckner,MIL,PG,25,67,,25.2,4.6,9.8,.467,0.0,0.1,.400,.468,.469,1.6,2.1,.734,1.0,2.5,3.6,5.7,2.0,0.1,2.2,3.0,10.7
Tom Burleson,KCK,C,27,37,,7.4,1.0,2.8,.346,0.0,0.1,.000,.356,.346,0.6,1.1,.575,0.6,1.3,1.9,0.5,0.2,0.4,0.7,1.3,2.6
Don Buse,PHO,PG,29,81,,30.9,3.2,7.3,.443,0.2,1.0,.241,.475,.459,1.0,1.6,.664,0.9,2.0,2.9,4.0,1.6,0.1,1.1,1.4,7.7
Marty Byrnes,LAL,SF,23,32,,6.1,0.8,1.6,.500,0.0,0.0,,.500,.500,0.4,0.5,.867,0.3,0.6,0.8,0.4,0.2,0.0,0.7,1.0,2.0
