name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Kareem Abdul-Jabbar*,LAL,C,35,79,79,32.3,9.1,15.5,.588,0.0,0.0,.000,.589,.588,3.5,4.7,.749,2.1,5.4,7.5,2.5,0.8,2.2,2.5,2.8,21.8
Alvan Adams,PHO,C,28,80,75,30.6,6.0,12.3,.486,0.0,0.0,.333,.487,.487,2.3,2.7,.829,2.0,4.8,6.9,4.7,1.4,0.9,3.0,3.6,14.2
Mark Aguirre,DAL,SF,23,81,75,34.4,9.5,19.6,.483,0.2,0.9,.211,.496,.488,5.3,7.3,.728,2.4,3.9,6.3,4.1,1.0,0.3,3.2,3.0,24.4
Danny Ainge,BOS,SG,23,80,76,25.6,4.5,9.0,.496,0.1,0.4,.172,.509,.499,0.9,1.2,.742,1.0,1.6,2.7,3.1,1.4,0.1,1.2,3.2,9.9
Dwight Anderson,DEN,PG,22,5,0,6.6,1.4,2.8,.500,0.0,0.0,,.500,.500,1.4,2.0,.700,0.0,0.4,0.4,0.6,0.2,0.0,1.0,1.4,4.2
J.J. Anderson,TOT,SF,22,65,2,18.5,2.9,5.8,.501,0.0,0.1,.000,.507,.501,1.5,2.7,.571,1.8,2.7,4.5,1.0,1.0,0.3,1.2,2.4,7.4
Richard Anderson,SDC,C,22,78,5,16.3,2.2,5.5,.404,0.1,0.2,.368,.405,.412,0.6,0.9,.696,1.4,2.1,3.5,1.5,0.7,0.3,1.2,2.2,5.2
Tiny Archibald*,BOS,PG,34,66,19,27.4,3.6,8.4,.425,0.1,0.4,.208,.435,.429,3.3,4.5,.743,0.4,1.0,1.4,6.2,0.6,0.1,2.5,1.7,10.5
John Bagley,CLE,PG,22,68,3,14.6,2.4,5.5,.432,0.0,0.2,.000,.448,.432,0.9,1.2,.762,0.3,1.2,1.4,2.5,0.8,0.1,1.7,1.1,5.7
James Bailey,TOT,PF,25,75,39,23.5,5.1,10.3,.497,0.0,0.0,.000,.498,.497,3.0,4.3,.702,2.3,4.0,6.3,0.9,0.6,0.8,2.6,3.6,13.3
Greg Ballard,WSB,SF,28,78,78,36.4,7.7,16.3,.473,0.2,0.5,.351,.477,.478,2.3,3.0,.781,1.6,4.9,6.5,3.4,1.7,0.3,2.0,2.3,18.0
Gene Banks,SAS,PF,23,81,81,33.6,6.2,11.3,.550,0.0,0.1,.000,.553,.550,2.4,3.4,.705,2.7,4.8,7.6,3.4,1.0,0.3,2.1,2.8,14.9
Billy Ray Bates,TOT,SG,26,19,3,16.0,2.9,7.6,.379,0.1,0.3,.400,.379,.386,0.6,1.2,.500,0.6,0.4,1.0,0.7,0.7,0.2,0.6,1.0,6.5
Dave Batton,WSB,C,26,54,5,10.3,1.6,3.5,.445,0.0,0.1,.000,.452,.445,0.1,0.3,.471,0.8,1.4,2.2,0.5,0.3,0.2,0.5,1.0,3.3
Kent Benson,DET,C,28,21,15,28.5,4.0,8.7,.467,0.0,0.0,.000,.470,.467,1.8,2.4,.760,2.5,4.9,7.4,2.3,0.7,0.8,1.7,2.9,9.9
Larry Bird*,BOS,PF,26,79,79,37.7,9.5,18.7,.504,0.3,1.0,.286,.516,.512,4.4,5.3,.840,2.4,8.6,11.0,5.8,1.9,0.9,3.0,2.5,23.6
Otis Birdsong,NJN,SG,27,62,54,30.4,6.9,13.5,.511,0.0,0.1,.333,.512,.512,1.3,2.3,.566,0.9,1.6,2.4,3.9,1.4,0.3,1.8,2.5,15.1
Rolando Blackman,DAL,SG,23,75,62,31.3,6.8,13.9,.492,0.0,0.2,.200,.497,.494,4.0,5.1,.780,1.4,2.5,3.9,2.5,0.5,0.4,1.6,1.5,17.7
Charles Bradley,BOS,SG,23,51,5,10.4,1.4,3.5,.392,0.0,0.1,.000,.399,.392,0.9,1.8,.511,0.6,0.9,1.5,0.5,0.6,0.5,0.8,1.6,3.6
Dudley Bradley,CHI,SG,25,58,11,11.8,1.4,2.7,.516,0.0,0.1,.200,.526,.519,0.6,0.8,.800,0.5,1.3,1.8,1.8,0.8,0.2,1.0,1.6,3.5
Brad Branson,IND,PF,24,62,2,11.0,2.1,5.0,.425,0.0,0.0,.000,.427,.425,1.2,1.7,.704,1.2,1.6,2.8,0.7,0.4,0.4,0.7,1.3,5.5
